state_id,pending_spread,optimal_set_changed,sampled_ppo_regret,sampled_safemin_regret
ep017_task113,0.0,False,5.828360522243202,6.755879596576165
ep017_task125,0.0,False,11.617267064903444,0.0
ep017_task138,0.0,False,0.0,0.0
ep017_task150,0.0,False,0.0,0.0
ep017_task163,0.0,False,2.5051492402417637,0.0
ep017_task175,0.0,False,0.0,0.0
ep017_task188,0.0,False,0.0,0.0
ep017_task200,0.0,False,0.0,0.0
ep032_task001,0.0,False,13.447884964935895,0.0
ep032_task013,0.0,False,3.659314428516268,0.0
ep032_task026,0.0,False,22.929944493340884,0.0
ep032_task038,0.0,False,0.0,0.0
ep032_task051,0.0,False,3.1127979743391165,0.0
ep032_task063,19.306730789067387,False,24.065729331383977,19.965372982507915
ep032_task076,0.0,False,0.07550388708932587,0.07550388708932587
ep032_task088,0.0,False,13.638507588814463,0.0
ep032_task100,0.0,False,2.7708488818505543,0.0
ep032_task113,0.0,False,10.137145796037657,10.137145796037657
ep032_task125,0.0,False,35.41306858991868,13.42945137472418
ep032_task138,0.0,False,20.8796176406737,0.0
ep032_task150,11.296941302963415,True,22.939627630210055,10.450730192280446
ep032_task163,0.0,False,2.5051492402418205,0.0
ep032_task175,0.0,False,19.02880968515666,0.0
ep032_task188,0.0,False,7.758343940652082,0.0
ep032_task200,0.0,False,0.0,0.0
ep036_task001,0.0,False,31.0127027924475,0.0
ep036_task013,16.159967791140204,True,12.115811710645858,12.115811710645858
ep036_task026,0.0,False,20.822272781354798,0.0
ep036_task038,0.0,False,14.59952845526152,0.0
ep036_task051,0.0,False,40.69433871147692,40.69433871147692
ep036_task063,0.0,False,0.0,0.0
ep036_task076,0.0,False,20.932891772396374,0.0
ep036_task088,0.0,False,0.0,0.0
ep036_task100,0.0,False,0.0,0.8610849360715065
ep036_task113,0.0,False,0.7584988874461374,0.0
ep036_task125,0.0,False,16.025953991683537,33.53848813659994
ep036_task138,0.0,False,11.05849906747153,0.0
ep036_task150,0.0,False,0.0,0.0
ep036_task163,0.0,False,2.052618754092208,2.052618754092208
ep036_task175,0.0,False,0.32181026442060556,0.32181026442060556
ep036_task188,0.0,False,21.53163362399704,0.0
ep036_task200,0.0,False,0.0,0.0
ep037_task001,0.0,False,0.0,0.0
ep037_task013,0.0,False,5.41907485543652,0.0
ep037_task026,0.0,False,6.260406393598515,0.0
ep037_task038,0.0,False,23.50103099285724,0.0
ep037_task051,0.0,False,6.2901438111407515,0.0
ep037_task063,0.0,False,24.065729331385228,0.0
ep037_task076,0.0,False,0.0,0.0
ep037_task088,0.0,False,0.0,0.0
ep037_task100,0.0,False,0.0,0.0
ep037_task113,0.0,False,20.590038665623013,0.0
ep037_task125,0.0,False,6.445885344885539,0.0
ep037_task138,0.0,False,0.0,3.434638366817694
ep037_task150,0.0,False,0.8462111106829298,0.0
ep037_task163,0.0,False,11.222272547998926,0.0
ep037_task175,0.0,False,5.096337014925211,0.0
ep037_task188,0.0,False,14.382131765119198,0.0
ep037_task200,0.0,False,0.0,0.0
ep044_task001,0.0,False,0.0,0.0
ep044_task013,0.0,False,7.703470509010572,0.0
ep044_task026,0.0,False,24.401570521492204,0.0
ep044_task038,0.0,False,12.102004697494522,0.0
ep044_task051,0.0,False,14.669356903127209,1.781579597934467
ep044_task063,0.0,False,0.0,0.0
ep044_task076,0.0,False,4.741438657961055,0.0
ep044_task088,0.0,False,0.0,0.0
ep044_task100,0.0,False,0.0,0.0
ep044_task113,0.0,False,14.975204749139948,1.2838071953245844
ep044_task125,0.0,False,0.0,0.0
ep044_task138,0.0,False,0.0,0.0
ep044_task150,0.0,False,0.0,0.0
ep044_task163,0.0,False,0.0,0.0
ep044_task175,0.0,False,49.88498327738148,49.88498327738148
ep044_task188,0.0,False,19.78553549439829,0.0
ep044_task200,0.0,False,0.0,0.0
ep057_task001,0.0,False,13.447884964935952,0.0
ep057_task013,15.769291770005594,True,31.111023716044315,0.0
ep057_task026,0.0,False,12.382517753765399,0.0
ep057_task038,0.0,False,5.659585857947491,0.0
ep057_task051,0.0,False,6.843208959621961,6.843208959621961
ep057_task063,0.0,False,0.0,0.0
ep057_task076,0.0,False,0.0,0.0
ep057_task088,0.0,False,0.0,0.0
ep057_task100,0.0,False,13.399853133024322,0.0
ep057_task113,0.0,False,12.1934382347917,13.877498728045907
ep057_task125,0.0,False,38.50572187654183,0.0
ep057_task138,0.0,False,12.119963120405657,12.119963120405657
ep057_task150,0.0,False,0.8462111106829298,0.0
ep057_task163,0.0,False,6.289777921472535,0.0
ep057_task175,0.0,False,20.25455682916214,0.0
ep057_task188,26.067954958208418,True,24.69215889311687,0.0
ep057_task200,0.0,False,0.9162457425315509,0.0
ep058_task001,0.0,False,0.0,0.0
ep058_task013,0.0,False,0.0,0.0
ep058_task026,0.0,False,16.795815242944514,0.0
ep058_task038,0.0,False,8.319151895758864,0.0
ep058_task051,0.0,False,0.0,0.0
ep058_task063,0.0,False,0.0,0.0
ep058_task076,0.0,False,0.0,25.729989489536308
ep058_task088,0.0,False,0.0,0.0
ep058_task100,3.576969172404006,True,51.89785997911653,0.0
ep058_task113,0.0,False,6.350261202128621,0.0
ep058_task125,0.0,False,0.0,18.343409816761437
ep058_task138,0.0,False,5.125449203325843,0.0
ep058_task150,0.0,False,0.0,0.0
ep058_task163,0.0,False,11.149804139283873,7.029426492124458
ep058_task175,0.0,False,6.0882623022753535,0.0
ep058_task188,0.0,False,0.0,0.0
ep058_task200,0.0,False,0.0,0.0
ep060_task001,0.0,False,13.447884964935895,0.0
ep060_task013,0.0,False,5.419074855436406,0.0
ep060_task026,0.0,False,6.260406393598487,0.0
ep060_task038,0.0,False,8.319151895758921,0.0
ep060_task051,0.0,False,6.867717900090781,0.0
ep060_task063,14.512888026167921,True,0.0,0.0
ep060_task076,0.0,False,10.547688381772275,14.26080536639563
ep060_task088,0.0,False,61.29204409351837,0.0
ep060_task100,6.603197041563135,True,0.0,5.948229003458437
ep060_task113,0.0,False,5.3813156059852645,0.0
ep060_task125,0.0,False,0.0,0.0
ep060_task138,0.0,False,2.6958676094180873,10.244471782997152
ep060_task150,0.0,False,13.075787548472391,0.0
ep060_task163,0.0,False,21.130716731081748,0.0
ep060_task175,0.0,False,0.0,7.773406654417784
ep060_task188,0.0,False,0.0,0.0
ep060_task200,0.0,False,0.0,0.0
ep063_task001,0.0,False,12.05334302441122,0.0
ep063_task013,0.0,False,7.703470509010685,0.0
ep063_task026,0.0,False,34.871911344901775,0.34875385512845014
