episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,49.560090549337765,3.021753878640612,22.35,0.0,1.0,1.0,1.0,0,0,2.281232830286026,1.0,1.0
2,200,45.24495728255348,3.516791359730084,24.155,0.0,1.0,1.0,1.0,0,0,2.2977373123168947,1.0,1.0
3,200,54.37192859245654,2.504662208300668,23.12,0.0,1.0,1.0,1.0,0,0,2.2628881323337553,1.0,1.0
4,200,46.276117060002,3.625949975650333,22.62,0.0,1.0,1.0,1.0,0,0,2.2945516538619994,1.0,1.0
5,200,39.98780333365469,3.0226539634670293,21.09,0.165,0.835,0.9640718562874252,0.805,6,33,2.2745503783226013,1.0,1.0
6,200,48.570351880692385,3.1812983872973257,24.835,0.0,1.0,1.0,1.0,0,0,2.286437519788742,1.0,1.0
7,200,50.477571313959146,3.1178939496757763,25.435,0.0,1.0,1.0,1.0,0,0,2.279818534851074,1.0,1.0
8,200,52.7838702124123,2.632589296623018,20.41,0.005,0.995,1.0,0.995,0,1,2.266884528398514,1.0,1.0
9,200,38.986522286458495,3.643754870911315,20.715,0.09,0.91,1.0,0.91,0,18,2.308938366174698,0.99,0.9802
10,200,41.0402516809939,3.8066067833268202,21.325,0.0,1.0,0.91,0.91,18,0,2.297359060049057,1.0,1.0
11,200,54.22387718563511,2.6253094371830024,23.97,0.0,1.0,1.0,1.0,0,0,2.2660273873806,1.0,1.0
12,200,43.997623672661895,3.599499385426859,24.505,0.0,1.0,1.0,1.0,0,0,2.2948586332798,1.0,1.0
13,200,43.462712686829455,3.146183850551331,20.655,0.09,0.91,0.9835164835164835,0.895,3,18,2.2806978285312653,1.0,1.0
14,200,50.890785003385616,3.10650727869505,24.155,0.0,1.0,1.0,1.0,0,0,2.2767463612556456,1.0,1.0
15,200,46.82408015326959,3.387136637635566,20.81,0.0,1.0,1.0,1.0,0,0,2.293406836986542,1.0,1.0
16,200,43.904772888464635,3.389044517559084,19.265,0.02,0.98,1.0,0.98,0,4,2.3017556738853453,1.0,1.0
17,200,38.38177385101311,3.5077149369345153,19.17,0.09,0.91,1.0,0.91,0,18,2.2964309346675873,1.0,1.0
18,200,48.13742065487421,3.088144920228782,20.715,0.0,1.0,1.0,1.0,0,0,2.2820594227313995,1.0,1.0
19,200,51.00825064469878,2.946539684395335,20.55,0.0,1.0,1.0,1.0,0,0,2.2710524618625643,1.0,1.0
20,200,51.10176764799913,2.69561275329547,19.495,0.035,0.965,1.0,0.965,0,7,2.2705164742469788,1.0,1.0
