state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,gae_kind,gae_value,semantics,component,selected_action,selected_advantage,conflict_state
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,raw,244.55087280273438,decision,total,19,3.1094235393475174,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,raw,244.55087280273438,event,own,19,-2.554348989146547,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,raw,244.55087280273438,event,future,19,5.850700978059194,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,raw,244.55087280273438,event,total,19,3.296351988912704,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,actor_normalized,0.10057197511196136,decision,own,19,-2.475863137806634,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,actor_normalized,0.10057197511196136,decision,future,19,5.585286677154215,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,actor_normalized,0.10057197511196136,decision,total,19,3.1094235393475174,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,actor_normalized,0.10057197511196136,event,own,19,-2.554348989146547,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,actor_normalized,0.10057197511196136,event,future,19,5.850700978059194,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,actor_normalized,0.10057197511196136,event,total,19,3.296351988912704,True
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,raw,237.79183959960938,decision,own,15,-2.711406203307419,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,raw,237.79183959960938,decision,future,15,0.0,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,raw,237.79183959960938,decision,total,15,-2.7114062033074333,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,raw,237.79183959960938,event,own,15,-2.8514688570166555,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,raw,237.79183959960938,event,future,15,-2.842170943040401e-14,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,raw,237.79183959960938,event,total,15,-2.851468857016698,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,actor_normalized,0.0006321819382719696,decision,own,15,-2.711406203307419,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,actor_normalized,0.0006321819382719696,decision,future,15,0.0,False
