group,group_value,gae_kind,semantics,component,n,pearson,spearman,sign_agreement,sign_agreement_including_zero
coupling,coupled,actor_normalized,decision,future,174,0.15172128977758584,0.08725300810285223,0.5443037974683544,0.4942528735632184
coupling,coupled,actor_normalized,decision,own,174,0.06170572842931022,0.04951521830145733,0.5402298850574713,0.5402298850574713
coupling,coupled,actor_normalized,decision,total,174,0.16357682995118103,0.12765625444915857,0.5804597701149425,0.5804597701149425
coupling,coupled,actor_normalized,event,future,174,0.153583850181764,0.09063624767827001,0.5506329113924051,0.5
coupling,coupled,actor_normalized,event,own,174,0.06370885737465855,0.05537644971818263,0.5402298850574713,0.5402298850574713
coupling,coupled,actor_normalized,event,total,174,0.16642701788535402,0.13641276801731256,0.5862068965517241,0.5862068965517241
coupling,coupled,raw,decision,future,174,0.13658003142514488,0.061056034192982105,0.5759493670886076,0.5229885057471264
coupling,coupled,raw,decision,own,174,0.05412336153057168,0.0637491493187166,0.5804597701149425,0.5804597701149425
coupling,coupled,raw,decision,total,174,0.14617541908048345,0.1214487884051368,0.5862068965517241,0.5862068965517241
coupling,coupled,raw,event,future,174,0.13812010458678747,0.06509180373632138,0.5822784810126582,0.5287356321839081
coupling,coupled,raw,event,own,174,0.05537771076613587,0.06841216552937991,0.5804597701149425,0.5804597701149425
coupling,coupled,raw,event,total,174,0.14821595430990417,0.1297200945357214,0.5919540229885057,0.5919540229885057
coupling,easy,actor_normalized,decision,future,826,0.07698350000400535,0.028668431293223252,0.5941558441558441,0.2215496368038741
coupling,easy,actor_normalized,decision,own,826,0.10001034867865631,0.12311481834668592,0.5106117353308365,0.49515738498789347
coupling,easy,actor_normalized,decision,total,826,0.12179196915469324,0.15217059126573465,0.5205992509363296,0.5048426150121066
coupling,easy,actor_normalized,event,future,826,0.07841254935202098,0.07212800751634733,0.5974025974025974,0.22276029055690072
coupling,easy,actor_normalized,event,own,826,0.0992191879683241,0.1265947870142941,0.5118601747815231,0.4963680387409201
coupling,easy,actor_normalized,event,total,826,0.12190106684904577,0.15411476753689785,0.5230961298377028,0.5072639225181598
coupling,easy,raw,decision,future,826,0.08570463135338009,0.036882752745697626,0.6818181818181818,0.2542372881355932
coupling,easy,raw,decision,own,826,0.09857226980352776,0.12115277265624992,0.6104868913857678,0.5920096852300242
coupling,easy,raw,decision,total,826,0.12456207333336204,0.1528001980570887,0.602996254681648,0.5847457627118644
coupling,easy,raw,event,future,826,0.08807217431525043,0.07773540948649625,0.685064935064935,0.25544794188861986
coupling,easy,raw,event,own,826,0.0977591046371707,0.12449723006758409,0.6092384519350812,0.5907990314769975
coupling,easy,raw,event,total,826,0.12505935360050358,0.15492619591339882,0.6004993757802747,0.5823244552058111
