group,group_value,gae_kind,semantics,component,n,pearson,spearman,sign_agreement,sign_agreement_including_zero
safe_set_bin,1-5,actor_normalized,decision,future,55,0.379289074231064,0.1391510438591131,0.75,0.10909090909090909
safe_set_bin,1-5,actor_normalized,decision,own,55,-0.0539020057776251,0.039515729248470084,0.24324324324324326,0.16363636363636364
safe_set_bin,1-5,actor_normalized,decision,total,55,0.08783598824068665,0.1579894676830096,0.2972972972972973,0.2
safe_set_bin,1-5,actor_normalized,event,future,55,0.3937166580668335,0.21742934032761804,0.75,0.10909090909090909
safe_set_bin,1-5,actor_normalized,event,own,55,-0.06126536816219279,0.039882975802823906,0.24324324324324326,0.16363636363636364
safe_set_bin,1-5,actor_normalized,event,total,55,0.10317072812408304,0.17281011218494038,0.2972972972972973,0.2
safe_set_bin,1-5,raw,decision,future,55,0.3644013866136871,0.10372796224226094,0.625,0.09090909090909091
safe_set_bin,1-5,raw,decision,own,55,0.0007718420335204833,0.08878881675068245,0.7027027027027027,0.4727272727272727
safe_set_bin,1-5,raw,decision,total,55,0.1403409605067173,0.19404876315467703,0.7567567567567568,0.509090909090909
safe_set_bin,1-5,raw,event,future,55,0.37345757965503096,0.18561074993267737,0.625,0.09090909090909091
safe_set_bin,1-5,raw,event,own,55,-0.005410911660615217,0.0893064280080256,0.7027027027027027,0.4727272727272727
safe_set_bin,1-5,raw,event,total,55,0.15553265146980938,0.21069457679207132,0.7567567567567568,0.509090909090909
safe_set_bin,16-28,actor_normalized,decision,future,840,0.09512525577295015,0.02147500611822137,0.5831325301204819,0.28809523809523807
safe_set_bin,16-28,actor_normalized,decision,own,840,0.13272703768822108,0.1061530968155105,0.5345238095238095,0.5345238095238095
safe_set_bin,16-28,actor_normalized,decision,total,840,0.16340457447262044,0.1456080708390006,0.5464285714285714,0.5464285714285714
safe_set_bin,16-28,actor_normalized,event,future,840,0.09730949016756495,0.0629433450588333,0.5879518072289157,0.2904761904761905
safe_set_bin,16-28,actor_normalized,event,own,840,0.13175211617702448,0.10992334977992989,0.5345238095238095,0.5345238095238095
safe_set_bin,16-28,actor_normalized,event,total,840,0.16394898668936048,0.1481946196454965,0.5488095238095239,0.5488095238095239
safe_set_bin,16-28,raw,decision,future,840,0.10251934571099769,0.028599119033984266,0.6602409638554216,0.3261904761904762
safe_set_bin,16-28,raw,decision,own,840,0.12852377900582623,0.10718612441755644,0.5988095238095238,0.5988095238095238
safe_set_bin,16-28,raw,decision,total,840,0.16402488218497627,0.14757983174013897,0.5964285714285714,0.5964285714285714
safe_set_bin,16-28,raw,event,future,840,0.10575759192620054,0.06938603893632345,0.6650602409638554,0.32857142857142857
safe_set_bin,16-28,raw,event,own,840,0.12742053442747872,0.11051482563377053,0.5988095238095238,0.5988095238095238
safe_set_bin,16-28,raw,event,total,840,0.16500901136986715,0.15016335401302658,0.5964285714285714,0.5964285714285714
safe_set_bin,6-15,actor_normalized,decision,future,98,0.07480266365194639,0.07717776115637906,0.4883720930232558,0.21428571428571427
safe_set_bin,6-15,actor_normalized,decision,own,98,-0.003967573992026198,-0.00019764231840815048,0.45918367346938777,0.45918367346938777
safe_set_bin,6-15,actor_normalized,decision,total,98,0.04330924654910454,0.052413467730109846,0.4897959183673469,0.4897959183673469
safe_set_bin,6-15,actor_normalized,event,future,98,0.07424411841549675,0.07257975856721241,0.4883720930232558,0.21428571428571427
safe_set_bin,6-15,actor_normalized,event,own,98,-0.005164019436162161,0.005540360474086542,0.46938775510204084,0.46938775510204084
safe_set_bin,6-15,actor_normalized,event,total,98,0.041205357501343784,0.054989193428074123,0.5,0.5
safe_set_bin,6-15,raw,decision,future,98,0.04938010500306677,0.058474051046814454,0.5116279069767442,0.22448979591836735
safe_set_bin,6-15,raw,decision,own,98,-0.017260657164810917,-0.027689404326210098,0.6224489795918368,0.6224489795918368
safe_set_bin,6-15,raw,decision,total,98,0.015567972854567907,0.023838517793161308,0.5714285714285714,0.5714285714285714
safe_set_bin,6-15,raw,event,future,98,0.047731735812918834,0.06252162573913747,0.5116279069767442,0.22448979591836735
safe_set_bin,6-15,raw,event,own,98,-0.018624441091191397,-0.021760059167707818,0.6122448979591837,0.6122448979591837
safe_set_bin,6-15,raw,event,total,98,0.012835721675031674,0.022741907720836153,0.5612244897959183,0.5612244897959183
safe_set_bin,empty,actor_normalized,decision,future,7,,,,0.0
safe_set_bin,empty,actor_normalized,decision,own,7,,,,0.0
safe_set_bin,empty,actor_normalized,decision,total,7,,,,0.0
safe_set_bin,empty,actor_normalized,event,future,7,,,,0.0
safe_set_bin,empty,actor_normalized,event,own,7,,,,0.0
safe_set_bin,empty,actor_normalized,event,total,7,,,,0.0
safe_set_bin,empty,raw,decision,future,7,,,,0.0
safe_set_bin,empty,raw,decision,own,7,,,,0.0
safe_set_bin,empty,raw,decision,total,7,,,,0.0
safe_set_bin,empty,raw,event,future,7,,,,0.0
safe_set_bin,empty,raw,event,own,7,,,,0.0
safe_set_bin,empty,raw,event,total,7,,,,0.0
