state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,own_event_spread,future_event_spread,total_event_spread,own_decision_spread,future_decision_spread,total_decision_spread,future_own_spread_ratio,own_optimal_set_size,total_optimal_set_size,own_total_optimal_overlap,own_total_optimal_jaccard,own_total_exact_optimal_set_agreement,own_total_disjoint,own_optimal_total_regret,conflict_state,spearman,kendall,sign_agreement,optimal_set_jaccard,optimal_set_exact_agreement,mean_regret_dec_ranking_on_event,mean_regret_event_ranking_on_dec
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,36.17623744576464,0.0,36.17623744576463,34.48896391261218,0.0,34.488963912612235,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,25.513762485273915,7.818627758595596,25.5137624852739,24.421779721467985,7.474821173217606,24.421779721467942,0.3064474619573796,7,6,6,0.8571428571428571,False,False,0.0,False,0.9999999999999999,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,23.125720266477195,0.0,23.125720266477202,22.62095592481957,0.0,22.620955924819555,0.0,6,6,6,1.0,True,False,0.0,False,1.0,1.0,1.0,1.0,True,0.0,0.0
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,24.742530388522077,0.0,24.742530388522027,23.800003541650625,0.0,23.800003541650597,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,20.091076798436447,23.993546290660987,20.880748316322013,19.832752432617802,22.944919900346804,19.92048283370667,1.194238941564757,7,6,0,0.0,False,True,7.8160890204095494,True,0.9999999999999999,0.9999999999999999,1.0,1.0,True,0.0,0.0
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,27.21127693161479,0.0,27.211276931614805,25.940921759412063,0.0,25.94092175941205,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999999,1.0,1.0,1.0,True,0.0,0.0
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,13.137780726961537,0.0,13.137780726961523,12.548486745851193,0.0,12.548486745851164,0.0,6,6,6,1.0,True,False,0.0,False,1.0,1.0,1.0,1.0,True,0.0,0.0
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,53.08519358251313,4.407534026744088,53.085193582513114,51.98419167798244,4.487619755426266,51.98419167798241,0.08302755870887471,6,5,5,0.8333333333333334,False,False,0.0,False,0.9999999999999999,0.9999999999999999,1.0,1.0,True,0.0,0.0
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,40.14741679594078,0.0,40.14741679594081,38.70556273355769,0.0,38.70556273355771,0.0,6,6,6,1.0,True,False,0.0,False,1.0,1.0,1.0,1.0,True,0.0,0.0
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,15.952710064620675,35.782268040352164,38.6463541898878,16.84633775323049,36.40449353768838,39.320962267504456,2.2430212732135555,7,5,5,0.7142857142857143,False,False,0.0,False,0.9921630094043887,0.9705882352941175,1.0,1.0,True,0.0,0.0
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,14.013438806989669,47.84128792971421,42.93186504366878,14.098843691857702,45.80040851665069,40.92915170386368,3.413957743609069,7,5,0,0.0,False,True,38.3701709494253,True,1.0,1.0,1.0,1.0,True,0.0,0.0
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,25.53766733037443,0.0,25.537667330374404,25.382941884280463,0.0,25.382941884280456,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,34.85606059608475,0.0,34.856060596084745,33.936280539817304,0.0,33.93628053981726,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,21.53988231007856,0.0,21.539882310078553,21.065300411749554,0.0,21.065300411749547,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,24.552439045434742,0.0,24.552439045434753,25.183980736627394,0.0,25.183980736627376,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,36.10043780441589,0.0,36.10043780441592,34.507949318159305,0.0,34.50794931815932,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,5.587376201625428,0.0,5.587376201625428,5.636821610766724,0.0,5.636821610766724,0.0,3,3,3,1.0,True,False,0.0,False,1.0,1.0,1.0,1.0,True,0.0,0.0
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,36.17623744576463,0.0,36.17623744576457,34.488963912612135,0.0,34.48896391261218,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,35.280198735819894,35.99536638875617,67.37378563506854,34.12251093316624,34.368180962776364,64.64112289998582,1.0202710777876136,7,5,5,0.7142857142857143,False,False,0.0,False,1.0,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,44.31137016201049,0.0,44.31137016201046,44.02901437373288,0.0,44.02901437373288,0.0,7,7,7,1.0,True,False,0.0,False,1.0,1.0,1.0,1.0,True,0.0,0.0
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,24.742530388522077,16.59232972795502,19.082944530574594,23.800003541650625,16.123735314764133,18.390403539914814,0.6705995493351847,7,6,0,0.0,False,True,0.763716668338418,True,1.0,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,20.152868179977006,34.61262438614693,40.902768197287685,19.895320211516427,33.53551637323392,39.660932694227995,1.7175036365561354,7,5,5,0.7142857142857143,False,False,0.0,False,1.0,1.0,1.0,1.0,True,0.0,0.0
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,50.32318250198047,1.0030465244944935,51.32622902647512,48.85271389887749,0.9557561935840226,49.808470092461505,0.019932096394241733,7,6,6,0.8571428571428571,False,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,20.892252365666756,0.0,20.892252365666764,19.993711554593148,0.0,19.99371155459312,0.0,7,7,7,1.0,True,False,0.0,False,1.0,1.0,1.0,1.0,True,0.0,0.0
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,61.576347916654754,0.0,61.576347916654754,59.11906351904032,0.0,59.11906351904031,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,26.12357044851862,0.0,26.123570448518592,24.99111041807498,0.0,24.99111041807498,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999999,1.0,1.0,1.0,True,0.0,0.0
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,17.798964123995454,0.0,17.79896412399546,18.938755218026465,0.0,18.938755218026415,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep003_task125,3,125,high,0.999,16-28,25,25,3.3622540470970472,23.633774935900053,1.061193069645924,24.694968005546002,25.604020697756937,1.057226616212759,26.661247313969696,0.044901547574355376,7,6,6,0.8571428571428571,False,False,0.0,False,1.0,1.0,1.0,1.0,True,0.0,0.0
ep003_task138,3,138,low,0.9,16-28,28,28,0.0,20.879617640673615,0.0,20.879617640673587,20.60168342365924,0.0,20.60168342365921,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
ep003_task150,3,150,high,0.9,16-28,28,28,3.074168577100099,46.99092298451957,0.0,46.990922984519614,45.94671256607067,0.0,45.946712566070744,0.0,7,7,7,1.0,True,False,0.0,False,0.9999999999999998,0.9999999999999998,1.0,1.0,True,0.0,0.0
