episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size,root_decision_index,root_decision_time,action_index,pair_j,pair_k,pair_rho,policy_probability,selected_original_action,root_completion_time,root_reward,root_delay,root_reliability,root_reliability_satisfied,preexisting_pending_task_count,preexisting_pending_leakage,duplicate_task_reward_count,relevant_provenance_records,own_undiscounted,own_decision,own_event,future_decision,future_event,total_decision,total_event,future_dec_next_1,future_evt_next_1,future_dec_next_2_5,future_evt_next_2_5,future_dec_next_6_10,future_evt_next_6_10,future_dec_next_11_20,future_evt_next_11_20,future_dec_next_gt20,future_evt_next_gt20,future_evt_lag_0_1s,future_evt_lag_1_2s,future_evt_lag_2_5s,future_evt_lag_gt5s,counterfactual_training_used
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,0,1,2,0.0210093691473638,0.0088197402656078,23,3.7374694022158814,86.59999372087212,1.089344040302341,0.99968765022785,True,0,0.0,0,200,86.59999372087212,86.59999372087212,77.20976149291678,381.0756375211528,328.9052439875807,467.6756312420249,406.11500548049753,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,1,1,3,0.1830678766361335,0.0092242956161499,23,3.849159246072381,81.15952717298968,1.2010338841588406,0.9994056124489132,True,0,0.0,0,200,81.15952717298968,81.15952717298968,71.51270596529847,381.0756375211528,328.9052439875807,462.2351646941424,400.4179499528792,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,2,1,4,0.0561603031188028,0.0133075844496488,23,3.5256090318624613,99.23524753523478,0.877483669948921,0.9998626097110456,True,0,0.0,0,200,99.23524753523478,99.23524753523478,90.47206573333474,381.0756375211528,328.9052439875807,480.3108850563875,419.3773097209155,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,3,1,5,0.3518939894755551,0.0119462711736559,23,3.964130285965279,76.2171290764531,1.3160049240517386,0.9997371449272768,True,0,0.0,0,200,76.2171290764531,76.2171290764531,66.34917131198134,381.0756375211528,328.9052439875807,457.29276659760586,395.2544152995621,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,4,1,6,0.0679947897999913,0.0152847459539771,23,3.545226214873077,97.90778368885545,0.8971008529595368,0.9999638997007092,True,0,0.0,0,200,97.90778368885545,97.90778368885545,89.07752379281006,381.0756375211528,328.9052439875807,478.9834212100082,417.9827677803908,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,5,1,7,0.1381715084459112,0.0210707150399684,23,3.376749553756458,110.70609298906528,0.7286241918429175,0.9999543131130778,True,0,0.0,0,200,110.70609298906528,110.70609298906528,102.52540875774598,381.0756375211528,328.9052439875807,491.7817305102181,431.4306527453267,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,6,1,8,0.0253963508325299,0.0179488323628902,23,3.564350866836922,96.64876515899124,0.9162255049233816,0.9999674838777004,True,0,0.0,0,200,96.64876515899124,96.64876515899124,87.75505236476891,381.0756375211528,328.9052439875807,477.724402680144,416.6602963523496,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,7,2,3,0.0519880254281581,0.0137982899323105,23,3.7374694022158814,86.59999372087212,1.089344040302341,0.9999310963387696,True,0,0.0,0,200,86.59999372087212,86.59999372087212,77.20976149291678,381.0756375211528,328.9052439875807,467.6756312420249,406.11500548049753,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,8,2,4,0.2986709986017473,0.0251072160899639,23,3.5256090318624613,99.23524753523478,0.877483669948921,0.9999840731961678,True,0,0.0,0,200,99.23524753523478,99.23524753523478,90.47206573333474,381.0756375211528,328.9052439875807,480.3108850563875,419.3773097209155,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28,1,2.6481253619135403,9,2,5,0.0514157914379756,0.0160738863050937,23,3.7374694022158814,86.59999372087212,1.089344040302341,0.9999695288421664,True,0,0.0,0,200,86.59999372087212,86.59999372087212,77.20976149291678,381.0756375211528,328.9052439875807,467.6756312420249,406.11500548049753,44.68941073740041,38.60412246100338,155.99278347870265,137.13030973028762,103.11202452338397,85.05483266069963,68.4129796951724,60.76974953395892,8.868439086493268,7.346229601631368,0.0,0.0,0.0,328.9052439875807,False
