state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,own_event_spread,future_event_spread,total_event_spread,own_decision_spread,future_decision_spread,total_decision_spread,future_own_spread_ratio,own_optimal_set_size,total_optimal_set_size,own_total_optimal_overlap,own_total_optimal_jaccard,own_total_exact_optimal_set_agreement,own_total_disjoint,own_optimal_total_regret,conflict_state,spearman,kendall,sign_agreement,optimal_set_jaccard,optimal_set_exact_agreement,mean_regret_dec_ranking_on_event,mean_regret_event_ranking_on_dec,coupling
ep232_task081,232,81,medium,0.99,16-28,28,28,1.3819570674293808,21.202810215195864,107.53382634344229,97.28046642509861,21.871455250075066,104.6437548805007,94.20894237989711,5.071678011171073,7,4,0,0.0,False,True,36.75896470251166,True,0.9994490358126722,0.9944598337950139,1.0,1.0,True,0.0,0.0,coupled
ep137_task125,137,125,medium,0.999,16-28,21,21,0.7671720430041054,18.0029344196913,101.97414334089189,92.4176904203324,18.258489708713185,100.31509695987086,90.77164891967533,5.66430677153133,7,3,0,0.0,False,True,11.343870476638187,True,1.0,1.0,1.0,1.0,True,0.0,0.0,coupled
ep011_task013,11,13,medium,0.999,16-28,27,27,1.099559117051244,33.16149406077491,93.19478001434368,118.70854249961758,31.83007165843204,89.88299077286126,114.30477049432932,2.8103311582869592,7,4,4,0.5714285714285714,False,False,0.0,False,1.0,0.9999999999999998,1.0,1.0,True,0.0,0.0,easy
ep289_task160,289,160,medium,0.9,16-28,28,28,0.9776335700333496,20.33097298308464,91.36253259015751,92.05666915907642,20.462209245887408,87.96003962163059,88.64059064146193,4.493760956063003,7,6,6,0.8571428571428571,False,False,0.0,False,1.0,1.0,1.0,1.0,True,0.0,0.0,easy
ep285_task081,285,81,medium,0.99,16-28,28,28,0.8762074251050365,18.721542553776764,88.45770823286716,81.27825399120792,19.264512369822242,84.86759195608113,77.66074469447221,4.724915587418958,7,5,0,0.0,False,True,5.829572622463729,True,0.9983235540653815,0.9881656804733727,1.0,1.0,True,0.0,0.0,coupled
