state_id,positive_fraction,negative_fraction,near_zero_fraction,within_state_sign_diversity
ep204_task160,,,1.0,0
ep204_task173,,,1.0,0
ep204_task187,0.7692307692307693,0.23076923076923078,0.0,2
ep204_task200,,,1.0,0
ep210_task001,,,1.0,0
ep210_task014,0.75,0.25,0.0,2
ep210_task028,0.75,0.25,0.0,2
ep210_task041,,,1.0,0
ep210_task054,,,1.0,0
ep210_task067,0.7307692307692307,0.2692307692307692,0.0,2
ep210_task081,0.72,0.28,0.0,2
ep210_task094,0.8333333333333334,0.16666666666666666,0.0,2
ep210_task107,0.9642857142857143,0.03571428571428571,0.0,2
ep210_task120,,,1.0,0
ep210_task134,,,1.0,0
ep210_task147,,,1.0,0
ep210_task160,,,1.0,0
ep210_task173,0.7142857142857143,0.2857142857142857,0.0,2
ep210_task187,,,1.0,0
ep210_task200,,,1.0,0
ep213_task001,,,1.0,0
ep213_task014,,,1.0,0
ep213_task028,,,1.0,0
ep213_task041,0.75,0.25,0.0,2
ep213_task054,0.72,0.28,0.0,2
ep213_task067,,,1.0,0
ep213_task081,0.75,0.25,0.0,2
ep213_task094,0.6956521739130435,0.30434782608695654,0.0,2
ep213_task107,0.6785714285714286,0.32142857142857145,0.0,2
ep213_task120,0.4166666666666667,0.5833333333333334,0.0,2
ep213_task134,,,1.0,0
ep213_task147,0.75,0.25,0.0,2
ep213_task160,,,1.0,0
ep213_task173,,,1.0,0
ep213_task187,0.76,0.24,0.0,2
ep213_task200,,,1.0,0
ep214_task001,,,1.0,0
ep214_task014,,,1.0,0
ep214_task028,0.75,0.25,0.0,2
ep214_task041,,,1.0,0
ep214_task054,0.7083333333333334,0.2916666666666667,0.0,2
ep214_task067,,,1.0,0
ep214_task081,0.75,0.25,0.0,2
ep214_task094,0.75,0.25,0.0,2
ep214_task107,0.75,0.25,0.0,2
ep214_task120,0.5,0.5,0.0,2
ep214_task134,,,1.0,0
ep214_task147,,,1.0,0
ep214_task160,0.75,0.25,0.0,2
ep214_task173,,,1.0,0
ep214_task187,,,1.0,0
ep214_task200,,,1.0,0
ep218_task001,,,1.0,0
ep218_task014,,,1.0,0
ep218_task028,,,1.0,0
ep218_task041,,,1.0,0
ep218_task054,0.6842105263157895,0.3157894736842105,0.0,2
ep218_task067,0.7037037037037037,0.2962962962962963,0.0,2
ep218_task081,0.7407407407407407,0.25925925925925924,0.0,2
ep218_task094,0.625,0.375,0.0,2
ep218_task107,0.7142857142857143,0.2857142857142857,0.0,2
ep218_task120,0.16666666666666666,0.8333333333333334,0.0,2
ep218_task134,,,1.0,0
ep218_task147,,,1.0,0
ep218_task160,,,1.0,0
ep218_task173,0.75,0.25,0.0,2
ep218_task187,0.6111111111111112,0.3888888888888889,0.0,2
ep218_task200,,,1.0,0
ep220_task001,,,1.0,0
ep220_task014,,,1.0,0
ep220_task028,0.75,0.25,0.0,2
ep220_task041,,,1.0,0
ep220_task054,0.7916666666666666,0.20833333333333334,0.0,2
ep220_task067,0.75,0.25,0.0,2
ep220_task081,0.75,0.25,0.0,2
ep220_task094,0.631578947368421,0.3684210526315789,0.0,2
ep220_task107,0.5714285714285714,0.42857142857142855,0.0,2
ep220_task120,,,1.0,0
ep220_task134,0.5,0.5,0.0,2
ep220_task147,,,1.0,0
ep220_task160,0.75,0.25,0.0,2
ep220_task173,,,1.0,0
ep220_task187,,,1.0,0
ep220_task200,,,1.0,0
ep221_task001,,,1.0,0
ep221_task014,0.75,0.25,0.0,2
ep221_task028,,,1.0,0
ep221_task041,0.75,0.25,0.0,2
ep221_task054,0.631578947368421,0.3684210526315789,0.0,2
ep221_task067,,,1.0,0
ep221_task081,,,1.0,0
ep221_task094,0.9333333333333333,0.06666666666666667,0.0,2
ep221_task107,0.7142857142857143,0.2857142857142857,0.0,2
ep221_task120,,,1.0,0
ep221_task134,0.7142857142857143,0.2857142857142857,0.0,2
ep221_task147,,,1.0,0
ep221_task160,0.75,0.25,0.0,2
ep221_task173,0.75,0.25,0.0,2
ep221_task187,0.6111111111111112,0.3888888888888889,0.0,2
ep221_task200,,,1.0,0
ep222_task001,,,1.0,0
ep222_task014,0.75,0.25,0.0,2
ep222_task028,0.75,0.25,0.0,2
ep222_task041,,,1.0,0
ep222_task054,0.7894736842105263,0.21052631578947367,0.0,2
ep222_task067,,,1.0,0
ep222_task081,,,1.0,0
ep222_task094,0.875,0.125,0.0,2
ep222_task107,0.75,0.25,0.0,2
ep222_task120,0.3333333333333333,0.6666666666666666,0.0,2
ep222_task134,0.75,0.25,0.0,2
ep222_task147,,,1.0,0
ep222_task160,0.75,0.25,0.0,2
ep222_task173,,,1.0,0
ep222_task187,,,1.0,0
ep222_task200,,,1.0,0
ep223_task001,,,1.0,0
ep223_task014,,,1.0,0
ep223_task028,,,1.0,0
ep223_task041,0.75,0.25,0.0,2
ep223_task054,,,1.0,0
ep223_task067,0.75,0.25,0.0,2
ep223_task081,0.75,0.25,0.0,2
ep223_task094,,,1.0,0
ep223_task107,0.7142857142857143,0.2857142857142857,0.0,2
ep223_task120,,,1.0,0
ep223_task134,0.75,0.25,0.0,2
ep223_task147,,,1.0,0
ep223_task160,,,1.0,0
ep223_task173,0.75,0.25,0.0,2
ep223_task187,,,1.0,0
ep223_task200,,,1.0,0
ep232_task001,,,1.0,0
ep232_task014,0.75,0.25,0.0,2
ep232_task028,,,1.0,0
ep232_task041,,,1.0,0
ep232_task054,0.6111111111111112,0.3888888888888889,0.0,2
ep232_task067,0.7142857142857143,0.2857142857142857,0.0,2
ep232_task081,0.75,0.25,0.0,2
ep232_task094,0.3333333333333333,0.6666666666666666,0.0,2
ep232_task107,0.9642857142857143,0.03571428571428571,0.0,2
ep232_task120,,,1.0,0
ep232_task134,0.5357142857142857,0.4642857142857143,0.0,2
ep232_task147,,,1.0,0
ep232_task160,0.5357142857142857,0.4642857142857143,0.0,2
ep232_task173,,,1.0,0
ep232_task187,,,1.0,0
ep232_task200,,,1.0,0
ep243_task001,,,1.0,0
ep243_task014,,,1.0,0
ep243_task028,,,1.0,0
ep243_task041,,,1.0,0
ep243_task054,0.9444444444444444,0.05555555555555555,0.0,2
ep243_task067,0.7407407407407407,0.25925925925925924,0.0,2
ep243_task081,,,1.0,0
ep243_task094,0.6428571428571429,0.35714285714285715,0.0,2
ep243_task107,0.7142857142857143,0.2857142857142857,0.0,2
ep243_task120,0.4,0.6,0.0,2
ep243_task134,,,1.0,0
ep243_task147,,,1.0,0
ep243_task160,0.75,0.25,0.0,2
ep243_task173,,,1.0,0
ep243_task187,,,1.0,0
ep243_task200,,,1.0,0
ep247_task001,0.75,0.25,0.0,2
ep247_task014,0.75,0.25,0.0,2
ep247_task028,,,1.0,0
ep247_task041,0.7407407407407407,0.25925925925925924,0.0,2
ep247_task054,,,1.0,0
ep247_task067,,,1.0,0
ep247_task081,0.7307692307692307,0.2692307692307692,0.0,2
ep247_task094,0.6363636363636364,0.36363636363636365,0.0,2
ep247_task107,0.75,0.25,0.0,2
ep247_task120,,,1.0,0
ep247_task134,,,1.0,0
ep247_task147,,,1.0,0
ep247_task160,0.75,0.25,0.0,2
ep247_task173,0.75,0.25,0.0,2
ep247_task187,,,1.0,0
ep247_task200,,,1.0,0
ep263_task001,,,1.0,0
ep263_task014,0.75,0.25,0.0,2
ep263_task028,0.9642857142857143,0.03571428571428571,0.0,2
ep263_task041,0.75,0.25,0.0,2
ep263_task054,,,1.0,0
ep263_task067,0.75,0.25,0.0,2
ep263_task081,0.7142857142857143,0.2857142857142857,0.0,2
ep263_task094,0.7647058823529411,0.23529411764705882,0.0,2
ep263_task107,0.6785714285714286,0.32142857142857145,0.0,2
ep263_task120,0.25,0.75,0.0,2
ep263_task134,0.75,0.25,0.0,2
ep263_task147,,,1.0,0
ep263_task160,,,1.0,0
ep263_task173,0.5357142857142857,0.4642857142857143,0.0,2
ep263_task187,,,1.0,0
ep263_task200,,,1.0,0
ep264_task001,,,1.0,0
ep264_task014,0.75,0.25,0.0,2
ep264_task028,0.9642857142857143,0.03571428571428571,0.0,2
ep264_task041,,,1.0,0
ep264_task054,0.7391304347826086,0.2608695652173913,0.0,2
ep264_task067,0.9285714285714286,0.07142857142857142,0.0,2
ep264_task081,0.6785714285714286,0.32142857142857145,0.0,2
ep264_task094,0.47058823529411764,0.5294117647058824,0.0,2
ep264_task107,0.75,0.25,0.0,2
ep264_task120,,,1.0,0
ep264_task134,0.5357142857142857,0.4642857142857143,0.0,2
ep264_task147,0.75,0.25,0.0,2
ep264_task160,,,1.0,0
ep264_task173,,,1.0,0
ep264_task187,,,1.0,0
ep264_task200,,,1.0,0
ep273_task001,,,1.0,0
ep273_task014,0.75,0.25,0.0,2
ep273_task028,0.75,0.25,0.0,2
ep273_task041,,,1.0,0
ep273_task054,0.6818181818181818,0.3181818181818182,0.0,2
ep273_task067,0.75,0.25,0.0,2
ep273_task081,,,1.0,0
ep273_task094,0.625,0.375,0.0,2
ep273_task107,,,1.0,0
ep273_task120,0.5,0.5,0.0,2
ep273_task134,0.7142857142857143,0.2857142857142857,0.0,2
ep273_task147,0.75,0.25,0.0,2
ep273_task160,,,1.0,0
ep273_task173,,,1.0,0
ep273_task187,0.45454545454545453,0.5454545454545454,0.0,2
ep273_task200,,,1.0,0
ep277_task001,,,1.0,0
ep277_task014,0.75,0.25,0.0,2
ep277_task028,,,1.0,0
ep277_task041,,,1.0,0
ep277_task054,0.7058823529411765,0.29411764705882354,0.0,2
ep277_task067,,,1.0,0
ep277_task081,0.8148148148148148,0.18518518518518517,0.0,2
ep277_task094,0.5,0.5,0.0,2
ep277_task107,0.6785714285714286,0.32142857142857145,0.0,2
ep277_task120,,,1.0,0
ep277_task134,,,1.0,0
ep277_task147,,,1.0,0
ep277_task160,0.6785714285714286,0.32142857142857145,0.0,2
ep277_task173,0.75,0.25,0.0,2
ep277_task187,,,1.0,0
ep277_task200,,,1.0,0
ep284_task001,,,1.0,0
ep284_task014,,,1.0,0
ep284_task028,,,1.0,0
ep284_task041,,,1.0,0
ep284_task054,0.8947368421052632,0.10526315789473684,0.0,2
ep284_task067,0.75,0.25,0.0,2
ep284_task081,,,1.0,0
ep284_task094,0.45454545454545453,0.5454545454545454,0.0,2
ep284_task107,0.75,0.25,0.0,2
ep284_task120,0.5,0.5,0.0,2
ep284_task134,0.75,0.25,0.0,2
ep284_task147,,,1.0,0
ep284_task160,0.75,0.25,0.0,2
ep284_task173,0.75,0.25,0.0,2
ep284_task187,0.6666666666666666,0.3333333333333333,0.0,2
ep284_task200,,,1.0,0
ep285_task001,,,1.0,0
ep285_task014,0.75,0.25,0.0,2
ep285_task028,0.75,0.25,0.0,2
ep285_task041,,,1.0,0
ep285_task054,,,1.0,0
ep285_task067,0.75,0.25,0.0,2
ep285_task081,0.8928571428571429,0.10714285714285714,0.0,2
ep285_task094,0.9375,0.0625,0.0,2
ep285_task107,0.7142857142857143,0.2857142857142857,0.0,2
ep285_task120,,,1.0,0
ep285_task134,0.75,0.25,0.0,2
ep285_task147,0.75,0.25,0.0,2
ep285_task160,0.75,0.25,0.0,2
ep285_task173,,,1.0,0
ep285_task187,,,1.0,0
ep285_task200,,,1.0,0
ep289_task001,,,1.0,0
ep289_task014,,,1.0,0
ep289_task028,0.75,0.25,0.0,2
ep289_task041,,,1.0,0
ep289_task054,,,1.0,0
ep289_task067,,,1.0,0
ep289_task081,,,1.0,0
ep289_task094,0.46153846153846156,0.5384615384615384,0.0,2
ep289_task107,0.75,0.25,0.0,2
ep289_task120,,,1.0,0
ep289_task134,,,1.0,0
ep289_task147,0.75,0.25,0.0,2
ep289_task160,0.75,0.25,0.0,2
ep289_task173,0.75,0.25,0.0,2
ep289_task187,0.5882352941176471,0.4117647058823529,0.0,2
ep289_task200,,,1.0,0
ep296_task001,,,1.0,0
ep296_task014,,,1.0,0
ep296_task028,,,1.0,0
ep296_task041,0.21428571428571427,0.7857142857142857,0.0,2
ep296_task054,0.9047619047619048,0.09523809523809523,0.0,2
ep296_task067,0.75,0.25,0.0,2
ep296_task081,0.75,0.25,0.0,2
ep296_task094,,,1.0,0
ep296_task107,0.7142857142857143,0.2857142857142857,0.0,2
ep296_task120,0.6666666666666666,0.3333333333333333,0.0,2
ep296_task134,0.5714285714285714,0.42857142857142855,0.0,2
ep296_task147,,,1.0,0
ep296_task160,,,1.0,0
ep296_task173,0.75,0.25,0.0,2
ep296_task187,,,1.0,0
ep296_task200,,,1.0,0
