state_id,positive_fraction,negative_fraction,near_zero_fraction,within_state_sign_diversity
ep037_task051,0.8571428571428571,0.14285714285714285,0.0,2
ep037_task063,0.8,0.2,0.0,2
ep037_task076,,,1.0,0
ep037_task088,,,1.0,0
ep037_task100,,,1.0,0
ep037_task113,0.72,0.28,0.0,2
ep037_task125,,,1.0,0
ep037_task138,0.75,0.25,0.0,2
ep037_task150,,,1.0,0
ep037_task163,0.75,0.25,0.0,2
ep037_task175,0.75,0.25,0.0,2
ep037_task188,,,1.0,0
ep037_task200,,,1.0,0
ep044_task001,,,1.0,0
ep044_task013,0.5357142857142857,0.4642857142857143,0.0,2
ep044_task026,,,1.0,0
ep044_task038,,,1.0,0
ep044_task051,0.7307692307692307,0.2692307692307692,0.0,2
ep044_task063,,,1.0,0
ep044_task076,0.95,0.05,0.0,2
ep044_task088,,,1.0,0
ep044_task100,0.45,0.55,0.0,2
ep044_task113,0.5357142857142857,0.4642857142857143,0.0,2
ep044_task125,0.6956521739130435,0.30434782608695654,0.0,2
ep044_task138,0.9642857142857143,0.03571428571428571,0.0,2
ep044_task150,0.75,0.25,0.0,2
ep044_task163,,,1.0,0
ep044_task175,0.17857142857142858,0.8214285714285714,0.0,2
ep044_task188,,,1.0,0
ep044_task200,,,1.0,0
ep057_task001,,,1.0,0
ep057_task013,0.7083333333333334,0.2916666666666667,0.0,2
ep057_task026,0.5454545454545454,0.45454545454545453,0.0,2
ep057_task038,,,1.0,0
ep057_task051,0.7368421052631579,0.2631578947368421,0.0,2
ep057_task063,,,1.0,0
ep057_task076,,,1.0,0
ep057_task088,,,1.0,0
ep057_task100,,,1.0,0
ep057_task113,0.6666666666666666,0.3333333333333333,0.0,2
ep057_task125,0.6470588235294118,0.35294117647058826,0.0,2
ep057_task138,0.5357142857142857,0.4642857142857143,0.0,2
ep057_task150,0.75,0.25,0.0,2
ep057_task163,,,1.0,0
ep057_task175,,,1.0,0
ep057_task188,0.75,0.25,0.0,2
ep057_task200,,,1.0,0
ep058_task001,,,1.0,0
ep058_task013,,,1.0,0
ep058_task026,0.6428571428571429,0.35714285714285715,0.0,2
ep058_task038,0.75,0.25,0.0,2
ep058_task051,0.72,0.28,0.0,2
ep058_task063,0.75,0.25,0.0,2
ep058_task076,0.6875,0.3125,0.0,2
ep058_task088,0.5185185185185185,0.48148148148148145,0.0,2
ep058_task100,0.6875,0.3125,0.0,2
ep058_task113,0.7407407407407407,0.25925925925925924,0.0,2
ep058_task125,0.9,0.1,0.0,2
ep058_task138,,,1.0,0
ep058_task150,0.75,0.25,0.0,2
ep058_task163,0.7142857142857143,0.2857142857142857,0.0,2
ep058_task175,,,1.0,0
ep058_task188,,,1.0,0
ep058_task200,,,1.0,0
ep060_task001,,,1.0,0
ep060_task013,,,1.0,0
ep060_task026,,,1.0,0
ep060_task038,,,1.0,0
ep060_task051,,,1.0,0
ep060_task063,,,1.0,0
ep060_task076,0.6428571428571429,0.35714285714285715,0.0,2
ep060_task088,,,1.0,0
ep060_task100,0.6,0.4,0.0,2
ep060_task113,0.7307692307692307,0.2692307692307692,0.0,2
ep060_task125,0.631578947368421,0.3684210526315789,0.0,2
ep060_task138,0.75,0.25,0.0,2
ep060_task150,,,1.0,0
ep060_task163,,,1.0,0
ep060_task175,0.75,0.25,0.0,2
ep060_task188,,,1.0,0
ep060_task200,,,1.0,0
ep063_task001,,,1.0,0
ep063_task013,,,1.0,0
ep063_task026,0.6111111111111112,0.3888888888888889,0.0,2
ep063_task038,,,1.0,0
ep063_task051,0.76,0.24,0.0,2
ep063_task063,0.7407407407407407,0.25925925925925924,0.0,2
ep063_task076,,,1.0,0
ep063_task088,,,1.0,0
ep063_task100,,,1.0,0
ep063_task113,0.5185185185185185,0.48148148148148145,0.0,2
ep063_task125,0.6818181818181818,0.3181818181818182,0.0,2
ep063_task138,,,1.0,0
ep063_task150,0.75,0.25,0.0,2
ep063_task163,,,1.0,0
ep063_task175,,,1.0,0
ep063_task188,,,1.0,0
ep063_task200,,,1.0,0
ep064_task001,,,1.0,0
ep064_task013,0.7083333333333334,0.2916666666666667,0.0,2
ep064_task026,,,1.0,0
ep064_task038,,,1.0,0
ep064_task051,0.7391304347826086,0.2608695652173913,0.0,2
ep064_task063,,,1.0,0
ep064_task076,,,1.0,0
ep064_task088,,,1.0,0
ep064_task100,,,1.0,0
ep064_task113,0.5,0.5,0.0,2
ep064_task125,0.7142857142857143,0.2857142857142857,0.0,2
ep064_task138,,,1.0,0
ep064_task150,,,1.0,0
ep064_task163,0.75,0.25,0.0,2
ep064_task175,,,1.0,0
ep064_task188,0.75,0.25,0.0,2
ep064_task200,,,1.0,0
ep066_task001,0.75,0.25,0.0,2
ep066_task013,,,1.0,0
ep066_task026,0.8181818181818182,0.18181818181818182,0.0,2
ep066_task038,0.75,0.25,0.0,2
ep066_task051,,,1.0,0
ep066_task063,,,1.0,0
ep066_task076,0.5,0.5,0.0,2
ep066_task088,,,1.0,0
ep066_task100,,,1.0,0
ep066_task113,,,1.0,0
ep066_task125,0.625,0.375,0.0,2
ep066_task138,,,1.0,0
ep066_task150,,,1.0,0
ep066_task163,,,1.0,0
ep066_task175,0.75,0.25,0.0,2
ep066_task188,0.75,0.25,0.0,2
ep066_task200,,,1.0,0
ep068_task001,0.75,0.25,0.0,2
ep068_task013,,,1.0,0
ep068_task026,0.6875,0.3125,0.0,2
ep068_task038,,,1.0,0
ep068_task051,,,1.0,0
ep068_task063,0.75,0.25,0.0,2
ep068_task076,0.9473684210526315,0.05263157894736842,0.0,2
ep068_task088,,,1.0,0
ep068_task100,,,1.0,0
ep068_task113,0.75,0.25,0.0,2
ep068_task125,0.6363636363636364,0.36363636363636365,0.0,2
ep068_task138,0.75,0.25,0.0,2
ep068_task150,,,1.0,0
ep068_task163,,,1.0,0
ep068_task175,0.75,0.25,0.0,2
ep068_task188,,,1.0,0
ep068_task200,,,1.0,0
ep069_task001,,,1.0,0
ep069_task013,,,1.0,0
ep069_task026,0.8571428571428571,0.14285714285714285,0.0,2
ep069_task038,,,1.0,0
ep069_task051,0.6111111111111112,0.3888888888888889,0.0,2
ep069_task063,0.7307692307692307,0.2692307692307692,0.0,2
ep069_task076,,,1.0,0
ep069_task088,0.6111111111111112,0.3888888888888889,0.0,2
ep069_task100,,,1.0,0
ep069_task113,0.6666666666666666,0.3333333333333333,0.0,2
ep069_task125,,,1.0,0
ep069_task138,0.75,0.25,0.0,2
ep069_task150,0.75,0.25,0.0,2
ep069_task163,0.75,0.25,0.0,2
ep069_task175,0.75,0.25,0.0,2
ep069_task188,0.75,0.25,0.0,2
ep069_task200,,,1.0,0
ep073_task001,,,1.0,0
ep073_task013,,,1.0,0
ep073_task026,0.5882352941176471,0.4117647058823529,0.0,2
ep073_task038,0.75,0.25,0.0,2
ep073_task051,0.7037037037037037,0.2962962962962963,0.0,2
ep073_task063,,,1.0,0
ep073_task076,0.65,0.35,0.0,2
ep073_task088,0.7407407407407407,0.25925925925925924,0.0,2
ep073_task100,0.65,0.35,0.0,2
ep073_task113,0.75,0.25,0.0,2
ep073_task125,0.5652173913043478,0.43478260869565216,0.0,2
ep073_task138,,,1.0,0
ep073_task150,,,1.0,0
ep073_task163,0.75,0.25,0.0,2
ep073_task175,0.75,0.25,0.0,2
ep073_task188,,,1.0,0
ep073_task200,,,1.0,0
ep096_task001,,,1.0,0
ep096_task013,,,1.0,0
ep096_task026,0.6956521739130435,0.30434782608695654,0.0,2
ep096_task038,0.75,0.25,0.0,2
ep096_task051,0.7407407407407407,0.25925925925925924,0.0,2
ep096_task063,,,1.0,0
ep096_task076,,,1.0,0
ep096_task088,,,1.0,0
ep096_task100,0.6956521739130435,0.30434782608695654,0.0,2
ep096_task113,0.7142857142857143,0.2857142857142857,0.0,2
ep096_task125,,,1.0,0
ep096_task138,,,1.0,0
ep096_task150,0.7857142857142857,0.21428571428571427,0.0,2
ep096_task163,0.75,0.25,0.0,2
ep096_task175,,,1.0,0
ep096_task188,,,1.0,0
ep096_task200,,,1.0,0
ep099_task001,,,1.0,0
ep099_task013,0.6666666666666666,0.3333333333333333,0.0,2
ep099_task026,,,1.0,0
ep099_task038,,,1.0,0
ep099_task051,,,1.0,0
ep099_task063,0.76,0.24,0.0,2
ep099_task076,,,1.0,0
ep099_task088,,,1.0,0
ep099_task100,,,1.0,0
ep099_task113,,,1.0,0
ep099_task125,,,1.0,0
ep099_task138,0.75,0.25,0.0,2
ep099_task150,0.7142857142857143,0.2857142857142857,0.0,2
ep099_task163,0.9642857142857143,0.03571428571428571,0.0,2
ep099_task175,0.75,0.25,0.0,2
ep099_task188,,,1.0,0
ep099_task200,,,1.0,0
ep100_task001,,,1.0,0
ep100_task013,,,1.0,0
ep100_task026,0.6428571428571429,0.35714285714285715,0.0,2
ep100_task038,,,1.0,0
ep100_task051,0.6956521739130435,0.30434782608695654,0.0,2
ep100_task063,,,1.0,0
ep100_task076,0.7333333333333333,0.26666666666666666,0.0,2
ep100_task088,,,1.0,0
ep100_task100,,,1.0,0
ep100_task113,,,1.0,0
ep100_task125,,,1.0,0
ep100_task138,0.75,0.25,0.0,2
ep100_task150,,,1.0,0
ep100_task163,,,1.0,0
ep100_task175,0.5357142857142857,0.4642857142857143,0.0,2
ep100_task188,,,1.0,0
ep100_task200,,,1.0,0
ep102_task001,0.75,0.25,0.0,2
ep102_task013,0.7407407407407407,0.25925925925925924,0.0,2
ep102_task026,,,1.0,0
ep102_task038,,,1.0,0
ep102_task051,0.7391304347826086,0.2608695652173913,0.0,2
ep102_task063,,,1.0,0
ep102_task076,0.5384615384615384,0.46153846153846156,0.0,2
ep102_task088,,,1.0,0
ep102_task100,,,1.0,0
ep102_task113,0.7307692307692307,0.2692307692307692,0.0,2
ep102_task125,0.7777777777777778,0.2222222222222222,0.0,2
ep102_task138,,,1.0,0
ep102_task150,,,1.0,0
ep102_task163,,,1.0,0
ep102_task175,0.75,0.25,0.0,2
ep102_task188,,,1.0,0
ep102_task200,,,1.0,0
ep103_task001,,,1.0,0
ep103_task013,,,1.0,0
ep103_task026,0.625,0.375,0.0,2
ep103_task038,,,1.0,0
ep103_task051,0.8333333333333334,0.16666666666666666,0.0,2
ep103_task063,0.7407407407407407,0.25925925925925924,0.0,2
ep103_task076,0.9,0.1,0.0,2
ep103_task088,,,1.0,0
ep103_task100,0.5,0.5,0.0,2
ep103_task113,0.6666666666666666,0.3333333333333333,0.0,2
ep103_task125,0.6666666666666666,0.3333333333333333,0.0,2
ep103_task138,0.75,0.25,0.0,2
ep103_task150,,,1.0,0
ep103_task163,0.75,0.25,0.0,2
ep103_task175,,,1.0,0
ep103_task188,,,1.0,0
ep103_task200,,,1.0,0
ep107_task001,,,1.0,0
ep107_task013,,,1.0,0
ep107_task026,0.7142857142857143,0.2857142857142857,0.0,2
ep107_task038,0.5185185185185185,0.48148148148148145,0.0,2
ep107_task051,,,1.0,0
ep107_task063,,,1.0,0
ep107_task076,,,1.0,0
ep107_task088,,,1.0,0
ep107_task100,0.6363636363636364,0.36363636363636365,0.0,2
ep107_task113,0.6666666666666666,0.3333333333333333,0.0,2
ep107_task125,,,1.0,0
ep107_task138,0.75,0.25,0.0,2
ep107_task150,,,1.0,0
ep107_task163,,,1.0,0
ep107_task175,0.75,0.25,0.0,2
ep107_task188,0.75,0.25,0.0,2
ep107_task200,,,1.0,0
ep120_task001,,,1.0,0
ep120_task013,0.75,0.25,0.0,2
ep120_task026,0.4,0.6,0.0,2
ep120_task038,,,1.0,0
ep120_task051,,,1.0,0
ep120_task063,,,1.0,0
ep120_task076,,,1.0,0
ep120_task088,,,1.0,0
ep120_task100,0.75,0.25,0.0,2
ep120_task113,,,1.0,0
ep120_task125,0.9444444444444444,0.05555555555555555,0.0,2
ep120_task138,,,1.0,0
ep120_task150,0.75,0.25,0.0,2
ep120_task163,,,1.0,0
ep120_task175,,,1.0,0
ep120_task188,,,1.0,0
ep120_task200,,,1.0,0
ep133_task001,,,1.0,0
ep133_task013,0.75,0.25,0.0,2
ep133_task026,,,1.0,0
ep133_task038,,,1.0,0
ep133_task051,0.75,0.25,0.0,2
ep133_task063,,,1.0,0
ep133_task076,,,1.0,0
ep133_task088,,,1.0,0
ep133_task100,0.72,0.28,0.0,2
ep133_task113,0.5,0.5,0.0,2
ep133_task125,0.75,0.25,0.0,2
ep133_task138,0.5357142857142857,0.4642857142857143,0.0,2
ep133_task150,,,1.0,0
ep133_task163,,,1.0,0
ep133_task175,0.7142857142857143,0.2857142857142857,0.0,2
ep133_task188,,,1.0,0
ep133_task200,,,1.0,0
ep137_task001,,,1.0,0
ep137_task013,0.7407407407407407,0.25925925925925924,0.0,2
ep137_task026,,,1.0,0
ep137_task038,,,1.0,0
ep137_task051,0.72,0.28,0.0,2
ep137_task063,,,1.0,0
ep137_task076,,,1.0,0
ep137_task088,0.96,0.04,0.0,2
ep137_task100,0.5882352941176471,0.4117647058823529,0.0,2
ep137_task113,0.6666666666666666,0.3333333333333333,0.0,2
ep137_task125,0.6666666666666666,0.3333333333333333,0.0,2
ep137_task138,0.75,0.25,0.0,2
ep137_task150,,,1.0,0
ep137_task163,,,1.0,0
ep137_task175,0.5714285714285714,0.42857142857142855,0.0,2
ep137_task188,0.75,0.25,0.0,2
ep137_task200,,,1.0,0
ep143_task001,,,1.0,0
ep143_task013,,,1.0,0
ep143_task026,,,1.0,0
ep143_task038,,,1.0,0
ep143_task051,,,1.0,0
ep143_task063,0.75,0.25,0.0,2
ep143_task076,0.6470588235294118,0.35294117647058826,0.0,2
ep143_task088,,,1.0,0
ep143_task100,,,1.0,0
ep143_task113,,,1.0,0
ep143_task125,0.7272727272727273,0.2727272727272727,0.0,2
ep143_task138,0.8928571428571429,0.10714285714285714,0.0,2
ep143_task150,,,1.0,0
ep143_task163,0.7142857142857143,0.2857142857142857,0.0,2
ep143_task175,0.75,0.25,0.0,2
ep143_task188,,,1.0,0
ep143_task200,,,1.0,0
ep146_task001,,,1.0,0
ep146_task013,0.7307692307692307,0.2692307692307692,0.0,2
ep146_task026,0.7058823529411765,0.29411764705882354,0.0,2
ep146_task038,0.75,0.25,0.0,2
ep146_task051,0.6666666666666666,0.3333333333333333,0.0,2
