gae_kind,semantics,component,n,pearson,spearman,sign_agreement,sign_agreement_including_zero
actor_normalized,decision,future,1000,0.08354151932129693,0.04053110037901733,0.5772532188841202,0.269
actor_normalized,decision,own,1000,0.09261029406311629,0.11086458896213404,0.5158974358974359,0.503
actor_normalized,decision,total,1000,0.12415133360563292,0.14944928399777543,0.5312820512820513,0.518
actor_normalized,event,future,1000,0.08495748827369516,0.07607736813226795,0.5815450643776824,0.271
actor_normalized,event,own,1000,0.09222250845569178,0.1143766784263098,0.5169230769230769,0.504
actor_normalized,event,total,1000,0.12466517846319246,0.1522808919960196,0.5343589743589744,0.521
raw,decision,future,1000,0.08638684271640219,0.041070172058933097,0.6459227467811158,0.301
raw,decision,own,1000,0.09020477109922553,0.11107782899891049,0.6051282051282051,0.59
raw,decision,total,1000,0.12372735289709429,0.1486801818466931,0.6,0.585
raw,event,future,1000,0.08838819837978777,0.07577926384078436,0.6502145922746781,0.303
raw,event,own,1000,0.08969356537194405,0.11422770078741168,0.6041025641025641,0.589
raw,event,total,1000,0.12444656685986374,0.1516848321199062,0.598974358974359,0.584
