state_id,method,reference,candidate_count,spearman,pearson,top1_hit,top3_optimal_overlap,top5_optimal_overlap,top3_reference_overlap,top5_reference_overlap,best_action_index,reference_regret,reference_optimal_set_size
ep001_task038,CenteredAdvantage,OwnEvent,28,0.914370746042074,0.9061146454624555,False,0.6666666666666666,0.6,0.6666666666666666,0.6,21,5.659585857947491,7
ep001_task038,OldQ,OwnEvent,28,0.55898327362365,0.598481646503877,True,1.0,0.6,1.0,0.6,5,0.0,7
ep001_task038,SafeMin,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,5,0.0,28
ep001_task038,PPOActor,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,27,0.0,28
ep001_task038,CenteredAdvantage,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,21,0.0,28
ep001_task038,OldQ,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,5,0.0,28
ep001_task038,SafeMin,TotalEvent,28,0.9999999999999998,0.9959158977833966,True,1.0,1.0,1.0,1.0,5,0.0,7
ep001_task038,PPOActor,TotalEvent,28,0.7570087382705932,0.6623063399947737,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,7
ep001_task038,CenteredAdvantage,TotalEvent,28,0.914370746042074,0.9061146454624553,False,0.6666666666666666,0.6,0.6666666666666666,0.6,21,5.659585857947491,7
ep001_task038,OldQ,TotalEvent,28,0.55898327362365,0.5984816465038773,True,1.0,0.6,1.0,0.6,5,0.0,7
ep001_task051,SafeMin,OwnEvent,24,1.0,0.9948351122439376,True,1.0,1.0,1.0,1.0,5,0.0,7
ep001_task051,PPOActor,OwnEvent,24,0.6487452208090132,0.5787428009470748,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,7
ep001_task051,CenteredAdvantage,OwnEvent,24,0.8539878628806407,0.9109279057661713,False,0.6666666666666666,0.6,0.6666666666666666,0.6,21,3.112797974339088,7
ep001_task051,OldQ,OwnEvent,24,0.5077524492989389,0.4882141682842497,True,1.0,0.6,1.0,0.6,5,0.0,7
ep001_task051,SafeMin,FutureEvent,24,-0.8027266799048054,-0.5136692231883644,False,0.0,0.0,0.0,0.0,5,10.92888699474858,17
ep001_task051,PPOActor,FutureEvent,24,-0.4787549991450211,-0.5776068540476734,False,0.3333333333333333,0.4,0.3333333333333333,0.4,27,23.993546290660987,17
ep001_task051,CenteredAdvantage,FutureEvent,24,-0.5340802335999949,-0.48931076338561524,True,0.3333333333333333,0.4,0.3333333333333333,0.4,21,0.0,17
ep001_task051,OldQ,FutureEvent,24,-0.37084340322789394,-0.3352579744662467,False,0.0,0.4,0.0,0.4,5,10.92888699474858,17
ep001_task051,SafeMin,TotalEvent,24,0.005468278588221091,0.4643639249561773,False,0.0,0.0,0.0,0.0,5,7.8160890204095494,6
ep001_task051,PPOActor,TotalEvent,24,0.10834817771935072,-0.04063574501313371,False,0.3333333333333333,0.4,0.3333333333333333,0.4,27,20.880748316322013,6
ep001_task051,CenteredAdvantage,TotalEvent,24,0.23312620206007842,0.4040554911358495,True,0.3333333333333333,0.4,0.3333333333333333,0.4,21,0.0,6
