state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,method,action_index,semantics,component,optimal_set_hit,top3_hit,top5_hit,regret,optimal_set_size,conflict_state
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,SafeMin,12,event,future,True,True,True,0.0,17,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,SafeMin,12,event,total,True,True,True,0.0,6,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,SafeMin,6,decision,own,True,True,True,0.0,7,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,SafeMin,6,decision,future,True,True,True,0.0,12,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,SafeMin,6,decision,total,True,True,True,0.0,5,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,SafeMin,6,event,own,True,True,True,0.0,7,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,SafeMin,6,event,future,True,True,True,0.0,12,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,SafeMin,6,event,total,True,True,True,0.0,5,False
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,SafeMin,5,decision,own,True,True,True,0.0,7,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,SafeMin,5,decision,future,False,False,False,41.23388022780455,9,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,SafeMin,5,decision,total,False,False,False,36.36262341501754,5,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,SafeMin,5,event,own,True,True,True,0.0,7,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,SafeMin,5,event,future,False,False,False,43.279593835470735,9,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,SafeMin,5,event,total,False,False,False,38.3701709494253,5,True
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,SafeMin,6,decision,own,True,True,True,0.0,7,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,SafeMin,6,decision,future,True,True,True,0.0,28,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,SafeMin,6,decision,total,True,True,True,0.0,7,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,SafeMin,6,event,own,True,True,True,0.0,7,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,SafeMin,6,event,future,True,True,True,0.0,28,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,SafeMin,6,event,total,True,True,True,0.0,7,False
