episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,40.35787215662345,4.552961844974303,21.515,0.0,1.0,1.0,1.0,0,0,2.3418504512310028,0.975,0.9512499999999999
2,200,43.42901294302818,3.6899878125540058,20.58,0.0,1.0,0.995,0.995,1,0,2.337574998140335,0.985,0.97045
3,200,45.67723561829359,3.2741750929424462,20.485,0.0,1.0,1.0,1.0,0,0,2.3339631819725035,0.975,0.9512499999999999
4,200,51.576446211529785,2.865355331754963,20.725,0.0,1.0,1.0,1.0,0,0,2.3308385860919953,0.99,0.9802
5,200,38.8541592254538,3.067328779758524,21.375,0.03,0.97,0.8556701030927835,0.83,28,6,2.333349140882492,0.98,0.9607999999999999
6,200,50.70862015874955,2.9185079736999047,23.355,0.0,1.0,1.0,1.0,0,0,2.33177196264267,0.98,0.9607999999999999
7,200,37.46541497395645,5.7994348310997506,22.465,0.0,1.0,1.0,1.0,0,0,2.3454353857040404,0.975,0.9512499999999999
8,200,43.68735791987036,3.3561442017427425,20.81,0.065,0.935,1.0,0.935,0,13,2.335123744010925,0.99,0.9802
9,200,44.43140497970367,3.813940275962789,25.845,0.0,1.0,1.0,1.0,0,0,2.337938737869263,0.995,0.9900500000000001
10,200,34.62961180783467,7.407379659840055,17.345,0.065,0.935,1.0,0.935,0,13,2.3498211061954497,0.98,0.9607999999999999
11,200,47.334422688009475,3.200211116011866,22.43,0.06,0.94,0.9840425531914894,0.925,3,12,2.3321960985660555,0.985,0.97045
12,200,54.55456757023659,2.6558279724373914,23.31,0.0,1.0,1.0,1.0,0,0,2.3279808616638182,0.985,0.97045
13,200,45.42254416020174,3.344299836676797,23.03,0.0,1.0,1.0,1.0,0,0,2.3382467114925385,0.97,0.9418
14,200,34.20401309831726,3.167850752566776,18.74,0.17,0.83,0.8674698795180723,0.72,22,34,2.331655563116074,0.98,0.9607999999999999
15,200,50.972719249665516,2.8795299839318944,23.95,0.0,1.0,0.995,0.995,1,0,2.328463536500931,0.985,0.97045
16,200,49.31712323248841,3.1411793709399025,23.17,0.0,1.0,1.0,1.0,0,0,2.3317355835437774,0.985,0.97045
17,200,46.646520744055195,3.2048335186730696,22.585,0.0,1.0,1.0,1.0,0,0,2.333320463895798,0.995,0.9900500000000001
18,200,43.55616647682804,3.34149297081108,21.39,0.03,0.97,0.9226804123711341,0.895,15,6,2.3334565389156343,0.995,0.9900500000000001
19,200,37.01363161970363,4.736598064591721,22.755,0.0,1.0,1.0,1.0,0,0,2.3462406897544863,0.975,0.9512499999999999
20,200,36.46643755427479,2.705827409909842,16.205,0.255,0.745,0.9798657718120806,0.73,3,51,2.328211159706116,0.985,0.97045
