state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,safe_set_empty,effective_set_size,total_backlog_seconds,maximum_backlog_seconds,estimated_min_latency,myopic_action,ppo_sampled_action,ppo_high_probability_action,critic_value,snapshot_digest,state_feature_0,state_feature_1,state_feature_2,state_feature_3,state_feature_4,state_feature_5,state_feature_6,state_feature_7,state_feature_8,state_feature_9,state_feature_10,state_feature_11,state_feature_12,state_feature_13,state_feature_14,state_feature_15,state_feature_16,state_feature_17,state_feature_18,state_feature_19,state_feature_20,state_feature_21,state_feature_22,state_feature_23,state_feature_24,state_feature_25,state_feature_26,state_feature_27,state_feature_28,state_feature_29,state_feature_30,state_feature_31,state_feature_32,state_feature_33,state_feature_34
trial_001_ep1_task001,1,1,0.99,low,28,False,28,0.0,0.0,0.7286241918429177,5,21,27,43.044803619384766,07234070dd27d0b9231d4324d77fb0e8f79ff45694f1bb2a100a41218b2dbb1c,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.7991176843643188,0.04444444552063942,0.3333333432674408
trial_001_ep1_task002,1,2,0.99,low,28,False,28,0.0,0.0,1.3358726264455616,6,13,27,43.04460144042969,6ad36755800e3878a246098fc294fd0164d01d8ba503db9de96518390e42dfed,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.03841191902756691,0.4000000059604645,0.3333333432674408
trial_001_ep1_task004,1,4,0.9,low,28,False,28,0.17557472209610797,0.17557472209610797,2.6405909250798056,6,10,27,43.044891357421875,457fb8920d8fc97dbe05ce366e4701299eab1a4e9f25f5d6a5b21ca40d67f358,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04204803705215454,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.7478485107421875,0.8222222328186035,0.0
trial_001_ep1_task007,1,7,0.9,medium,28,False,28,1.0771798464525224,1.0771798464525224,1.9252442939352221,6,11,27,43.044734954833984,51b75cfd686aceb251414f1a786526abf60067336de474d403365c73a1e61ac7,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.21216106414794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.41715526580810547,0.5777778029441833,0.0
trial_001_ep1_task010,1,10,0.999,low,28,False,28,0.2954252294593358,0.17331949846745776,0.8437559194374525,5,25,27,43.04486083984375,8ac798547a01c4724b7c62de4cff592fab8735bdb52cb1e02de33982d5d3065a,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.029622172936797142,0.0,0.0,0.0,0.0,0.04153037071228027,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.4421493709087372,0.13333334028720856,0.6666666865348816
trial_001_ep1_task017,1,17,0.99,low,28,False,28,0.5541305681208146,0.30019006686627847,1.077977382891575,5,12,27,43.04484176635742,7fae0b7618da3b6e488fa04559fb9bffc7797f0d9d13b2291202eb444cd90d09,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.06980855762958527,0.0,0.0,0.05969535931944847,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.6673319935798645,0.20000000298023224,0.3333333432674408
trial_001_ep1_task022,1,22,0.9,low,28,False,28,0.0,0.0,2.4341176893655105,6,10,27,43.044639587402344,52570666a7339b6f38c1e18d99e9d435253e51f9102e91d495b9f64fbf14b0d4,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.13490204513072968,0.8666666746139526,0.0
trial_001_ep1_task025,1,25,0.9999,high,3,False,3,6.323681163892829,2.8045273594309705,2.020429508787442,23,27,27,43.04530715942383,d68be4679e3324ce1afaca49b8c43779575a2f25c7a05c70186c794201750013,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.20280511677265167,0.4121560752391815,0.0,0.0,0.38476306200027466,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.845876157283783,0.5555555820465088,1.0
trial_001_ep1_task027,1,27,0.99,medium,28,False,28,5.830107319402153,1.6197592465204704,3.3393030118569134,2,2,20,43.04523468017578,2367bf9204405634ee3f06c1a3bb9b04a448d09976161c96551e8b76e39b81a4,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.267320454120636,0.0,0.0,0.22427181899547577,0.2882257401943207,0.28501078486442566,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.8988614082336426,0.800000011920929,0.3333333432674408
trial_001_ep1_task028,1,28,0.9,medium,28,False,28,0.5685572443864313,0.5685572443864313,1.2832463335033053,5,26,27,43.044525146484375,8af044c44e3892bec3d8acbfa975d6f71c64779404790559655b226e8003de07,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.12445006519556046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.24045073986053467,0.3333333432674408,0.0
