episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,48.832458182519595,3.0118638952963273,21.6,0.0,1.0,1.0,1.0,0,0,2.7148701119422913,1.0,1.0
2,200,48.38730160317433,2.94691751976666,23.245,0.0,1.0,1.0,1.0,0,0,2.7150154435634613,1.0,1.0
3,200,38.64062872156216,3.4654361273673158,21.935,0.065,0.935,0.9090909090909091,0.85,17,13,2.714258561134338,1.0,1.0
4,200,46.94917255204409,3.542945984839928,24.51,0.0,1.0,1.0,1.0,0,0,2.7146578931808474,1.0,1.0
5,200,47.36233785822873,2.834361885520204,21.96,0.03,0.97,0.9948453608247423,0.965,1,6,2.714890971183777,1.0,1.0
6,200,42.9423383101936,3.443441077211632,21.135,0.0,1.0,0.935,0.935,13,0,2.714357252120972,1.0,1.0
7,200,49.71314335005173,3.0676237681293825,22.44,0.0,1.0,1.0,1.0,0,0,2.7149491655826568,1.0,1.0
8,200,53.23390622440938,2.529499957760446,21.02,0.0,1.0,1.0,1.0,0,0,2.7155114495754242,1.0,1.0
9,200,54.23677829954164,2.6834437031343827,21.465,0.0,1.0,1.0,1.0,0,0,2.7155724966526034,1.0,1.0
10,200,47.29392523278573,3.1109269690530033,19.84,0.0,1.0,1.0,1.0,0,0,2.7146286475658417,1.0,1.0
11,200,43.27523908325522,3.749309114398252,24.305,0.0,1.0,1.0,1.0,0,0,2.714105546474457,1.0,1.0
12,200,48.506798471199744,3.0137713190839577,24.375,0.0,1.0,1.0,1.0,0,0,2.715036293268204,1.0,1.0
13,200,30.367722200524867,3.924133452627005,18.93,0.145,0.855,0.9590643274853801,0.82,7,29,2.7135235548019407,1.0,1.0
14,200,46.001921775402344,3.1793423008885338,25.905,0.0,1.0,1.0,1.0,0,0,2.714556850194931,1.0,1.0
15,200,51.34527669707679,2.8544364246698706,20.82,0.0,1.0,1.0,1.0,0,0,2.7154512679576874,1.0,1.0
16,200,50.27458477681102,2.937733088845886,22.96,0.0,1.0,1.0,1.0,0,0,2.7152271354198456,1.0,1.0
17,200,45.715057443090366,3.7620626903948153,22.145,0.005,0.995,1.0,0.995,0,1,2.714399746656418,1.0,1.0
18,200,48.819955922045445,3.2768588877249964,22.215,0.0,1.0,1.0,1.0,0,0,2.714928060770035,1.0,1.0
19,200,44.810056265782606,4.2373376282795645,21.725,0.0,1.0,1.0,1.0,0,0,2.7142686533927916,1.0,1.0
20,200,50.812843405841896,3.439666640227579,20.91,0.005,0.995,1.0,0.995,0,1,2.71492382645607,1.0,1.0
