episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi,top1_pair_frequency,pair_selection_entropy
1,200,60.72284836876172,2.1053117745969017,20.295,0.0,1.0,1.0,1.0,0,0,2.815524750947952,0.075,0.05055000000000001,0.105,3.1409210605987687
2,200,62.01332480496572,2.064014864344435,20.945,0.0,1.0,1.0,1.0,0,0,2.8364898067712785,0.06,0.05135000000000001,0.105,3.1335633014938975
3,200,60.7806864577894,2.092879283951989,23.25,0.0,1.0,1.0,1.0,0,0,3.0552576714754105,0.06,0.0414,0.06,3.247810559289437
4,200,61.505971132165016,2.04601329990768,22.02,0.0,1.0,1.0,1.0,0,0,2.917187062799931,0.065,0.04595000000000002,0.095,3.195583165276005
5,200,61.346094284659486,2.070009892252861,23.355,0.0,1.0,1.0,1.0,0,0,3.0590744107961654,0.04,0.03874999999999999,0.06,3.289764144353067
6,200,60.44008247382959,2.1835718199162573,22.81,0.0,1.0,1.0,1.0,0,0,3.043527354001999,0.045,0.046550000000000015,0.095,3.190712911366509
7,200,55.346151273517286,2.165941666631304,21.195,0.095,0.905,1.0,0.905,0,19,2.6970242059230802,0.04,0.0656,0.185,3.055236649138339
8,200,60.24071350478542,2.1162849908084365,20.9,0.01,0.99,1.0,0.99,0,2,2.7948476272821425,0.105,0.0539,0.11,3.1092954910755006
9,200,61.46049646912697,2.105668255283872,23.44,0.0,1.0,1.0,1.0,0,0,3.080683320760727,0.045,0.041550000000000004,0.07,3.2452080714848566
10,200,57.025487509357006,2.0671192561268805,20.78,0.09,0.91,1.0,0.91,0,18,2.705515835285187,0.08,0.057500000000000016,0.16,3.1202793768387878
11,200,61.87000126505659,2.039940126831488,20.955,0.0,1.0,1.0,1.0,0,0,2.848837548494339,0.105,0.05260000000000001,0.105,3.1180757537893586
12,200,61.365059414674676,2.0533008614019956,18.89,0.005,0.995,1.0,0.995,0,1,2.6771410477161406,0.085,0.05440000000000001,0.13,3.107537129055208
13,200,53.878126563594236,2.097096079759936,20.01,0.125,0.875,1.0,0.875,0,25,2.607856028676033,0.04,0.07435000000000001,0.215,3.023411718289705
14,200,61.62418267896636,2.0560093296952493,20.775,0.0,1.0,1.0,1.0,0,0,2.77445280700922,0.09,0.046550000000000015,0.1,3.201579036908677
15,200,58.11742727713193,2.071656637945345,21.165,0.055,0.945,1.0,0.945,0,11,2.7507051610946656,0.08,0.055400000000000005,0.145,3.123633877922139
16,200,62.36446229924045,2.018269813390675,18.575,0.0,1.0,1.0,1.0,0,0,2.653336167037487,0.13,0.06564999999999999,0.13,2.976792247855464
17,200,56.926694919794976,2.0511480027169022,19.91,0.09,0.91,1.0,0.91,0,18,2.54398612678051,0.21,0.07139999999999999,0.21,3.043411936420493
18,200,60.43618176960119,2.1119705075953075,22.82,0.0,1.0,1.0,1.0,0,0,2.981882295906544,0.065,0.04210000000000001,0.075,3.24562832057191
19,200,57.24736567875475,2.020202456248451,18.69,0.105,0.895,1.0,0.895,0,21,2.5342489370703696,0.11,0.06765,0.18,3.035574923227763
20,200,59.58898538660242,2.198997133426813,24.905,0.0,1.0,1.0,1.0,0,0,3.1780665773153305,0.025,0.04450000000000002,0.09,3.2175424086127613
21,200,62.02913996514027,2.0541741729515017,23.415,0.0,1.0,1.0,1.0,0,0,3.0458166629076002,0.06,0.04540000000000001,0.07,3.187963737586938
22,200,56.770714123892596,2.0607747161949006,20.22,0.09,0.91,1.0,0.91,0,18,2.571224246621132,0.22,0.07455,0.22,3.0331477642696556
23,200,60.816684349652796,2.07469474277386,24.425,0.0,1.0,1.0,1.0,0,0,3.1576805412769318,0.045,0.042300000000000004,0.07,3.2418200870277927
24,200,59.0745579208239,2.2149803795427245,21.87,0.0,1.0,1.0,1.0,0,0,2.9082836881279945,0.035,0.045050000000000014,0.09,3.208797414063856
25,200,60.42944421803061,2.0419952602830396,21.225,0.02,0.98,1.0,0.98,0,4,2.756817843019962,0.025,0.04890000000000001,0.125,3.180798374406121
26,200,61.157720244883784,2.113047893542705,22.615,0.0,1.0,1.0,1.0,0,0,3.015312220454216,0.045,0.04340000000000001,0.085,3.2242827347629843
27,200,55.161153925917894,2.072414189010972,19.18,0.115,0.885,1.0,0.885,0,23,2.6010292845964433,0.065,0.0678,0.19,3.0304800484187147
28,200,60.68420444907029,2.1087898062405452,20.95,0.005,0.995,1.0,0.995,0,1,2.785175870656967,0.075,0.04865000000000001,0.105,3.178050212282722
29,200,59.92588665666787,2.0930366526275286,17.625,0.03,0.97,1.0,0.97,0,6,2.443495180606842,0.05,0.074,0.21,2.9932469514383913
30,200,55.980716938570296,2.126781753140674,23.305,0.09,0.91,1.0,0.91,0,18,2.86641015291214,0.16,0.056050000000000016,0.16,3.1329177227168366
31,200,61.349596949869635,2.079600325946116,24.07,0.0,1.0,1.0,1.0,0,0,3.1150668549537657,0.03,0.042249999999999996,0.08,3.250637024204705
32,200,54.89835712826479,2.126524122923024,20.745,0.095,0.905,1.0,0.905,0,19,2.6544373935461043,0.02,0.0684,0.205,3.075935077674827
33,200,61.32368342810892,2.0878049512396526,25.075,0.0,1.0,1.0,1.0,0,0,3.1880276226997375,0.02,0.040749999999999995,0.06,3.255037373076509
34,200,62.34980847229768,2.0326343312224466,21.82,0.0,1.0,1.0,1.0,0,0,2.88211618989706,0.1,0.054800000000000015,0.115,3.11545966281705
35,200,61.51573052714395,2.1252003608058936,25.515,0.0,1.0,1.0,1.0,0,0,3.2079491996765137,0.055,0.04275000000000001,0.065,3.232331540303912
36,200,61.387149152942314,2.116058029795383,23.495,0.0,1.0,1.0,1.0,0,0,3.0979750818014145,0.04,0.0442,0.07,3.2155485975208165
37,200,62.29072728841704,1.995651450744762,21.225,0.0,1.0,1.0,1.0,0,0,2.9427279371023176,0.085,0.04650000000000001,0.085,3.1659272407624193
38,200,61.299101287659724,2.083366207127626,22.275,0.0,1.0,1.0,1.0,0,0,2.9986558675765993,0.055,0.048900000000000006,0.09,3.1352580487975112
39,200,61.1820332316854,2.076047416705573,25.91,0.0,1.0,1.0,1.0,0,0,3.232940001487732,0.025,0.041650000000000006,0.08,3.2512539529116435
40,200,56.90138833561994,2.1555974840593852,16.26,0.065,0.935,1.0,0.935,0,13,2.4352732211351396,0.09,0.06355000000000001,0.145,3.021113519731621
41,200,63.42795176445968,1.9799432623457227,20.285,0.0,1.0,1.0,1.0,0,0,2.845431863665581,0.1,0.0493,0.1,3.1499959875372485
42,200,61.671812235103204,2.0419460817829718,22.855,0.0,1.0,1.0,1.0,0,0,3.0395781773328783,0.07,0.0435,0.07,3.222801906221057
43,200,62.05040858327516,2.0098719230465987,22.93,0.0,1.0,1.0,1.0,0,0,3.010206387042999,0.065,0.04365000000000001,0.07,3.2237596406591043
44,200,61.266196257164374,2.0913270171588145,22.245,0.0,1.0,1.0,1.0,0,0,3.0012807875871657,0.045,0.04275000000000002,0.075,3.2332537703172384
