state_id,horizon,selected_branch_return_residual
ep006_task188,10,0.0
ep006_task188,20,0.0
ep006_task188,50,0.0
ep006_task200,5,0.0
ep006_task200,10,0.0
ep006_task200,20,0.0
ep006_task200,50,0.0
ep007_task001,5,0.0
ep007_task001,10,5.684341886080802e-14
ep007_task001,20,0.0
ep007_task001,50,0.0
ep007_task013,5,0.0
ep007_task013,10,0.0
ep007_task013,20,0.0
ep007_task013,50,0.0
ep007_task026,5,0.0
ep007_task026,10,0.0
ep007_task026,20,0.0
ep007_task026,50,0.0
ep007_task038,5,0.0
ep007_task038,10,0.0
ep007_task038,20,0.0
ep007_task038,50,0.0
ep007_task051,5,0.0
ep007_task051,10,5.684341886080802e-14
ep007_task051,20,0.0
ep007_task051,50,2.842170943040401e-14
ep007_task063,5,0.0
ep007_task063,10,5.684341886080802e-14
ep007_task063,20,0.0
ep007_task063,50,0.0
ep007_task076,5,0.0
ep007_task076,10,0.0
ep007_task076,20,0.0
ep007_task076,50,2.842170943040401e-14
ep007_task088,5,2.842170943040401e-14
ep007_task088,10,0.0
ep007_task088,20,0.0
ep007_task088,50,0.0
ep007_task100,5,0.0
ep007_task100,10,0.0
ep007_task100,20,0.0
ep007_task100,50,0.0
ep007_task113,5,0.0
ep007_task113,10,1.4210854715202004e-14
ep007_task113,20,0.0
ep007_task113,50,0.0
ep007_task125,5,0.0
ep007_task125,10,0.0
ep007_task125,20,0.0
ep007_task125,50,0.0
ep007_task138,5,0.0
ep007_task138,10,0.0
ep007_task138,20,0.0
ep007_task138,50,0.0
ep007_task150,5,0.0
ep007_task150,10,0.0
ep007_task150,20,0.0
ep007_task150,50,5.684341886080802e-14
ep007_task163,5,0.0
ep007_task163,10,2.842170943040401e-14
ep007_task163,20,0.0
ep007_task163,50,0.0
ep007_task175,5,0.0
ep007_task175,10,2.842170943040401e-14
ep007_task175,20,0.0
ep007_task175,50,0.0
ep007_task188,5,0.0
ep007_task188,10,5.684341886080802e-14
ep007_task188,20,0.0
ep007_task188,50,0.0
ep007_task200,5,0.0
ep007_task200,10,0.0
ep007_task200,20,0.0
ep007_task200,50,0.0
ep010_task001,5,0.0
ep010_task001,10,5.684341886080802e-14
ep010_task001,20,5.684341886080802e-14
ep010_task001,50,0.0
ep010_task013,5,0.0
ep010_task013,10,0.0
ep010_task013,20,0.0
ep010_task013,50,0.0
ep010_task026,5,0.0
ep010_task026,10,0.0
ep010_task026,20,0.0
ep010_task026,50,0.0
ep010_task038,5,0.0
