arm,unit,gradient_updates,split,mae,rmse,pearson,spearman,r2,explained_variance,calibration_slope,calibration_intercept,prediction_mean,prediction_std,target_mean,target_std
V1,0,0,train,337.6192936840459,354.77730826163383,-0.24122912598437984,-0.24249331225428986,-9.578932155522915,-0.00014649457437965197,-794.9521965958207,277.83868759121174,-0.0750695301582002,0.03309966878444164,337.5153754878892,109.07743540259646
V1,0,0,validation,350.33452996574397,366.96896266013437,-0.23251446168597786,-0.22963725444337452,-10.280080209584058,-0.00014090756265039417,-767.8534472176019,292.8331636858411,-0.07477332253785184,0.0330860462001086,350.2481171564442,109.26303011580089
V1,0,0,test,342.10613567351766,359.0674273027927,-0.22712442403124597,-0.22805553593340513,-9.83656583271988,-0.00013833830249798673,-746.2873908312893,286.24746012347555,-0.07473594420248021,0.033196164517325016,342.0219529236573,109.07624360043513
V1,10,80,train,333.7100116901023,351.0517157597048,-0.27856913487370577,-0.260787912505103,-9.357915487727741,-0.0002588270969539064,-600.1335774126387,2644.650154575427,3.8443687637580766,0.05063140600355268,337.5153754878892,109.07743540259646
V1,10,80,validation,346.4197238169921,363.2307902782022,-0.26714735480253626,-0.25462957390825,-10.051438991292146,-0.0002487490645308732,-574.3124500605167,2558.389949371954,3.8448440948526064,0.050824824483728874,350.2481171564442,109.26303011580089
V1,10,80,test,338.1898810615664,355.3366918221768,-0.25038979043558196,-0.23435667919066364,-9.61255033676501,-0.00023298579717345724,-538.6872534877782,2413.1835107756674,3.8448311974008877,0.05070024879887581,342.0219529236573,109.07624360043513
V1,20,160,train,331.7224528331051,349.1555774116957,-0.2656394563970946,-0.2484395763572652,-9.246325092749716,-9.587927627641157e-05,-1472.4408697837364,8932.053298196615,5.836932469805082,0.019678393367192164,337.5153754878892,109.07743540259646
V1,20,160,validation,344.4300385815911,361.32870916274624,-0.2545807449618348,-0.24282129087980264,-9.935998914283493,-9.21706079655138e-05,-1406.834382494346,8562.127645347548,5.837133091410001,0.019772237549631942,350.2481171564442,109.26303011580089
V1,20,160,test,336.1992297043328,353.43867363509924,-0.23744403516853443,-0.22229647295445104,-9.499480012450393,-8.586594649573343e-05,-1313.7018913450852,8010.246567977876,5.83711165034771,0.01971490152533397,342.0219529236573,109.07624360043513
V1,30,240,train,330.2142987320439,347.7188160721491,-0.26025929935809133,-0.24390602146611015,-9.16217215077657,-5.191144721616858e-05,-2610.1325203581687,19519.240932029086,7.348947000556522,0.010876235858615217,337.5153754878892,109.07743540259646
V1,30,240,validation,342.92011244112376,359.8871605164055,-0.24932117175047017,-0.23844311063456386,-9.84891296377422,-4.988770601621617e-05,-2492.5385860698775,18668.06528018356,7.349060618519783,0.010929253753472156,350.2481171564442,109.26303011580089
V1,30,240,test,334.6885469400411,352.00018979906986,-0.2321845405171629,-0.2179362229393755,-9.41418885234322,-4.6403150931295656e-05,-2324.0343841069143,17421.45760115527,7.349046023170153,0.01089735060500726,342.0219529236573,109.07624360043513
V1,40,320,train,328.79669395426896,346.3691860606438,-0.2574701267777512,-0.24134855379804845,-9.083438674397557,-3.353980151743485e-05,-3953.4670495284195,35010.5928404711,8.770296307166417,0.007103684125822788,337.5153754878892,109.07743540259646
V1,40,320,validation,341.50069054677215,358.53290715917126,-0.24674576621278646,-0.23600957851618193,-9.767417789046526,-3.224612545582595e-05,-3776.6728713324464,33473.07212291899,8.770371470928191,0.007138608771043026,350.2481171564442,109.26303011580089
V1,40,320,test,333.2684128469552,350.6488370789465,-0.22957445900891252,-0.2153622748140337,-9.334380779665416,-2.9966978839945924e-05,-3518.0004758439204,31196.156275996716,8.770361043135326,0.007117997790857951,342.0219529236573,109.07624360043513
V1,50,400,train,327.41416115936954,345.05360393474274,-0.2555709119829917,-0.2396821287744196,-9.006986152152816,-2.37241231149099e-05,-5506.835487959987,56267.798959105436,10.156519784530003,0.005062257571259772,337.5153754878892,109.07743540259646
V1,50,400,validation,340.1163340467823,357.21273850730887,-0.244983393247017,-0.23449512199939562,-9.688269478350534,-2.281380659252541e-05,-5261.95097094421,53793.637008931015,10.156572949250538,0.005087015827784632,350.2481171564442,109.26303011580089
V1,50,400,test,331.88336203550546,349.3315254005803,-0.2278352645082583,-0.2138622901999138,-9.256878575866466,-2.1191444989243635e-05,-4899.543669711177,50104.556508645976,10.156565164089203,0.005072189674704404,342.0219529236573,109.07624360043513
