lens,horizon,requirement,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,5,0.9,V0,raw,300,300,0.22615315422874005,0.23865946746465438,0.5866666666666667,0.9643767805224942,0.35333333333333333,0.5866666666666667
legacy_interval_step,5,0.9,V0,normalized,300,300,0.21762243371213338,0.24483332344461542,0.5766666666666667,0.9810783912006268,0.35,0.5766666666666667
legacy_interval_step,5,0.9,V1,raw,300,300,0.2261085430919192,0.23842435337543122,0.5866666666666667,0.9643984070035483,0.35333333333333333,0.5866666666666667
legacy_interval_step,5,0.9,V1,normalized,300,300,0.2175738791358501,0.2448673238752876,0.5766666666666667,0.9810894911283246,0.35,0.5766666666666667
legacy_interval_step,5,0.9,V2,raw,300,300,0.22610852217327168,0.23842435337543122,0.5866666666666667,0.9643984194551547,0.35333333333333333,0.5866666666666667
legacy_interval_step,5,0.9,V2,normalized,300,300,0.21757386202794002,0.2448673238752876,0.5766666666666667,0.981089502641005,0.35,0.5766666666666667
legacy_interval_step,5,0.9,V3,raw,300,300,0.22549890974708822,0.2136018167343815,0.5566666666666666,0.9626024341156509,0.33,0.5566666666666666
legacy_interval_step,5,0.9,V3,normalized,300,300,0.2175807254512747,0.21990900773658628,0.5666666666666667,0.9781143186169595,0.3233333333333333,0.5666666666666667
legacy_interval_step,5,0.99,V0,raw,220,220,0.032885700050682816,-0.023756989986110963,0.5636363636363636,1.1100525615611123,0.24545454545454545,0.5636363636363636
legacy_interval_step,5,0.99,V0,normalized,220,220,0.029403330200354825,-0.03019621113868313,0.4409090909090909,1.1225669490201937,0.22727272727272727,0.4409090909090909
legacy_interval_step,5,0.99,V1,raw,220,220,0.03289225543596319,-0.02372543346344149,0.5636363636363636,1.110056690147064,0.24545454545454545,0.5636363636363636
legacy_interval_step,5,0.99,V1,normalized,220,220,0.02941298728936549,-0.030377661144032588,0.4409090909090909,1.1225727946759476,0.22727272727272727,0.4409090909090909
legacy_interval_step,5,0.99,V2,raw,220,220,0.032892274441647426,-0.02372543346344149,0.5636363636363636,1.1100566891047712,0.24545454545454545,0.5636363636363636
legacy_interval_step,5,0.99,V2,normalized,220,220,0.02941301229769104,-0.030377661144032588,0.4409090909090909,1.1225727725256356,0.22727272727272727,0.4409090909090909
legacy_interval_step,5,0.99,V3,raw,220,220,0.07950428755216489,0.03761593853134243,0.5136363636363637,1.0741126901700124,0.2590909090909091,0.5136363636363637
legacy_interval_step,5,0.99,V3,normalized,220,220,0.07970606374347229,0.030294825272025223,0.5181818181818182,1.083236639334978,0.2590909090909091,0.5181818181818182
legacy_interval_step,5,0.999,V0,raw,220,220,0.14062482736385057,0.16465465044957925,0.5954545454545455,1.0280879158501715,0.2772727272727273,0.5954545454545455
legacy_interval_step,5,0.999,V0,normalized,220,220,0.16524478245136417,0.1854990013408506,0.5545454545454546,1.0152586079628652,0.2863636363636364,0.5545454545454546
legacy_interval_step,5,0.999,V1,raw,220,220,0.14058125154722023,0.1644946170454236,0.5954545454545455,1.0281235204751227,0.2772727272727273,0.5954545454545455
legacy_interval_step,5,0.999,V1,normalized,220,220,0.1652063902231605,0.18555309713943843,0.5545454545454546,1.015288667263656,0.2863636363636364,0.5545454545454546
legacy_interval_step,5,0.999,V2,raw,220,220,0.14058125982816286,0.1644946170454236,0.5954545454545455,1.0281235183865072,0.2772727272727273,0.5954545454545455
legacy_interval_step,5,0.999,V2,normalized,220,220,0.16520638589382244,0.18555309713943843,0.5545454545454546,1.015288668065591,0.2863636363636364,0.5545454545454546
legacy_interval_step,5,0.999,V3,raw,220,220,0.11461649439140682,0.11572049264368035,0.5136363636363637,1.0439844231531392,0.2545454545454545,0.5136363636363637
legacy_interval_step,5,0.999,V3,normalized,220,220,0.14465855550305173,0.14233280805937804,0.5181818181818182,1.0346001642418907,0.2772727272727273,0.5181818181818182
legacy_interval_step,5,0.9999,V0,raw,260,234,0.08295671380008089,0.17436529711793564,0.6452991452991453,1.0776720670512618,0.2230769230769231,0.5807692307692308
legacy_interval_step,5,0.9999,V0,normalized,260,234,0.0817462778270664,0.17164247968719423,0.5,1.073592256233504,0.21923076923076923,0.45
legacy_interval_step,5,0.9999,V1,raw,260,234,0.08291616342541923,0.17432198642576494,0.6452991452991453,1.077697669145411,0.2230769230769231,0.5807692307692308
legacy_interval_step,5,0.9999,V1,normalized,260,234,0.08170565621407015,0.17177191344333778,0.5,1.073612633418009,0.21923076923076923,0.45
legacy_interval_step,5,0.9999,V2,raw,260,234,0.08291614048685811,0.17431225234670158,0.6452991452991453,1.0776976736058022,0.2230769230769231,0.5807692307692308
legacy_interval_step,5,0.9999,V2,normalized,260,234,0.08170562379932343,0.17177191344333778,0.5,1.0736126408072997,0.21923076923076923,0.45
legacy_interval_step,5,0.9999,V3,raw,260,234,0.09093729096169045,0.1757024879232097,0.46153846153846156,1.0842739821141292,0.2076923076923077,0.4153846153846154
legacy_interval_step,5,0.9999,V3,normalized,260,234,0.08721752701387386,0.17216192228111066,0.44017094017094016,1.079222017128308,0.19615384615384615,0.39615384615384613
legacy_interval_step,10,0.9,V0,raw,300,300,0.2214176725975787,0.23965960408660283,0.5766666666666667,0.9713672374469451,0.36,0.5766666666666667
legacy_interval_step,10,0.9,V0,normalized,300,300,0.2117875993151033,0.24465745238959577,0.58,0.9819060882792695,0.3566666666666667,0.58
legacy_interval_step,10,0.9,V1,raw,300,300,0.22136076687923717,0.2394262674606294,0.5766666666666667,0.971394140716825,0.36,0.5766666666666667
legacy_interval_step,10,0.9,V1,normalized,300,300,0.21172691960998866,0.2446774526718221,0.58,0.9819230663909786,0.3566666666666667,0.58
legacy_interval_step,10,0.9,V2,raw,300,300,0.22136074687101012,0.2394262674606294,0.5766666666666667,0.9713941652294347,0.36,0.5766666666666667
legacy_interval_step,10,0.9,V2,normalized,300,300,0.21172690319164575,0.2446774526718221,0.58,0.9819230917551374,0.3566666666666667,0.58
legacy_interval_step,10,0.9,V3,raw,300,300,0.2058257464654766,0.20455155311728115,0.5533333333333333,0.9713994564296438,0.3333333333333333,0.5533333333333333
legacy_interval_step,10,0.9,V3,normalized,300,300,0.19612933612102243,0.20844605251745688,0.5566666666666666,0.9869272878848727,0.31666666666666665,0.5566666666666666
legacy_interval_step,10,0.99,V0,raw,220,220,0.05619002539925076,-0.0016251499278430327,0.5590909090909091,1.096102404305885,0.25,0.5590909090909091
legacy_interval_step,10,0.99,V0,normalized,220,220,0.04882283771263187,-0.009665246727587966,0.44545454545454544,1.1089573439400264,0.2318181818181818,0.44545454545454544
legacy_interval_step,10,0.99,V1,raw,220,220,0.056200092704617614,-0.001600919190361323,0.5590909090909091,1.0960927696248175,0.25,0.5590909090909091
legacy_interval_step,10,0.99,V1,normalized,220,220,0.04883551756524287,-0.009848386022507864,0.44545454545454544,1.1089521696046651,0.2318181818181818,0.44545454545454544
legacy_interval_step,10,0.99,V2,raw,220,220,0.05620011286952426,-0.001600919190361323,0.5590909090909091,1.0960927637980369,0.25,0.5590909090909091
legacy_interval_step,10,0.99,V2,normalized,220,220,0.04883554032033144,-0.009848386022507864,0.44545454545454544,1.1089521442525598,0.2318181818181818,0.44545454545454544
legacy_interval_step,10,0.99,V3,raw,220,220,0.10807636100697973,0.058287320765013785,0.509090909090909,1.05595572481897,0.2681818181818182,0.509090909090909
legacy_interval_step,10,0.99,V3,normalized,220,220,0.10364216625416199,0.04710342665339774,0.5136363636363637,1.0661323431456313,0.2590909090909091,0.5136363636363637
legacy_interval_step,10,0.999,V0,raw,220,220,0.1273841790116534,0.14905529603353937,0.6090909090909091,1.0343974633268302,0.2681818181818182,0.6090909090909091
legacy_interval_step,10,0.999,V0,normalized,220,220,0.1506171277134221,0.16749632317722565,0.5590909090909091,1.0260724869852587,0.29545454545454547,0.5590909090909091
legacy_interval_step,10,0.999,V1,raw,220,220,0.12734766744494497,0.14889300868350025,0.6090909090909091,1.0344259388743389,0.2681818181818182,0.6090909090909091
legacy_interval_step,10,0.999,V1,normalized,220,220,0.15058455033863247,0.16760338774843206,0.5590909090909091,1.0260912700946216,0.29545454545454547,0.5590909090909091
legacy_interval_step,10,0.999,V2,raw,220,220,0.12734767732905838,0.14889300868350025,0.6090909090909091,1.0344259306693957,0.2681818181818182,0.6090909090909091
legacy_interval_step,10,0.999,V2,normalized,220,220,0.1505845480421439,0.16760338774843206,0.5590909090909091,1.026091266954135,0.29545454545454547,0.5590909090909091
legacy_interval_step,10,0.999,V3,raw,220,220,0.11044254197705938,0.11593064469776798,0.5272727272727272,1.048922263023089,0.24545454545454545,0.5272727272727272
legacy_interval_step,10,0.999,V3,normalized,220,220,0.13761200183457492,0.14002806218761094,0.5318181818181819,1.0371940842255416,0.2590909090909091,0.5318181818181819
legacy_interval_step,10,0.9999,V0,raw,260,235,0.07920581518135081,0.1635566682706951,0.6382978723404256,1.0764560146907898,0.23076923076923078,0.5769230769230769
legacy_interval_step,10,0.9999,V0,normalized,260,235,0.0723384254529782,0.15903579076540647,0.49361702127659574,1.072966525927872,0.22692307692307692,0.4461538461538462
legacy_interval_step,10,0.9999,V1,raw,260,235,0.07916075152574921,0.16351221810820007,0.6382978723404256,1.0764767888082325,0.23076923076923078,0.5769230769230769
legacy_interval_step,10,0.9999,V1,normalized,260,235,0.07229298467090162,0.15916044971598012,0.49361702127659574,1.0729869031123767,0.22692307692307692,0.4461538461538462
legacy_interval_step,10,0.9999,V2,raw,260,235,0.0791607268784765,0.16350299587646158,0.6382978723404256,1.0764767913295346,0.23076923076923078,0.5769230769230769
legacy_interval_step,10,0.9999,V2,normalized,260,235,0.07229295201097168,0.15916044971598012,0.49361702127659574,1.0729869105016676,0.22692307692307692,0.4461538461538462
