lens,horizon,load,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,5,high,V0,raw,303,294,0.18194376222120168,0.20001199242796244,0.5952380952380952,0.9892919187521098,0.29372937293729373,0.5775577557755776
legacy_interval_step,5,high,V0,normalized,303,294,0.1833528896008594,0.20175391296660572,0.5204081632653061,0.9871464579285446,0.30363036303630364,0.504950495049505
legacy_interval_step,5,high,V1,raw,303,294,0.18192117969552865,0.199915794240712,0.5952380952380952,0.9892966907367851,0.29372937293729373,0.5775577557755776
legacy_interval_step,5,high,V1,normalized,303,294,0.18332829879435084,0.2017401087424263,0.5204081632653061,0.9871431851914296,0.30363036303630364,0.504950495049505
legacy_interval_step,5,high,V2,raw,303,294,0.18192115714485074,0.199915794240712,0.5952380952380952,0.9892966915288993,0.29372937293729373,0.5775577557755776
legacy_interval_step,5,high,V2,normalized,303,294,0.1833282733484053,0.2017401087424263,0.5204081632653061,0.9871431972659861,0.30363036303630364,0.504950495049505
legacy_interval_step,5,high,V3,raw,303,294,0.20975240955333949,0.20494247306105398,0.5170068027210885,0.9843308522869773,0.3201320132013201,0.5016501650165016
legacy_interval_step,5,high,V3,normalized,303,294,0.21397352058835273,0.21045726062074088,0.5272108843537415,0.9763039266136767,0.31353135313531355,0.5115511551155115
legacy_interval_step,5,low,V0,raw,398,389,0.06750255688113813,0.09806306998118268,0.5526992287917738,1.0417992867286332,0.2613065326633166,0.5402010050251256
legacy_interval_step,5,low,V0,normalized,398,389,0.07524323820989282,0.10430611345363733,0.5089974293059126,1.0483806926882973,0.2663316582914573,0.49748743718592964
legacy_interval_step,5,low,V1,raw,398,389,0.06746051805085068,0.09802433395023946,0.5526992287917738,1.0418069505830627,0.2613065326633166,0.5402010050251256
legacy_interval_step,5,low,V1,normalized,398,389,0.07520476899124366,0.10428165425415048,0.5089974293059126,1.0483870976805307,0.2663316582914573,0.49748743718592964
legacy_interval_step,5,low,V2,raw,398,389,0.06746053750530077,0.09802433395023946,0.5526992287917738,1.0418069401802685,0.2613065326633166,0.5402010050251256
legacy_interval_step,5,low,V2,normalized,398,389,0.07520477603990693,0.10428165425415048,0.5089974293059126,1.0483871004957275,0.2663316582914573,0.49748743718592964
legacy_interval_step,5,low,V3,raw,398,389,0.05372672730136349,0.0737751978816942,0.4961439588688946,1.0552896167453736,0.24120603015075376,0.4849246231155779
legacy_interval_step,5,low,V3,normalized,398,389,0.061519449495514675,0.07928701719411266,0.5089974293059126,1.0538999272395624,0.25879396984924624,0.49748743718592964
legacy_interval_step,5,medium,V0,raw,299,291,0.10568589725774169,0.15532098141931022,0.6597938144329897,1.0215430755525772,0.24749163879598662,0.6421404682274248
legacy_interval_step,5,medium,V0,normalized,299,291,0.10463819827607791,0.15599478527254462,0.5429553264604811,1.0195931364765938,0.24414715719063546,0.5284280936454849
legacy_interval_step,5,medium,V1,raw,299,291,0.10564975109746973,0.15527247991714135,0.6597938144329897,1.0215579565761648,0.24749163879598662,0.6421404682274248
legacy_interval_step,5,medium,V1,normalized,299,291,0.10460208276907532,0.156001968096975,0.5429553264604811,1.019611525881183,0.24414715719063546,0.5284280936454849
legacy_interval_step,5,medium,V2,raw,299,291,0.10564974169563118,0.15526888850452308,0.6597938144329897,1.0215579580345167,0.24749163879598662,0.6421404682274248
legacy_interval_step,5,medium,V2,normalized,299,291,0.10460207839463168,0.156001968096975,0.5429553264604811,1.0196115182798278,0.24414715719063546,0.5284280936454849
legacy_interval_step,5,medium,V3,raw,299,291,0.09060150555358318,0.12588438526045742,0.5360824742268041,1.0255817618444267,0.2809364548494983,0.5217391304347826
legacy_interval_step,5,medium,V3,normalized,299,291,0.09033206234305931,0.1282978142690598,0.5085910652920962,1.0266356048605503,0.2508361204013378,0.49498327759197325
legacy_interval_step,10,high,V0,raw,303,295,0.18712689377688588,0.2128650192850394,0.5898305084745763,0.9816822076198362,0.297029702970297,0.5742574257425742
legacy_interval_step,10,high,V0,normalized,303,295,0.1842484621775713,0.21181072166333453,0.535593220338983,0.9766776348524644,0.3069306930693069,0.5214521452145214
legacy_interval_step,10,high,V1,raw,303,295,0.1870945907378683,0.21277140938982253,0.5898305084745763,0.9816839080825418,0.297029702970297,0.5742574257425742
legacy_interval_step,10,high,V1,normalized,303,295,0.184213309158486,0.2118374673476822,0.535593220338983,0.9766736369854409,0.3069306930693069,0.5214521452145214
legacy_interval_step,10,high,V2,raw,303,295,0.18709456841682165,0.21277140938982253,0.5898305084745763,0.9816839107115887,0.297029702970297,0.5742574257425742
legacy_interval_step,10,high,V2,normalized,303,295,0.18421328317253124,0.2118374673476822,0.535593220338983,0.9766736526743021,0.3069306930693069,0.5214521452145214
legacy_interval_step,10,high,V3,raw,303,295,0.2092704570317882,0.21326900853329087,0.5186440677966102,0.9804300172858036,0.3102310231023102,0.504950495049505
legacy_interval_step,10,high,V3,normalized,303,295,0.20775357560137395,0.21537113304661645,0.5220338983050847,0.9727827133252543,0.30363036303630364,0.5082508250825083
legacy_interval_step,10,low,V0,raw,398,389,0.07146448186403669,0.10286694529892683,0.5578406169665809,1.039437353276859,0.25879396984924624,0.5452261306532663
legacy_interval_step,10,low,V0,normalized,398,389,0.07753484476996793,0.1079017445062313,0.5089974293059126,1.045256035213363,0.271356783919598,0.49748743718592964
legacy_interval_step,10,low,V1,raw,398,389,0.07142562520413002,0.10280869852398829,0.5578406169665809,1.0394495184880659,0.25879396984924624,0.5452261306532663
legacy_interval_step,10,low,V1,normalized,398,389,0.07749937616270232,0.10787167017695413,0.5089974293059126,1.0452607461799628,0.271356783919598,0.49748743718592964
legacy_interval_step,10,low,V2,raw,398,389,0.07142564634714081,0.10280869852398829,0.5578406169665809,1.039449508265902,0.25879396984924624,0.5452261306532663
legacy_interval_step,10,low,V2,normalized,398,389,0.0774993844286485,0.10787167017695413,0.5089974293059126,1.0452607488132273,0.271356783919598,0.49748743718592964
legacy_interval_step,10,low,V3,raw,398,389,0.060899351260678615,0.08321379817848902,0.5012853470437018,1.0530879258628172,0.23869346733668342,0.4899497487437186
legacy_interval_step,10,low,V3,normalized,398,389,0.0665945532535047,0.08786272401482573,0.5141388174807198,1.0507561183787164,0.2562814070351759,0.5025125628140703
legacy_interval_step,10,medium,V0,raw,299,291,0.09653156667909757,0.14276439112382497,0.6494845360824743,1.0261123846098712,0.24414715719063546,0.6321070234113713
legacy_interval_step,10,medium,V0,normalized,299,291,0.09366834210843143,0.14138805825378517,0.5326460481099656,1.0250508313832833,0.2408026755852843,0.5183946488294314
legacy_interval_step,10,medium,V1,raw,299,291,0.09649655997979614,0.1427323889820926,0.6494845360824743,1.0261280637786367,0.24414715719063546,0.6321070234113713
legacy_interval_step,10,medium,V1,normalized,299,291,0.09363276602773216,0.1413952411007877,0.5326460481099656,1.0250698955216682,0.2408026755852843,0.5183946488294314
legacy_interval_step,10,medium,V2,raw,299,291,0.09649654838597828,0.1427291342541793,0.6494845360824743,1.026128062270815,0.24414715719063546,0.6321070234113713
legacy_interval_step,10,medium,V2,normalized,299,291,0.09363276064968831,0.1413952411007877,0.5326460481099656,1.0250698848206572,0.2408026755852843,0.5183946488294314
legacy_interval_step,10,medium,V3,raw,299,291,0.08216302237628363,0.10827199107653264,0.5257731958762887,1.0304472655725296,0.2809364548494983,0.5117056856187291
legacy_interval_step,10,medium,V3,normalized,299,291,0.07942253233656545,0.10898399078565899,0.49828178694158076,1.0313566377579737,0.2508361204013378,0.48494983277591974
legacy_interval_step,20,high,V0,raw,303,295,0.19002401983411263,0.21106745046767275,0.5898305084745763,0.9822737584747544,0.297029702970297,0.5742574257425742
legacy_interval_step,20,high,V0,normalized,303,295,0.19055898525906856,0.21086038710498112,0.535593220338983,0.9771665057658807,0.3102310231023102,0.5214521452145214
legacy_interval_step,20,high,V1,raw,303,295,0.18999491564964097,0.2109785857745176,0.5898305084745763,0.9822793594448016,0.297029702970297,0.5742574257425742
legacy_interval_step,20,high,V1,normalized,303,295,0.19052740418841702,0.21088713278932875,0.535593220338983,0.9771648804251807,0.3102310231023102,0.5214521452145214
legacy_interval_step,20,high,V2,raw,303,295,0.18999489312680418,0.2109785857745176,0.5898305084745763,0.982279362710134,0.297029702970297,0.5742574257425742
legacy_interval_step,20,high,V2,normalized,303,295,0.19052737754558302,0.21088713278932875,0.535593220338983,0.9771648961140418,0.3102310231023102,0.5214521452145214
legacy_interval_step,20,high,V3,raw,303,295,0.213588404756439,0.21274315386845527,0.5186440677966102,0.9796374871877741,0.3102310231023102,0.504950495049505
legacy_interval_step,20,high,V3,normalized,303,295,0.2162615515521722,0.2159181254297268,0.5220338983050847,0.9718627734875761,0.30363036303630364,0.5082508250825083
legacy_interval_step,20,low,V0,raw,398,389,0.07133975726202765,0.10242900575605929,0.5578406169665809,1.0396226948884868,0.25879396984924624,0.5452261306532663
legacy_interval_step,20,low,V0,normalized,398,389,0.0774837162699279,0.10753473189563244,0.5089974293059126,1.0454417925769393,0.271356783919598,0.49748743718592964
legacy_interval_step,20,low,V1,raw,398,389,0.07130079073833075,0.10237018779436066,0.5578406169665809,1.0396348600996936,0.25879396984924624,0.5452261306532663
legacy_interval_step,20,low,V1,normalized,398,389,0.0774481522443181,0.10750494301126214,0.5089974293059126,1.045446503543539,0.271356783919598,0.49748743718592964
legacy_interval_step,20,low,V2,raw,398,389,0.07130081192137121,0.10237018779436066,0.5578406169665809,1.0396348498775299,0.25879396984924624,0.5452261306532663
legacy_interval_step,20,low,V2,normalized,398,389,0.07744816051198385,0.10750494301126214,0.5089974293059126,1.0454465061768037,0.271356783919598,0.49748743718592964
legacy_interval_step,20,low,V3,raw,398,389,0.06064450657838967,0.08251579460674258,0.5012853470437018,1.0532684975750186,0.23869346733668342,0.4899497487437186
legacy_interval_step,20,low,V3,normalized,398,389,0.06642853147668892,0.08716560669286542,0.5141388174807198,1.050935156022569,0.2562814070351759,0.5025125628140703
legacy_interval_step,20,medium,V0,raw,299,291,0.09643646396667824,0.1426903179974847,0.6494845360824743,1.0262104172209154,0.24414715719063546,0.6321070234113713
legacy_interval_step,20,medium,V0,normalized,299,291,0.09356656121637776,0.14131218943232088,0.5326460481099656,1.0251487135768185,0.2408026755852843,0.5183946488294314
legacy_interval_step,20,medium,V1,raw,299,291,0.09640132731663105,0.14265831586406566,0.6494845360824743,1.0262260963896808,0.24414715719063546,0.6321070234113713
legacy_interval_step,20,medium,V1,normalized,299,291,0.09353085327708197,0.14131937227932342,0.5326460481099656,1.025167777715203,0.2408026755852843,0.5183946488294314
legacy_interval_step,20,medium,V2,raw,299,291,0.09640131571459663,0.14265506113615234,0.6494845360824743,1.0262260948818593,0.24414715719063546,0.6321070234113713
legacy_interval_step,20,medium,V2,normalized,299,291,0.09353084786118632,0.14131937227932342,0.5326460481099656,1.025167767014192,0.2408026755852843,0.5183946488294314
legacy_interval_step,20,medium,V3,raw,299,291,0.08202280796127148,0.10819297975950476,0.5257731958762887,1.03054586619262,0.2809364548494983,0.5117056856187291
legacy_interval_step,20,medium,V3,normalized,299,291,0.07927493252808729,0.1089027348289428,0.49828178694158076,1.0314560498153316,0.2508361204013378,0.48494983277591974
legacy_interval_step,50,high,V0,raw,303,295,0.19012324232196393,0.2111468247567045,0.5898305084745763,0.9822370297174459,0.297029702970297,0.5742574257425742
legacy_interval_step,50,high,V0,normalized,303,295,0.19061096211374348,0.21092423164181107,0.535593220338983,0.9771274227015854,0.3102310231023102,0.5214521452145214
legacy_interval_step,50,high,V1,raw,303,295,0.19009398362684848,0.21105796006354935,0.5898305084745763,0.982242630687493,0.297029702970297,0.5742574257425742
legacy_interval_step,50,high,V1,normalized,303,295,0.190579251413926,0.2109509773261587,0.535593220338983,0.9771257973608849,0.3102310231023102,0.5214521452145214
legacy_interval_step,50,high,V2,raw,303,295,0.1900939610874013,0.21105796006354935,0.5898305084745763,0.9822426339528257,0.297029702970297,0.5742574257425742
legacy_interval_step,50,high,V2,normalized,303,295,0.19057922476570324,0.2109509773261587,0.535593220338983,0.9771258130497462,0.3102310231023102,0.5214521452145214
legacy_interval_step,50,high,V3,raw,303,295,0.21360242631550252,0.2127906058890721,0.5186440677966102,0.9795908728383674,0.3102310231023102,0.504950495049505
legacy_interval_step,50,high,V3,normalized,303,295,0.21623121212028723,0.21595263599017545,0.5220338983050847,0.9718122192485176,0.30363036303630364,0.5082508250825083
legacy_interval_step,50,low,V0,raw,398,389,0.07133975726202756,0.10311698927948981,0.5578406169665809,1.039622694888487,0.25879396984924624,0.5452261306532663
legacy_interval_step,50,low,V0,normalized,398,389,0.07748371626992764,0.10824934354550478,0.5089974293059126,1.0454417925769393,0.271356783919598,0.49748743718592964
legacy_interval_step,50,low,V1,raw,398,389,0.07130079073833066,0.10305864721070183,0.5578406169665809,1.0396348600996939,0.25879396984924624,0.5452261306532663
legacy_interval_step,50,low,V1,normalized,398,389,0.07744815224431778,0.10821945949893452,0.5089974293059126,1.0454465035435394,0.271356783919598,0.49748743718592964
legacy_interval_step,50,low,V2,raw,398,389,0.07130081192137101,0.10305864721070183,0.5578406169665809,1.03963484987753,0.25879396984924624,0.5452261306532663
legacy_interval_step,50,low,V2,normalized,398,389,0.0774481605119836,0.10821945949893452,0.5089974293059126,1.045446506176804,0.271356783919598,0.49748743718592964
legacy_interval_step,50,low,V3,raw,398,389,0.060644506578389476,0.08331609086643955,0.5012853470437018,1.053268497575019,0.23869346733668342,0.4899497487437186
legacy_interval_step,50,low,V3,normalized,398,389,0.0664285314766886,0.08800014200259418,0.5141388174807198,1.0509351560225695,0.2562814070351759,0.5025125628140703
legacy_interval_step,50,medium,V0,raw,299,291,0.09643646396667839,0.1426903179974847,0.6494845360824743,1.0262104172209154,0.24414715719063546,0.6321070234113713
legacy_interval_step,50,medium,V0,normalized,299,291,0.09356656121637806,0.14131218943232088,0.5326460481099656,1.0251487135768182,0.2408026755852843,0.5183946488294314
legacy_interval_step,50,medium,V1,raw,299,291,0.09640132731663126,0.14265831586406566,0.6494845360824743,1.0262260963896808,0.24414715719063546,0.6321070234113713
legacy_interval_step,50,medium,V1,normalized,299,291,0.09353085327708219,0.14131937227932342,0.5326460481099656,1.025167777715203,0.2408026755852843,0.5183946488294314
legacy_interval_step,50,medium,V2,raw,299,291,0.09640131571459683,0.14265506113615234,0.6494845360824743,1.0262260948818593,0.24414715719063546,0.6321070234113713
legacy_interval_step,50,medium,V2,normalized,299,291,0.09353084786118658,0.14131937227932342,0.5326460481099656,1.0251677670141919,0.2408026755852843,0.5183946488294314
legacy_interval_step,50,medium,V3,raw,299,291,0.08202280796127175,0.10819297975950476,0.5257731958762887,1.0305458661926197,0.2809364548494983,0.5117056856187291
legacy_interval_step,50,medium,V3,normalized,299,291,0.07927493252808765,0.1089027348289428,0.49828178694158076,1.0314560498153313,0.2508361204013378,0.48494983277591974
production_smdp,5,high,V0,raw,303,295,0.20571972088289708,0.21966705074945922,0.5898305084745763,0.9812733309793259,0.297029702970297,0.5742574257425742
production_smdp,5,high,V0,normalized,303,295,0.20772411332525612,0.2205056573683603,0.5491525423728814,0.9767617844785357,0.3234323432343234,0.5346534653465347
production_smdp,5,high,V1,raw,303,295,0.2056879401849199,0.2195514403719564,0.5898305084745763,0.9812835789456388,0.297029702970297,0.5742574257425742
production_smdp,5,high,V1,normalized,303,295,0.20769054547921426,0.22052938337866873,0.5491525423728814,0.9767641527570241,0.3234323432343234,0.5346534653465347
production_smdp,5,high,V2,raw,303,295,0.20568792018252025,0.2195514403719564,0.5898305084745763,0.9812835746713164,0.297029702970297,0.5742574257425742
production_smdp,5,high,V2,normalized,303,295,0.20769051923485438,0.22052938337866873,0.5491525423728814,0.9767641562533037,0.3234323432343234,0.5346534653465347
production_smdp,5,high,V3,raw,303,295,0.22195389278354927,0.2193005917356956,0.5389830508474577,0.9830586424534165,0.31683168316831684,0.5247524752475248
production_smdp,5,high,V3,normalized,303,295,0.22694800351856007,0.22369723713684775,0.535593220338983,0.9711639803986137,0.3201320132013201,0.5214521452145214
production_smdp,5,low,V0,raw,398,389,0.0731919893618606,0.11365895253263637,0.5526992287917738,1.0355754965978359,0.2638190954773869,0.5402010050251256
production_smdp,5,low,V0,normalized,398,389,0.08319332199026956,0.12159519266714969,0.5141388174807198,1.0400212438453147,0.27638190954773867,0.5025125628140703
production_smdp,5,low,V1,raw,398,389,0.07315269243920777,0.11359889719987462,0.5526992287917738,1.0355837527557092,0.2638190954773869,0.5402010050251256
production_smdp,5,low,V1,normalized,398,389,0.0831573824584151,0.12156749752405203,0.5141388174807198,1.0400268212142876,0.27638190954773867,0.5025125628140703
production_smdp,5,low,V2,raw,398,389,0.07315271193312863,0.11359889719987462,0.5526992287917738,1.0355837450839604,0.2638190954773869,0.5402010050251256
production_smdp,5,low,V2,normalized,398,389,0.08315738731829778,0.12156749752405203,0.5141388174807198,1.0400268298051876,0.27638190954773867,0.5025125628140703
production_smdp,5,low,V3,raw,398,389,0.06219903218373574,0.09271563077422232,0.506426735218509,1.0491802259743797,0.25125628140703515,0.4949748743718593
production_smdp,5,low,V3,normalized,398,389,0.07214957464605247,0.09946715402137718,0.519280205655527,1.0444995331319111,0.2638190954773869,0.507537688442211
production_smdp,5,medium,V0,raw,299,291,0.10839954377869808,0.1486343496902602,0.6666666666666666,1.0214655315156687,0.2608695652173913,0.6488294314381271
production_smdp,5,medium,V0,normalized,299,291,0.10357866975274721,0.14903015853654533,0.5360824742268041,1.0177930227944765,0.25752508361204013,0.5217391304347826
