lens,horizon,safe_set_bin,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,5,1-5,V0,raw,55,37,0.08536904875899522,0.15070926007219726,0.7297297297297297,0.9692892057060315,0.43636363636363634,0.4909090909090909
legacy_interval_step,5,1-5,V0,normalized,55,37,0.027509555789080133,0.11674261457689096,0.32432432432432434,0.9757113354623178,0.2545454545454545,0.21818181818181817
legacy_interval_step,5,1-5,V1,raw,55,37,0.08533564648494811,0.1506310851625061,0.7297297297297297,0.9692986195149514,0.45454545454545453,0.4909090909090909
legacy_interval_step,5,1-5,V1,normalized,55,37,0.027491667625958855,0.1145088318011098,0.32432432432432434,0.9757119150515994,0.2545454545454545,0.21818181818181817
legacy_interval_step,5,1-5,V2,raw,55,37,0.0853356584402019,0.14989486284988388,0.7297297297297297,0.9692986171369677,0.45454545454545453,0.4909090909090909
legacy_interval_step,5,1-5,V2,normalized,55,37,0.027491746886273833,0.1145088318011098,0.32432432432432434,0.9757118926362691,0.2545454545454545,0.21818181818181817
legacy_interval_step,5,1-5,V3,raw,55,37,0.1295003655686465,0.39681659383755646,0.3783783783783784,0.9549625827735236,0.41818181818181815,0.2545454545454545
legacy_interval_step,5,1-5,V3,normalized,55,37,0.07901254702919515,0.29438327433614375,0.32432432432432434,0.9638721257130843,0.2727272727272727,0.21818181818181817
legacy_interval_step,5,16-28,V0,raw,840,840,0.15417148009501516,0.13955645325547422,0.5928571428571429,1.022939119115738,0.2988095238095238,0.5928571428571429
legacy_interval_step,5,16-28,V0,normalized,840,840,0.1554702982919411,0.1399193568306915,0.5357142857142857,1.0278626520674892,0.2892857142857143,0.5357142857142857
legacy_interval_step,5,16-28,V1,raw,840,840,0.15414139528978707,0.1394826354956906,0.5928571428571429,1.02295482736264,0.2988095238095238,0.5928571428571429
legacy_interval_step,5,16-28,V1,normalized,840,840,0.1554417500844533,0.13998856857282543,0.5357142857142857,1.0278793814227405,0.2892857142857143,0.5357142857142857
legacy_interval_step,5,16-28,V2,raw,840,840,0.15414138801009963,0.1394826354956906,0.5928571428571429,1.0229548295877462,0.2988095238095238,0.5928571428571429
legacy_interval_step,5,16-28,V2,normalized,840,840,0.15544173395150737,0.13998856857282543,0.5357142857142857,1.0278793840389895,0.2892857142857143,0.5357142857142857
legacy_interval_step,5,16-28,V3,raw,840,840,0.15639764776560244,0.13167495979302207,0.5261904761904762,1.0203494071056043,0.2916666666666667,0.5261904761904762
legacy_interval_step,5,16-28,V3,normalized,840,840,0.15925787713578754,0.13554401461876436,0.5285714285714286,1.0236619052350302,0.2916666666666667,0.5285714285714286
legacy_interval_step,5,6-15,V0,raw,98,97,-0.010066544960614253,0.018011182873945087,0.5876288659793815,1.1654008403882816,0.15306122448979592,0.5816326530612245
legacy_interval_step,5,6-15,V0,normalized,98,97,0.012459996494839124,0.04021064845807113,0.4845360824742268,1.129545345306953,0.1836734693877551,0.47959183673469385
legacy_interval_step,5,6-15,V1,raw,98,97,-0.01009494537175093,0.018011182873945087,0.5876288659793815,1.1654129243537967,0.15306122448979592,0.5816326530612245
legacy_interval_step,5,6-15,V1,normalized,98,97,0.012433680108108256,0.04021064845807113,0.4845360824742268,1.1295563957012678,0.1836734693877551,0.47959183673469385
legacy_interval_step,5,6-15,V2,raw,98,97,-0.010094928543728676,0.018011182873945087,0.5876288659793815,1.1654129265046878,0.15306122448979592,0.5816326530612245
legacy_interval_step,5,6-15,V2,normalized,98,97,0.012433689960599204,0.04021064845807113,0.4845360824742268,1.129556408681371,0.1836734693877551,0.47959183673469385
legacy_interval_step,5,6-15,V3,raw,98,97,0.006414764601435496,0.014173047620807056,0.4639175257731959,1.1616635079440287,0.21428571428571427,0.45918367346938777
legacy_interval_step,5,6-15,V3,normalized,98,97,0.03425801446861401,0.04468629063621699,0.4639175257731959,1.1334239417585685,0.19387755102040816,0.45918367346938777
legacy_interval_step,5,empty,V0,raw,7,0,,,,0.8954557937935915,0.2857142857142857,0.0
legacy_interval_step,5,empty,V0,normalized,7,0,,,,0.8765894378013671,0.2857142857142857,0.0
legacy_interval_step,5,empty,V1,raw,7,0,,,,0.8954465799624343,0.2857142857142857,0.0
legacy_interval_step,5,empty,V1,normalized,7,0,,,,0.8765998740099763,0.2857142857142857,0.0
legacy_interval_step,5,empty,V2,raw,7,0,,,,0.895446583276606,0.2857142857142857,0.0
legacy_interval_step,5,empty,V2,normalized,7,0,,,,0.8765998934670481,0.2857142857142857,0.0
legacy_interval_step,5,empty,V3,raw,7,0,,,,0.8803900033121107,0.2857142857142857,0.0
legacy_interval_step,5,empty,V3,normalized,7,0,,,,0.8678759453982253,0.2857142857142857,0.0
legacy_interval_step,10,1-5,V0,raw,55,37,-0.03976067402250658,0.13810719351719017,0.7297297297297297,0.9865855513078228,0.43636363636363634,0.4909090909090909
legacy_interval_step,10,1-5,V0,normalized,55,37,-0.10389280717035981,0.10337797262562361,0.32432432432432434,0.9860799753980258,0.2545454545454545,0.21818181818181817
legacy_interval_step,10,1-5,V1,raw,55,37,-0.039797058252999035,0.13795599771480105,0.7297297297297297,0.986594241035942,0.45454545454545453,0.4909090909090909
legacy_interval_step,10,1-5,V1,normalized,55,37,-0.10391718225903726,0.10113781051899376,0.32432432432432434,0.986078383306046,0.2545454545454545,0.21818181818181817
legacy_interval_step,10,1-5,V2,raw,55,37,-0.03979704324377234,0.1372361309887003,0.7297297297297297,0.9865942467820475,0.45454545454545453,0.4909090909090909
legacy_interval_step,10,1-5,V2,normalized,55,37,-0.10391711277627613,0.10113781051899376,0.32432432432432434,0.986078362108095,0.2545454545454545,0.21818181818181817
legacy_interval_step,10,1-5,V3,raw,55,37,0.00478091163062908,0.3823345534597324,0.3783783783783784,0.9738895473215843,0.41818181818181815,0.2545454545454545
legacy_interval_step,10,1-5,V3,normalized,55,37,-0.05776267580976914,0.27991009142184836,0.32432432432432434,0.9735309972453889,0.2727272727272727,0.21818181818181817
legacy_interval_step,10,16-28,V0,raw,840,840,0.1578608229255137,0.14425540246864568,0.5892857142857143,1.0221673865569603,0.29285714285714287,0.5892857142857143
legacy_interval_step,10,16-28,V0,normalized,840,840,0.156853123903293,0.14184832816046575,0.5392857142857143,1.0266855688722778,0.29285714285714287,0.5392857142857143
legacy_interval_step,10,16-28,V1,raw,840,840,0.15782734819124905,0.14418392315293344,0.5892857142857143,1.022183427401238,0.29285714285714287,0.5892857142857143
legacy_interval_step,10,16-28,V1,normalized,840,840,0.15682073592410525,0.14190205153229482,0.5392857142857143,1.0267015706229037,0.29285714285714287,0.5392857142857143
legacy_interval_step,10,16-28,V2,raw,840,840,0.1578273409060028,0.14418392315293344,0.5892857142857143,1.022183429101217,0.29285714285714287,0.5892857142857143
legacy_interval_step,10,16-28,V2,normalized,840,840,0.15682071931811048,0.14190205153229482,0.5392857142857143,1.0267015745061203,0.29285714285714287,0.5392857142857143
legacy_interval_step,10,16-28,V3,raw,840,840,0.15733059534876007,0.1339571676018061,0.525,1.0198566664268778,0.29285714285714287,0.525
legacy_interval_step,10,16-28,V3,normalized,840,840,0.15712727394448484,0.13423358938269245,0.525,1.0226682918474794,0.28809523809523807,0.525
legacy_interval_step,10,6-15,V0,raw,98,98,0.007357623260873917,0.020178900458773883,0.5918367346938775,1.1732349425623845,0.15306122448979592,0.5918367346938775
legacy_interval_step,10,6-15,V0,normalized,98,98,0.03049152690204038,0.04860088365243004,0.46938775510204084,1.1319753600390294,0.1836734693877551,0.46938775510204084
legacy_interval_step,10,6-15,V1,raw,98,98,0.007333993619577203,0.020178900458773883,0.5918367346938775,1.1732359727135975,0.15306122448979592,0.5918367346938775
legacy_interval_step,10,6-15,V1,normalized,98,98,0.030468670380775244,0.04860088365243004,0.46938775510204084,1.1319847878151335,0.1836734693877551,0.46938775510204084
legacy_interval_step,10,6-15,V2,raw,98,98,0.00733400975611227,0.020178900458773883,0.5918367346938775,1.1732359727821098,0.15306122448979592,0.5918367346938775
legacy_interval_step,10,6-15,V2,normalized,98,98,0.03046867806169729,0.04860088365243004,0.46938775510204084,1.1319848017872716,0.1836734693877551,0.46938775510204084
legacy_interval_step,10,6-15,V3,raw,98,98,0.02907346422843017,0.034893877475788135,0.46938775510204084,1.1525530829541046,0.23469387755102042,0.46938775510204084
legacy_interval_step,10,6-15,V3,normalized,98,98,0.057537776662601084,0.06970398281149386,0.46938775510204084,1.1200417930699058,0.21428571428571427,0.46938775510204084
legacy_interval_step,10,empty,V0,raw,7,0,,,,0.8954557937935915,0.2857142857142857,0.0
legacy_interval_step,10,empty,V0,normalized,7,0,,,,0.8765894378013671,0.2857142857142857,0.0
legacy_interval_step,10,empty,V1,raw,7,0,,,,0.8954465799624343,0.2857142857142857,0.0
legacy_interval_step,10,empty,V1,normalized,7,0,,,,0.8765998740099763,0.2857142857142857,0.0
legacy_interval_step,10,empty,V2,raw,7,0,,,,0.895446583276606,0.2857142857142857,0.0
legacy_interval_step,10,empty,V2,normalized,7,0,,,,0.8765998934670481,0.2857142857142857,0.0
legacy_interval_step,10,empty,V3,raw,7,0,,,,0.8803900033121107,0.2857142857142857,0.0
legacy_interval_step,10,empty,V3,normalized,7,0,,,,0.8678759453982253,0.2857142857142857,0.0
legacy_interval_step,20,1-5,V0,raw,55,37,0.10921206858131655,0.1417304045905899,0.7297297297297297,0.96440087162519,0.43636363636363634,0.4909090909090909
legacy_interval_step,20,1-5,V0,normalized,55,37,0.05328401054044473,0.10675657777004896,0.32432432432432434,0.9720140281521602,0.2545454545454545,0.21818181818181817
legacy_interval_step,20,1-5,V1,raw,55,37,0.10917965435287615,0.14157378946648702,0.7297297297297297,0.9644102854341099,0.45454545454545453,0.4909090909090909
legacy_interval_step,20,1-5,V1,normalized,55,37,0.053267622806023304,0.10451641566341911,0.32432432432432434,0.9720146077414419,0.2545454545454545,0.21818181818181817
legacy_interval_step,20,1-5,V2,raw,55,37,0.10917966555987833,0.14085392274038624,0.7297297297297297,0.9644102830561262,0.45454545454545453,0.4909090909090909
legacy_interval_step,20,1-5,V2,normalized,55,37,0.05326770306939344,0.10451641566341911,0.32432432432432434,0.9720145853261112,0.2545454545454545,0.21818181818181817
legacy_interval_step,20,1-5,V3,raw,55,37,0.15273903788078746,0.3860261104111636,0.3783783783783784,0.9500742486926822,0.41818181818181815,0.2545454545454545
legacy_interval_step,20,1-5,V3,normalized,55,37,0.10524401638915183,0.28350904038004066,0.32432432432432434,0.960174818402927,0.2727272727272727,0.21818181818181817
legacy_interval_step,20,16-28,V0,raw,840,840,0.15707513814592128,0.14285947117423387,0.5892857142857143,1.0225045153236283,0.29285714285714287,0.5892857142857143
