lens,horizon,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,5,V0,raw,1000,974,0.11461842972020633,0.13969978285120435,0.5975359342915811,1.0209572444338357,0.287,0.582
legacy_interval_step,5,V0,normalized,1000,974,0.11574025012541618,0.14120352763645036,0.5225872689938398,1.0219726856272988,0.275,0.509
legacy_interval_step,5,V1,raw,1000,974,0.11458850498063275,0.13965385443048928,0.5975359342915811,1.020967875957557,0.287,0.582
legacy_interval_step,5,V1,normalized,1000,974,0.11571093084055814,0.14123258587385693,0.5225872689938398,1.021981607999227,0.275,0.509
legacy_interval_step,5,V2,raw,1000,974,0.1145884997403788,0.13965355742756203,0.5975359342915811,1.0209678752016984,0.287,0.582
legacy_interval_step,5,V2,normalized,1000,974,0.11571092107703339,0.14123258587385693,0.5225872689938398,1.0219816131510218,0.275,0.509
legacy_interval_step,5,V3,raw,1000,974,0.12136963610677144,0.13303899883525827,0.5143737166324436,1.02193951262355,0.276,0.501
legacy_interval_step,5,V3,normalized,1000,974,0.12341749288344266,0.13777964166321396,0.5143737166324436,1.0210765673231808,0.269,0.501
legacy_interval_step,10,V0,raw,1000,975,0.11613969340240453,0.1419754767945238,0.5948717948717949,1.019661151192207,0.287,0.58
legacy_interval_step,10,V0,normalized,1000,975,0.11467294827426848,0.14174135649598898,0.5241025641025641,1.0198267773499334,0.275,0.511
legacy_interval_step,10,V1,raw,1000,975,0.11610711971305883,0.14192846147596674,0.5948717948717949,1.0196710194635454,0.287,0.58
legacy_interval_step,10,V1,normalized,1000,975,0.11464052942853062,0.14176375469833508,0.5241025641025641,1.019833477436873,0.275,0.511
legacy_interval_step,10,V2,raw,1000,975,0.11610711454917766,0.14192819147307226,0.5948717948717949,1.0196710179818538,0.287,0.58
legacy_interval_step,10,V2,normalized,1000,975,0.11464051960823526,0.14176375469833508,0.5241025641025641,1.0198334810426846,0.275,0.511
legacy_interval_step,10,V3,raw,1000,975,0.12118798887601542,0.13473277593387697,0.5138461538461538,1.0221279759546142,0.273,0.501
legacy_interval_step,10,V3,normalized,1000,975,0.11985525763547204,0.13720536951773624,0.5117948717948718,1.0202902337928081,0.265,0.499
legacy_interval_step,20,V0,raw,1000,975,0.11644453632369205,0.14098917100290595,0.5948717948717949,1.0202566662468864,0.286,0.58
legacy_interval_step,20,V0,normalized,1000,975,0.1161690805412906,0.14098294079204965,0.5241025641025641,1.0203158108254153,0.276,0.511
legacy_interval_step,20,V1,raw,1000,975,0.11641329873049291,0.14094323605595158,0.5948717948717949,1.0202673560595934,0.286,0.58
