arm,unit,active_loss,huber_is_hypothetical,hypothetical_huber_saturation_fraction,residual_mean,residual_std,absolute_residual_p50,absolute_residual_p90,absolute_residual_p95,absolute_residual_p99,raw_unit_saturation
V1,0,MSE,True,1.0,-337.5904450180474,109.08542473624553,334.8609561925707,477.93637073658044,521.2484771018163,602.8232728208415,1.0
V1,10,MSE,True,1.0,-333.6710067241311,109.0915505872817,330.93522282017,473.9956378424552,517.4070617765391,598.9541801319585,1.0
V1,20,MSE,True,1.0,-331.67844301808407,109.08266441004335,328.9327322853634,471.9990961945527,515.3556065164777,596.9232701059988,1.0
V1,30,MSE,True,0.9999444444444444,-330.16642848733267,109.08026654961989,327.4213156405111,470.48046269608903,513.8468900805028,595.4071815582922,0.9999444444444444
V1,40,MSE,True,0.9999722222222223,-328.74507918072277,109.07926460502553,326.0014911547996,469.0546602817588,512.4227063280575,593.9840054127386,0.9999722222222223
V1,50,MSE,True,0.9999722222222223,-327.35885570335915,109.07872927817577,324.6165009394981,467.66566902123026,511.03302126946375,592.5967970368077,0.9999722222222223
V1,60,MSE,True,0.9999166666666667,-325.9910945043882,109.07841311021178,323.2494936839439,466.2962753864341,509.66318594040797,591.2284373375585,0.9999166666666667
V1,70,MSE,True,0.9999444444444444,-324.63439086641733,109.07820474976556,321.8932996646263,464.93849550209575,508.3051017862789,589.8713239094427,0.9999444444444444
V1,80,MSE,True,0.9999166666666667,-323.28508256777656,109.07806029322818,320.54435213960187,463.5884343715721,506.95482731881066,588.5217300221136,0.9999166666666667
V1,90,MSE,True,0.9999166666666667,-321.94101084110997,109.077953936819,319.20054968751447,462.2438147159629,505.6100391966335,587.1774485489537,0.9999166666666667
V1,100,MSE,True,0.9999722222222223,-320.6008565312809,109.0778735495999,317.86060341752545,460.90324045143655,504.2693411451809,585.8371346851995,0.9999722222222223
V1,110,MSE,True,0.9999166666666667,-319.2637008231269,109.0778099225595,316.5236149684288,459.5657532306724,502.93175092759054,584.4998517796209,0.9999166666666667
V1,120,MSE,True,0.9997777777777778,-317.92894960586756,109.0777596728498,315.18899544633405,458.2307413669639,501.59665285172383,583.1649990078619,0.9997777777777778
V1,130,MSE,True,0.9999166666666667,-316.596145909871,109.07771934018825,313.8562994853355,456.8977272602134,500.26357332291525,581.8321128269841,0.9999166666666667
V1,140,MSE,True,0.9998611111111111,-315.26493356866837,109.07768602762502,312.5251751796104,455.56634183846046,498.93212896408954,580.5008308216741,0.9998611111111111
V1,150,MSE,True,0.9998333333333334,-313.9350601710531,109.07765817004328,311.19537934220807,454.2363239856773,497.60206466736713,579.1709011456182,0.9998333333333334
V1,160,MSE,True,0.9997777777777778,-312.60631001957785,109.07763480731548,309.8666926280357,452.90745111427833,496.27315031113545,577.8421026417425,0.9997777777777778
V1,170,MSE,True,0.9998333333333334,-311.2785214886983,109.0776145637245,308.53896054185407,451.579559573751,494.94522234024925,576.5142711636236,0.9998333333333334
V1,180,MSE,True,0.9997222222222222,-309.9515666158252,109.0775974145592,307.21205052293317,450.2525173755699,493.6181456190578,575.1872827526739,0.9997222222222222
