state_mismatch,mask_mismatch,probability_mismatch,backlog_mismatch,task_mismatch,snapshot_mismatch,action_prefix_mismatch,future_arrival_mismatch,future_torch_rng_mismatch,episode,task_id,action_index,state_id
0,0,0,0,0,0,0,0,0,1,1,0,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,1,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,2,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,3,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,4,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,5,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,6,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,7,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,8,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,9,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,10,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,11,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,12,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,13,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,14,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,15,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,16,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,17,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,18,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,19,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,20,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,21,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,22,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,23,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,24,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,25,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,26,ep001_task001
0,0,0,0,0,0,0,0,0,1,1,27,ep001_task001
0,0,0,0,0,0,0,0,0,1,13,2,ep001_task013
0,0,0,0,0,0,0,0,0,1,13,4,ep001_task013
0,0,0,0,0,0,0,0,0,1,13,5,ep001_task013
0,0,0,0,0,0,0,0,0,1,13,6,ep001_task013
0,0,0,0,0,0,0,0,0,1,13,7,ep001_task013
0,0,0,0,0,0,0,0,0,1,13,8,ep001_task013
