state_id,episode,task_id,dataset_index,load,requirement,safe_set_bin,safe_set_size,effective_set_size,lens,horizon,coupling,frozen_advantage_spearman,frozen_advantage_regret
ep001_task088,1,88,87,high,0.9999,16-28,24,24,production_smdp,10,coupled,0.17827058059870218,4.487619755426294
ep001_task088,1,88,87,high,0.9999,16-28,24,24,production_smdp,20,coupled,0.17827058059870218,4.487619755426238
ep001_task088,1,88,87,high,0.9999,16-28,24,24,production_smdp,50,coupled,0.17827058059870218,4.487619755426238
ep001_task088,1,88,87,high,0.9999,16-28,24,24,legacy_interval_step,5,coupled,0.17827058059870218,3.7725514953567654
ep001_task088,1,88,87,high,0.9999,16-28,24,24,legacy_interval_step,10,coupled,0.17827058059870218,3.772551495356822
ep001_task088,1,88,87,high,0.9999,16-28,24,24,legacy_interval_step,20,coupled,0.17827058059870218,3.7725514953567654
ep001_task088,1,88,87,high,0.9999,16-28,24,24,legacy_interval_step,50,coupled,0.17827058059870218,3.7725514953567654
ep001_task100,1,100,99,high,0.9999,16-28,17,17,production_smdp,5,easy,0.39697355349666713,0.0
ep001_task100,1,100,99,high,0.9999,16-28,17,17,production_smdp,10,easy,0.39697355349666713,0.0
ep001_task100,1,100,99,high,0.9999,16-28,17,17,production_smdp,20,easy,0.39697355349666713,0.0
ep001_task100,1,100,99,high,0.9999,16-28,17,17,production_smdp,50,easy,0.39697355349666713,0.0
ep001_task100,1,100,99,high,0.9999,16-28,17,17,legacy_interval_step,5,easy,0.39697355349666713,0.0
ep001_task100,1,100,99,high,0.9999,16-28,17,17,legacy_interval_step,10,easy,0.39697355349666713,0.0
ep001_task100,1,100,99,high,0.9999,16-28,17,17,legacy_interval_step,20,easy,0.39697355349666713,0.0
ep001_task100,1,100,99,high,0.9999,16-28,17,17,legacy_interval_step,50,easy,0.39697355349666713,0.0
ep001_task113,1,113,112,low,0.99,16-28,25,25,production_smdp,5,easy,-0.13781654052593534,0.0
ep001_task113,1,113,112,low,0.99,16-28,25,25,production_smdp,10,easy,-0.13781654052593534,0.0
ep001_task113,1,113,112,low,0.99,16-28,25,25,production_smdp,20,easy,-0.13781654052593534,0.0
ep001_task113,1,113,112,low,0.99,16-28,25,25,production_smdp,50,easy,-0.13781654052593534,0.0
ep001_task113,1,113,112,low,0.99,16-28,25,25,legacy_interval_step,5,easy,0.012034683820574632,0.0
ep001_task113,1,113,112,low,0.99,16-28,25,25,legacy_interval_step,10,easy,0.012034683820574632,0.0
ep001_task113,1,113,112,low,0.99,16-28,25,25,legacy_interval_step,20,easy,0.012034683820574632,0.0
ep001_task113,1,113,112,low,0.99,16-28,25,25,legacy_interval_step,50,easy,0.012034683820574632,0.0
ep001_task125,1,125,124,high,0.999,16-28,22,22,production_smdp,5,coupled,-0.6117676390171646,36.36262341501762
ep001_task125,1,125,124,high,0.999,16-28,22,22,production_smdp,10,coupled,-0.6117676390171646,36.362623415017595
ep001_task125,1,125,124,high,0.999,16-28,22,22,production_smdp,20,coupled,-0.6117676390171646,36.362623415017595
ep001_task125,1,125,124,high,0.999,16-28,22,22,production_smdp,50,coupled,-0.6117676390171646,36.36262341501754
ep001_task125,1,125,124,high,0.999,16-28,22,22,legacy_interval_step,5,coupled,-0.6660699601386127,35.03308933202791
ep001_task125,1,125,124,high,0.999,16-28,22,22,legacy_interval_step,10,coupled,-0.6660699601386127,35.033089332027885
ep001_task125,1,125,124,high,0.999,16-28,22,22,legacy_interval_step,20,coupled,-0.6660699601386127,35.033089332028
ep001_task125,1,125,124,high,0.999,16-28,22,22,legacy_interval_step,50,coupled,-0.6660699601386127,35.033089332028
ep001_task138,1,138,137,medium,0.9,16-28,28,28,production_smdp,5,easy,0.5645536101819325,0.0
ep001_task138,1,138,137,medium,0.9,16-28,28,28,production_smdp,10,easy,0.5645536101819325,0.0
ep001_task138,1,138,137,medium,0.9,16-28,28,28,production_smdp,20,easy,0.5645536101819325,0.0
ep001_task138,1,138,137,medium,0.9,16-28,28,28,production_smdp,50,easy,0.5645536101819325,0.0
ep001_task138,1,138,137,medium,0.9,16-28,28,28,legacy_interval_step,5,easy,0.5645536101819325,0.0
ep001_task138,1,138,137,medium,0.9,16-28,28,28,legacy_interval_step,10,easy,0.5645536101819325,0.0
ep001_task138,1,138,137,medium,0.9,16-28,28,28,legacy_interval_step,20,easy,0.5645536101819325,0.0
ep001_task138,1,138,137,medium,0.9,16-28,28,28,legacy_interval_step,50,easy,0.5645536101819325,0.0
ep001_task150,1,150,149,medium,0.9,16-28,28,28,production_smdp,5,easy,0.10639342826319595,6.540725483034123
ep001_task150,1,150,149,medium,0.9,16-28,28,28,production_smdp,10,easy,0.10639342826319595,6.540725483034123
ep001_task150,1,150,149,medium,0.9,16-28,28,28,production_smdp,20,easy,0.10639342826319595,6.540725483034123
ep001_task150,1,150,149,medium,0.9,16-28,28,28,production_smdp,50,easy,0.10639342826319595,6.540725483034123
ep001_task150,1,150,149,medium,0.9,16-28,28,28,legacy_interval_step,5,easy,0.10639342826319595,6.540725483034123
ep001_task150,1,150,149,medium,0.9,16-28,28,28,legacy_interval_step,10,easy,0.10639342826319595,6.540725483034123
ep001_task150,1,150,149,medium,0.9,16-28,28,28,legacy_interval_step,20,easy,0.10639342826319595,6.54072548303418
ep001_task150,1,150,149,medium,0.9,16-28,28,28,legacy_interval_step,50,easy,0.10639342826319595,6.54072548303418
ep001_task163,1,163,162,low,0.9,16-28,28,28,production_smdp,5,easy,0.9079648590000492,2.4174502980648924
ep001_task163,1,163,162,low,0.9,16-28,28,28,production_smdp,10,easy,0.9079648590000492,2.417450298064921
ep001_task163,1,163,162,low,0.9,16-28,28,28,production_smdp,20,easy,0.9079648590000492,2.417450298064864
ep001_task163,1,163,162,low,0.9,16-28,28,28,production_smdp,50,easy,0.9079648590000492,2.417450298064864
ep001_task163,1,163,162,low,0.9,16-28,28,28,legacy_interval_step,5,easy,0.9079648590000492,2.4174502980649493
ep001_task163,1,163,162,low,0.9,16-28,28,28,legacy_interval_step,10,easy,0.9079648590000492,2.417450298064864
ep001_task163,1,163,162,low,0.9,16-28,28,28,legacy_interval_step,20,easy,0.9079648590000492,2.417450298064807
ep001_task163,1,163,162,low,0.9,16-28,28,28,legacy_interval_step,50,easy,0.9079648590000492,2.4174502980649777
ep001_task175,1,175,174,high,0.9,16-28,28,28,production_smdp,5,easy,0.692392834194516,0.0
ep001_task175,1,175,174,high,0.9,16-28,28,28,production_smdp,10,easy,0.692392834194516,0.0
ep001_task175,1,175,174,high,0.9,16-28,28,28,production_smdp,20,easy,0.692392834194516,0.0
ep001_task175,1,175,174,high,0.9,16-28,28,28,production_smdp,50,easy,0.692392834194516,0.0
ep001_task175,1,175,174,high,0.9,16-28,28,28,legacy_interval_step,5,easy,0.692392834194516,0.0
ep001_task175,1,175,174,high,0.9,16-28,28,28,legacy_interval_step,10,easy,0.692392834194516,0.0
ep001_task175,1,175,174,high,0.9,16-28,28,28,legacy_interval_step,20,easy,0.692392834194516,0.0
ep001_task175,1,175,174,high,0.9,16-28,28,28,legacy_interval_step,50,easy,0.692392834194516,0.0
ep001_task188,1,188,187,medium,0.99,16-28,28,28,production_smdp,5,easy,0.9168773974933012,0.0
ep001_task188,1,188,187,medium,0.99,16-28,28,28,production_smdp,10,easy,0.9168773974933012,0.0
ep001_task188,1,188,187,medium,0.99,16-28,28,28,production_smdp,20,easy,0.9168773974933012,0.0
ep001_task188,1,188,187,medium,0.99,16-28,28,28,production_smdp,50,easy,0.9168773974933012,0.0
ep001_task188,1,188,187,medium,0.99,16-28,28,28,legacy_interval_step,5,easy,0.9168773974933012,0.0
ep001_task188,1,188,187,medium,0.99,16-28,28,28,legacy_interval_step,10,easy,0.9168773974933012,0.0
ep001_task188,1,188,187,medium,0.99,16-28,28,28,legacy_interval_step,20,easy,0.9168773974933012,0.0
ep001_task188,1,188,187,medium,0.99,16-28,28,28,legacy_interval_step,50,easy,0.9168773974933012,0.0
ep001_task200,1,200,199,medium,0.9999,6-15,6,6,production_smdp,5,easy,0.8332380897952965,0.0
ep001_task200,1,200,199,medium,0.9999,6-15,6,6,production_smdp,10,easy,0.8332380897952965,0.0
ep001_task200,1,200,199,medium,0.9999,6-15,6,6,production_smdp,20,easy,0.8332380897952965,0.0
ep001_task200,1,200,199,medium,0.9999,6-15,6,6,production_smdp,50,easy,0.8332380897952965,0.0
ep001_task200,1,200,199,medium,0.9999,6-15,6,6,legacy_interval_step,5,easy,0.8332380897952965,0.0
ep001_task200,1,200,199,medium,0.9999,6-15,6,6,legacy_interval_step,10,easy,0.8332380897952965,0.0
ep001_task200,1,200,199,medium,0.9999,6-15,6,6,legacy_interval_step,20,easy,0.8332380897952965,0.0
ep001_task200,1,200,199,medium,0.9999,6-15,6,6,legacy_interval_step,50,easy,0.8332380897952965,0.0
ep003_task001,3,1,400,low,0.99,16-28,28,28,production_smdp,5,easy,0.6249917618392976,11.470845453830407
ep003_task001,3,1,400,low,0.99,16-28,28,28,production_smdp,10,easy,0.6249917618392976,11.470845453830407
ep003_task001,3,1,400,low,0.99,16-28,28,28,production_smdp,20,easy,0.6249917618392976,11.470845453830407
ep003_task001,3,1,400,low,0.99,16-28,28,28,production_smdp,50,easy,0.6249917618392976,11.470845453830407
ep003_task001,3,1,400,low,0.99,16-28,28,28,legacy_interval_step,5,easy,0.6249917618392976,11.470845453830407
ep003_task001,3,1,400,low,0.99,16-28,28,28,legacy_interval_step,10,easy,0.6249917618392976,11.470845453830464
ep003_task001,3,1,400,low,0.99,16-28,28,28,legacy_interval_step,20,easy,0.6249917618392976,11.47084545383052
ep003_task001,3,1,400,low,0.99,16-28,28,28,legacy_interval_step,50,easy,0.6249917618392976,11.47084545383052
ep003_task013,3,13,412,high,0.999,16-28,28,28,production_smdp,5,coupled,-0.0937725693878947,5.1780952876065385
ep003_task013,3,13,412,high,0.999,16-28,28,28,production_smdp,10,coupled,-0.0937725693878947,5.178095287606595
ep003_task013,3,13,412,high,0.999,16-28,28,28,production_smdp,20,coupled,-0.0937725693878947,5.178095287606482
ep003_task013,3,13,412,high,0.999,16-28,28,28,production_smdp,50,coupled,-0.0937725693878947,5.1780952876065385
ep003_task013,3,13,412,high,0.999,16-28,28,28,legacy_interval_step,5,coupled,-0.08772272620157892,5.178095287606482
ep003_task013,3,13,412,high,0.999,16-28,28,28,legacy_interval_step,10,coupled,-0.08772272620157892,5.1780952876065385
ep003_task013,3,13,412,high,0.999,16-28,28,28,legacy_interval_step,20,coupled,-0.08772272620157892,5.1780952876065385
ep003_task013,3,13,412,high,0.999,16-28,28,28,legacy_interval_step,50,coupled,-0.08772272620157892,5.1780952876065385
ep003_task026,3,26,425,high,0.9999,16-28,18,18,production_smdp,5,easy,0.702555441401683,0.0
ep003_task026,3,26,425,high,0.9999,16-28,18,18,production_smdp,10,easy,0.702555441401683,0.0
ep003_task026,3,26,425,high,0.9999,16-28,18,18,production_smdp,20,easy,0.702555441401683,0.0
ep003_task026,3,26,425,high,0.9999,16-28,18,18,production_smdp,50,easy,0.702555441401683,0.0
ep003_task026,3,26,425,high,0.9999,16-28,18,18,legacy_interval_step,5,easy,0.702555441401683,0.0
ep003_task026,3,26,425,high,0.9999,16-28,18,18,legacy_interval_step,10,easy,0.702555441401683,0.0
ep003_task026,3,26,425,high,0.9999,16-28,18,18,legacy_interval_step,20,easy,0.702555441401683,0.0
ep003_task026,3,26,425,high,0.9999,16-28,18,18,legacy_interval_step,50,easy,0.702555441401683,0.0
ep003_task038,3,38,437,low,0.99,16-28,28,28,production_smdp,5,coupled,0.8341855395278482,0.0
ep003_task038,3,38,437,low,0.99,16-28,28,28,production_smdp,10,coupled,0.8341855395278482,0.0
ep003_task038,3,38,437,low,0.99,16-28,28,28,production_smdp,20,coupled,0.8341855395278482,0.0
ep003_task038,3,38,437,low,0.99,16-28,28,28,production_smdp,50,coupled,0.8341855395278482,0.0
ep003_task038,3,38,437,low,0.99,16-28,28,28,legacy_interval_step,5,coupled,0.8341855395278482,0.0
ep003_task038,3,38,437,low,0.99,16-28,28,28,legacy_interval_step,10,coupled,0.8341855395278482,0.0
ep003_task038,3,38,437,low,0.99,16-28,28,28,legacy_interval_step,20,coupled,0.8341855395278482,0.0
ep003_task038,3,38,437,low,0.99,16-28,28,28,legacy_interval_step,50,coupled,0.8341855395278482,0.0
ep003_task051,3,51,450,low,0.999,16-28,28,28,production_smdp,5,easy,0.7793183518747635,3.0244370666400755
ep003_task051,3,51,450,low,0.999,16-28,28,28,production_smdp,10,easy,0.7793183518747635,3.0244370666400755
ep003_task051,3,51,450,low,0.999,16-28,28,28,production_smdp,20,easy,0.7793183518747635,3.0244370666400755
ep003_task051,3,51,450,low,0.999,16-28,28,28,production_smdp,50,easy,0.7793183518747635,3.0244370666401323
ep003_task051,3,51,450,low,0.999,16-28,28,28,legacy_interval_step,5,easy,0.794178235702884,2.721993359976068
ep003_task051,3,51,450,low,0.999,16-28,28,28,legacy_interval_step,10,easy,0.794178235702884,2.721993359976011
ep003_task051,3,51,450,low,0.999,16-28,28,28,legacy_interval_step,20,easy,0.794178235702884,2.721993359976068
ep003_task051,3,51,450,low,0.999,16-28,28,28,legacy_interval_step,50,easy,0.794178235702884,2.721993359976068
ep003_task063,3,63,462,high,0.999,16-28,28,28,production_smdp,5,coupled,-0.19177464984356246,0.0
ep003_task063,3,63,462,high,0.999,16-28,28,28,production_smdp,10,coupled,-0.19177464984356246,0.0
ep003_task063,3,63,462,high,0.999,16-28,28,28,production_smdp,20,coupled,-0.19177464984356246,0.0
ep003_task063,3,63,462,high,0.999,16-28,28,28,production_smdp,50,coupled,-0.19177464984356246,0.0
ep003_task063,3,63,462,high,0.999,16-28,28,28,legacy_interval_step,5,coupled,-0.19177464984356246,0.0
ep003_task063,3,63,462,high,0.999,16-28,28,28,legacy_interval_step,10,coupled,-0.19177464984356246,0.0
ep003_task063,3,63,462,high,0.999,16-28,28,28,legacy_interval_step,20,coupled,-0.19177464984356246,0.0
ep003_task063,3,63,462,high,0.999,16-28,28,28,legacy_interval_step,50,coupled,-0.19177464984356246,0.0
ep003_task076,3,76,475,low,0.9999,16-28,18,18,production_smdp,5,easy,0.7378229663044892,0.0
ep003_task076,3,76,475,low,0.9999,16-28,18,18,production_smdp,10,easy,0.7378229663044892,0.0
ep003_task076,3,76,475,low,0.9999,16-28,18,18,production_smdp,20,easy,0.7378229663044892,0.0
ep003_task076,3,76,475,low,0.9999,16-28,18,18,production_smdp,50,easy,0.7378229663044892,0.0
ep003_task076,3,76,475,low,0.9999,16-28,18,18,legacy_interval_step,5,easy,0.7378229663044892,0.0
ep003_task076,3,76,475,low,0.9999,16-28,18,18,legacy_interval_step,10,easy,0.7378229663044892,0.0
ep003_task076,3,76,475,low,0.9999,16-28,18,18,legacy_interval_step,20,easy,0.7378229663044892,0.0
ep003_task076,3,76,475,low,0.9999,16-28,18,18,legacy_interval_step,50,easy,0.7378229663044892,0.0
ep003_task088,3,88,487,high,0.9999,16-28,28,28,production_smdp,5,easy,0.4077486360662798,0.0
ep003_task088,3,88,487,high,0.9999,16-28,28,28,production_smdp,10,easy,0.4077486360662798,0.0
ep003_task088,3,88,487,high,0.9999,16-28,28,28,production_smdp,20,easy,0.4077486360662798,0.0
ep003_task088,3,88,487,high,0.9999,16-28,28,28,production_smdp,50,easy,0.4077486360662798,0.0
ep003_task088,3,88,487,high,0.9999,16-28,28,28,legacy_interval_step,5,easy,0.4077486360662798,0.0
ep003_task088,3,88,487,high,0.9999,16-28,28,28,legacy_interval_step,10,easy,0.4077486360662798,0.0
ep003_task088,3,88,487,high,0.9999,16-28,28,28,legacy_interval_step,20,easy,0.4077486360662798,0.0
ep003_task088,3,88,487,high,0.9999,16-28,28,28,legacy_interval_step,50,easy,0.4077486360662798,0.0
ep003_task100,3,100,499,high,0.9999,16-28,19,19,production_smdp,5,easy,0.7451790811332856,0.0
ep003_task100,3,100,499,high,0.9999,16-28,19,19,production_smdp,10,easy,0.7451790811332856,0.0
ep003_task100,3,100,499,high,0.9999,16-28,19,19,production_smdp,20,easy,0.7451790811332856,0.0
ep003_task100,3,100,499,high,0.9999,16-28,19,19,production_smdp,50,easy,0.7451790811332856,0.0
ep003_task100,3,100,499,high,0.9999,16-28,19,19,legacy_interval_step,5,easy,0.7451790811332856,0.0
ep003_task100,3,100,499,high,0.9999,16-28,19,19,legacy_interval_step,10,easy,0.7451790811332856,0.0
ep003_task100,3,100,499,high,0.9999,16-28,19,19,legacy_interval_step,20,easy,0.7451790811332856,0.0
ep003_task100,3,100,499,high,0.9999,16-28,19,19,legacy_interval_step,50,easy,0.7451790811332856,0.0
ep003_task113,3,113,512,low,0.99,16-28,28,28,production_smdp,5,easy,0.9129781619025035,0.0
ep003_task113,3,113,512,low,0.99,16-28,28,28,production_smdp,10,easy,0.9129781619025035,0.0
ep003_task113,3,113,512,low,0.99,16-28,28,28,production_smdp,20,easy,0.9129781619025035,0.0
ep003_task113,3,113,512,low,0.99,16-28,28,28,production_smdp,50,easy,0.9129781619025035,0.0
ep003_task113,3,113,512,low,0.99,16-28,28,28,legacy_interval_step,5,easy,0.9129781619025035,0.0
ep003_task113,3,113,512,low,0.99,16-28,28,28,legacy_interval_step,10,easy,0.9129781619025035,0.0
ep003_task113,3,113,512,low,0.99,16-28,28,28,legacy_interval_step,20,easy,0.9129781619025035,0.0
ep003_task113,3,113,512,low,0.99,16-28,28,28,legacy_interval_step,50,easy,0.9129781619025035,0.0
ep003_task125,3,125,524,high,0.999,16-28,25,25,production_smdp,5,easy,0.2994903175602505,0.0
ep003_task125,3,125,524,high,0.999,16-28,25,25,production_smdp,10,easy,0.2994903175602505,0.0
ep003_task125,3,125,524,high,0.999,16-28,25,25,production_smdp,20,easy,0.2994903175602505,0.0
ep003_task125,3,125,524,high,0.999,16-28,25,25,production_smdp,50,easy,0.2994903175602505,0.0
ep003_task125,3,125,524,high,0.999,16-28,25,25,legacy_interval_step,5,easy,0.30259786949343076,0.0
ep003_task125,3,125,524,high,0.999,16-28,25,25,legacy_interval_step,10,easy,0.30259786949343076,0.0
ep003_task125,3,125,524,high,0.999,16-28,25,25,legacy_interval_step,20,easy,0.30259786949343076,0.0
