episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size
11,1,ep011_task001,test,2000,0.0,low,0.99,16-28,28,28
11,13,ep011_task013,test,2012,1.099559117051244,medium,0.999,16-28,27,27
11,26,ep011_task026,test,2025,1.6715238872999256,medium,0.9999,6-15,14,14
11,38,ep011_task038,test,2037,0.0,low,0.99,16-28,28,28
11,51,ep011_task051,test,2050,1.569143780428664,medium,0.999,16-28,23,23
11,63,ep011_task063,test,2062,0.22870906647818479,medium,0.999,16-28,28,28
11,76,ep011_task076,test,2075,0.0,low,0.9999,6-15,14,14
11,88,ep011_task088,test,2087,0.2627069030646081,medium,0.9999,16-28,26,26
11,100,ep011_task100,test,2099,2.5462112731804476,high,0.9999,16-28,16,16
11,113,ep011_task113,test,2112,3.9761053923061622,high,0.99,16-28,27,27
11,125,ep011_task125,test,2124,2.5817930744022055,high,0.999,16-28,21,21
11,138,ep011_task138,test,2137,2.410043473090716,high,0.9,16-28,28,28
11,150,ep011_task150,test,2149,0.0,low,0.9,16-28,28,28
11,163,ep011_task163,test,2162,0.0,low,0.9,16-28,28,28
11,175,ep011_task175,test,2174,3.6146263952616535,high,0.9,16-28,28,28
11,188,ep011_task188,test,2187,1.1765437924638795,medium,0.99,16-28,28,28
11,200,ep011_task200,test,2199,2.263086504176249,high,0.9999,1-5,2,2
17,1,ep017_task001,test,3200,0.0,low,0.99,16-28,28,28
17,13,ep017_task013,test,3212,3.678198024350757,high,0.999,16-28,23,23
17,26,ep017_task026,test,3225,1.284008140778751,medium,0.9999,1-5,5,5
17,38,ep017_task038,test,3237,0.0,low,0.99,16-28,28,28
17,51,ep017_task051,test,3250,2.7141079885966217,high,0.999,16-28,18,18
17,63,ep017_task063,test,3262,1.2072622193728995,medium,0.999,16-28,26,26
17,76,ep017_task076,test,3275,0.5846838417705957,medium,0.9999,6-15,9,9
17,88,ep017_task088,test,3287,3.3577611837182975,high,0.9999,16-28,19,19
17,100,ep017_task100,test,3299,0.0,low,0.9999,6-15,9,9
17,113,ep017_task113,test,3312,2.9667767482584426,high,0.99,16-28,23,23
17,125,ep017_task125,test,3324,1.1413847289904215,medium,0.999,6-15,14,14
17,138,ep017_task138,test,3337,1.4315928882539635,medium,0.9,16-28,28,28
17,150,ep017_task150,test,3349,1.739168554327322,high,0.9,16-28,28,28
17,163,ep017_task163,test,3362,0.0,low,0.9,16-28,28,28
17,175,ep017_task175,test,3374,1.1099091008724837,medium,0.9,16-28,28,28
17,188,ep017_task188,test,3387,0.08285351217441894,medium,0.99,16-28,28,28
17,200,ep017_task200,test,3399,0.0,low,0.9999,1-5,2,2
32,1,ep032_task001,test,6200,0.0,low,0.99,16-28,28,28
32,13,ep032_task013,test,6212,0.8578645630778812,medium,0.999,16-28,26,26
32,26,ep032_task026,test,6225,0.0,low,0.9999,6-15,13,13
32,38,ep032_task038,test,6237,0.0,low,0.99,16-28,28,28
32,51,ep032_task051,test,6250,0.0,low,0.999,16-28,21,21
32,63,ep032_task063,test,6262,2.364734769107875,high,0.999,16-28,27,27
32,76,ep032_task076,test,6275,1.151607612060774,medium,0.9999,6-15,14,14
32,88,ep032_task088,test,6287,1.2713103495171196,medium,0.9999,16-28,23,23
32,100,ep032_task100,test,6299,0.0,low,0.9999,6-15,14,14
