lens,horizon,coupling,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,5,coupled,V0,raw,185,184,0.10605065271150024,0.08871725863310716,0.592391304347826,1.0207882777491764,0.32432432432432434,0.5891891891891892
legacy_interval_step,5,coupled,V0,normalized,185,184,0.12983240488349254,0.10515143474470262,0.5543478260869565,1.0186887456234546,0.34054054054054056,0.5513513513513514
legacy_interval_step,5,coupled,V1,raw,185,184,0.1060178735263897,0.08871725863310716,0.592391304347826,1.0208275115653402,0.32432432432432434,0.5891891891891892
legacy_interval_step,5,coupled,V1,normalized,185,184,0.12980270225213517,0.1052689435578636,0.5543478260869565,1.0187203735518173,0.34054054054054056,0.5513513513513514
legacy_interval_step,5,coupled,V2,raw,185,184,0.10601785931361694,0.08871725863310716,0.592391304347826,1.0208275366395636,0.32432432432432434,0.5891891891891892
legacy_interval_step,5,coupled,V2,normalized,185,184,0.12980268750036497,0.1052689435578636,0.5543478260869565,1.0187203877638351,0.34054054054054056,0.5513513513513514
legacy_interval_step,5,coupled,V3,raw,185,184,0.11763460110296,0.05803229597058489,0.5271739130434783,1.0344764933432211,0.2918918918918919,0.5243243243243243
legacy_interval_step,5,coupled,V3,normalized,185,184,0.1459614506930142,0.09028846518327587,0.5434782608695652,1.0226735493836925,0.2702702702702703,0.5405405405405406
legacy_interval_step,5,easy,V0,raw,815,790,0.11944816627324992,0.14844418263825482,0.5987341772151898,1.0284254734176532,0.27361963190184047,0.5803680981595092
legacy_interval_step,5,easy,V0,normalized,815,790,0.11617862442767725,0.1463252901439679,0.5151898734177215,1.032194290276723,0.2625766871165644,0.49938650306748467
legacy_interval_step,5,easy,V1,raw,815,790,0.11941897504098103,0.14841239222770172,0.5987341772151898,1.0284340330355985,0.27361963190184047,0.5803680981595092
legacy_interval_step,5,easy,V1,normalized,815,790,0.11614996508583164,0.1463556373193141,0.5151898734177215,1.032200774064657,0.2625766871165644,0.49938650306748467
legacy_interval_step,5,easy,V2,raw,815,790,0.11941897129260262,0.14841187683396592,0.5987341772151898,1.028434033256636,0.27361963190184047,0.5803680981595092
legacy_interval_step,5,easy,V2,normalized,815,790,0.11614995549065939,0.1463556373193141,0.5151898734177215,1.032200776128239,0.2625766871165644,0.49938650306748467
legacy_interval_step,5,easy,V3,raw,815,790,0.12706730321922427,0.1463498300209666,0.5113924050632911,1.0208635228687497,0.2748466257668712,0.49570552147239266
legacy_interval_step,5,easy,V3,normalized,815,790,0.12390803978958208,0.1458344040778947,0.5075949367088608,1.0256745386033383,0.2773006134969325,0.4920245398773006
legacy_interval_step,10,coupled,V0,raw,185,185,0.13246777269179122,0.12058489064099162,0.5891891891891892,1.0120127847108797,0.31891891891891894,0.5891891891891892
legacy_interval_step,10,coupled,V0,normalized,185,185,0.15111860949186187,0.1290644782229635,0.572972972972973,1.0055981718023783,0.32972972972972975,0.572972972972973
legacy_interval_step,10,coupled,V1,raw,185,185,0.1324324362095145,0.12058489064099162,0.5891891891891892,1.0120449922264247,0.31891891891891894,0.5891891891891892
legacy_interval_step,10,coupled,V1,normalized,185,185,0.1510845092697283,0.12915924339486753,0.572972972972973,1.0056176751246018,0.32972972972972975,0.572972972972973
legacy_interval_step,10,coupled,V2,raw,185,185,0.13243242572891634,0.12058489064099162,0.5891891891891892,1.0120450242006553,0.31891891891891894,0.5891891891891892
legacy_interval_step,10,coupled,V2,normalized,185,185,0.1510844951166299,0.12915924339486753,0.572972972972973,1.0056176916963335,0.32972972972972975,0.572972972972973
legacy_interval_step,10,coupled,V3,raw,185,185,0.14064227203426094,0.08540805883021872,0.5243243243243243,1.0187351666897673,0.2864864864864865,0.5243243243243243
legacy_interval_step,10,coupled,V3,normalized,185,185,0.16123351901959854,0.10390432508244571,0.5405405405405406,1.0094802069379831,0.25405405405405407,0.5405405405405406
legacy_interval_step,10,easy,V0,raw,815,790,0.11530451884825604,0.14493027971265274,0.5962025316455696,1.0309672026205456,0.27361963190184047,0.5779141104294478
legacy_interval_step,10,easy,V0,normalized,815,790,0.11013026934022095,0.1425124360320149,0.5126582278481012,1.0338323530041194,0.26134969325153373,0.49693251533742333
legacy_interval_step,10,easy,V1,raw,815,790,0.11527285601280915,0.14489466777111293,0.5962025316455696,1.0309742053246413,0.27361963190184047,0.5779141104294478
