group,quantity,n,mean,std,min,max,p01,p05,p25,p50,p75,p95,p99,std_v_over_g,mean_abs_v_over_g
train,MC_return,36000,337.5153754878892,109.07743540259646,-21.94921169570155,796.4041965719523,72.33520534218978,162.56984613162442,266.0168296723578,334.77632340348737,407.7011053543248,521.1807985884182,602.7507444187811,1.7060205784129709e-06,0.12692103928721132
train,PPO_V,36000,42.841487743059794,0.0001860883042048003,42.84083938598633,42.841957092285156,42.84098434448242,42.841156005859375,42.841365814208984,42.84150314331055,42.84162521362305,42.84176254272461,42.84184265136719,1.7060205784129709e-06,0.12692103928721132
validation,MC_return,12000,350.2481171564442,109.26303011580089,-13.625911088634233,796.3016374426993,89.64745354461026,177.2196269254362,276.3883200656104,348.2627469097398,422.33575528102915,530.4124596633029,618.5276666732352,1.714432042314224e-06,0.12231344691708261
validation,PPO_V,12000,42.841489380518595,0.00018731806846674062,42.84083938598633,42.84195327758789,42.84098434448242,42.84115982055664,42.841365814208984,42.84150314331055,42.84162902832031,42.84176254272461,42.84184646606445,1.714432042314224e-06,0.12231344691708261
test,MC_return,12000,342.0219529236573,109.07624360043513,-16.83853872699103,759.6640786272174,91.21509224016337,172.03717328522916,269.5406471815585,336.39432769447467,411.40579016967956,528.9566478730895,620.8937514936778,1.711888468515877e-06,0.12525598675994226
test,PPO_V,12000,42.84148863633474,0.00018672485559588956,42.84083938598633,42.84194564819336,42.84098434448242,42.84115982055664,42.841365814208984,42.84150314331055,42.84162521362305,42.84176254272461,42.84183883666992,1.711888468515877e-06,0.12525598675994226
early_position,MC_return,20100,382.6809357102707,106.48787719421055,85.44267202915123,796.4041965719523,167.13741561040098,218.412410755009,306.00593340242756,376.5845747848727,452.25508759277227,568.1577858761353,650.9850195314207,1.716162795248214e-06,0.11195080364780036
early_position,PPO_V,20100,42.841439955412454,0.00018274297430068433,42.84092330932617,42.841915130615234,42.84095764160156,42.84110641479492,42.841312408447266,42.84146499633789,42.84157180786133,42.84170913696289,42.8417854309082,1.716162795248214e-06,0.11195080364780036
middle_position,MC_return,20100,317.0544618343282,94.39403625585473,15.234348280095231,679.9620301141911,119.3763881047427,170.86019568071606,251.1802412158709,312.0854004160889,377.7462685832931,481.80077815979945,560.3265117847877,1.8433639320497687e-06,0.13512360318925073
middle_position,PPO_V,20100,42.84154284311171,0.00017399562853682765,42.84103012084961,42.84195327758789,42.84111404418945,42.84122085571289,42.8414306640625,42.8415641784668,42.841670989990234,42.841796875,42.84186553955078,1.8433639320497687e-06,0.13512360318925073
late_position,MC_return,19800,322.88448827670663,113.67743707190223,-21.94921169570155,788.809102515244,39.458599715478385,113.5712787723974,253.7267465927266,329.64513263881554,398.9878151105425,500.4469979888447,574.7774813885254,1.6526778422605005e-06,0.13265664707381555
late_position,PPO_V,19800,42.84148185363924,0.0001878591128322159,42.84083938598633,42.841957092285156,42.84098434448242,42.84115200042724,42.841365814208984,42.841495513916016,42.841617584228516,42.841758728027344,42.84184265136719,1.6526778422605005e-06,0.13265664707381555
all,MC_return,60000,340.9632393087537,109.22700264681558,-21.94921169570155,796.4041965719523,80.52146101723791,167.48775935066305,269.0318185808055,337.7023153470787,411.5344780365557,524.9056891383598,609.7467022388878,1.7071214555738677e-06,0.12564042255327917
all,PPO_V,60000,42.84148824920654,0.00018646340104463613,42.84083938598633,42.841957092285156,42.84098434448242,42.841156005859375,42.841365814208984,42.84150314331055,42.84162521362305,42.84176254272461,42.84184265136719,1.7071214555738677e-06,0.12564042255327917
