state_id,episode,task_id,dataset_index,load,requirement,safe_set_bin,safe_set_size,effective_set_size,lens,horizon,coupling,reference_advantage,frozen_centered_advantage,V0,V0_normalized,V1,V1_normalized,V2,V2_normalized,V3,V3_normalized
ep001_task001,1,1,0,low,0.99,16-28,28,28,production_smdp,5,easy,8.697067729092282,0.06137469410896301,357.3488464355469,1.7684149742126465,356.866455078125,1.7681294679641724,356.866455078125,1.7681300640106201,87.88461303710938,1.1947705745697021
ep001_task001,1,1,0,low,0.99,16-28,28,28,production_smdp,10,easy,8.697067729092339,0.06137469410896301,357.3488464355469,1.7684149742126465,356.866455078125,1.7681294679641724,356.866455078125,1.7681300640106201,87.88461303710938,1.1947705745697021
ep001_task001,1,1,0,low,0.99,16-28,28,28,production_smdp,20,easy,8.697067729092339,0.06137469410896301,357.3488464355469,1.7684149742126465,356.866455078125,1.7681294679641724,356.866455078125,1.7681300640106201,87.88461303710938,1.1947705745697021
ep001_task001,1,1,0,low,0.99,16-28,28,28,production_smdp,50,easy,8.697067729092282,0.06137469410896301,357.3488464355469,1.7684149742126465,356.866455078125,1.7681294679641724,356.866455078125,1.7681300640106201,87.88461303710938,1.1947705745697021
ep001_task001,1,1,0,low,0.99,16-28,28,28,legacy_interval_step,5,easy,8.697067729092282,0.06137469410896301,357.3488464355469,1.7684149742126465,356.866455078125,1.7681294679641724,356.866455078125,1.7681300640106201,87.88461303710938,1.1947705745697021
ep001_task001,1,1,0,low,0.99,16-28,28,28,legacy_interval_step,10,easy,8.697067729092396,0.06137469410896301,357.3488464355469,1.7684149742126465,356.866455078125,1.7681294679641724,356.866455078125,1.7681300640106201,87.88461303710938,1.1947705745697021
ep001_task001,1,1,0,low,0.99,16-28,28,28,legacy_interval_step,20,easy,8.697067729092282,0.06137469410896301,357.3488464355469,1.7684149742126465,356.866455078125,1.7681294679641724,356.866455078125,1.7681300640106201,87.88461303710938,1.1947705745697021
ep001_task001,1,1,0,low,0.99,16-28,28,28,legacy_interval_step,50,easy,8.697067729092282,0.06137469410896301,357.3488464355469,1.7684149742126465,356.866455078125,1.7681294679641724,356.866455078125,1.7681300640106201,87.88461303710938,1.1947705745697021
ep001_task013,1,13,12,low,0.999,16-28,25,25,production_smdp,5,easy,6.861656860475648,0.057458460330963135,416.28521728515625,2.6398544311523438,415.8092041015625,2.6393628120422363,415.8091735839844,2.6393630504608154,155.85887145996094,2.119241237640381
ep001_task013,1,13,12,low,0.999,16-28,25,25,production_smdp,10,easy,6.861656860475762,0.057458460330963135,416.28521728515625,2.6398544311523438,415.8092041015625,2.6393628120422363,415.8091735839844,2.6393630504608154,155.85887145996094,2.119241237640381
ep001_task013,1,13,12,low,0.999,16-28,25,25,production_smdp,20,easy,6.861656860475705,0.057458460330963135,416.28521728515625,2.6398544311523438,415.8092041015625,2.6393628120422363,415.8091735839844,2.6393630504608154,155.85887145996094,2.119241237640381
ep001_task013,1,13,12,low,0.999,16-28,25,25,production_smdp,50,easy,6.861656860475819,0.057458460330963135,416.28521728515625,2.6398544311523438,415.8092041015625,2.6393628120422363,415.8091735839844,2.6393630504608154,155.85887145996094,2.119241237640381
ep001_task013,1,13,12,low,0.999,16-28,25,25,legacy_interval_step,5,easy,7.1348695163281945,0.057458460330963135,416.28521728515625,2.6398544311523438,415.8092041015625,2.6393628120422363,415.8091735839844,2.6393630504608154,155.85887145996094,2.119241237640381
ep001_task013,1,13,12,low,0.999,16-28,25,25,legacy_interval_step,10,easy,7.134869516328251,0.057458460330963135,416.28521728515625,2.6398544311523438,415.8092041015625,2.6393628120422363,415.8091735839844,2.6393630504608154,155.85887145996094,2.119241237640381
ep001_task013,1,13,12,low,0.999,16-28,25,25,legacy_interval_step,20,easy,7.1348695163281945,0.057458460330963135,416.28521728515625,2.6398544311523438,415.8092041015625,2.6393628120422363,415.8091735839844,2.6393630504608154,155.85887145996094,2.119241237640381
ep001_task013,1,13,12,low,0.999,16-28,25,25,legacy_interval_step,50,easy,7.1348695163281945,0.057458460330963135,416.28521728515625,2.6398544311523438,415.8092041015625,2.6393628120422363,415.8091735839844,2.6393630504608154,155.85887145996094,2.119241237640381
