trial_id,policy,first30_mean_episode_reward,last30_mean_episode_reward,final_episode_reward,first30_masked_entropy,last30_masked_entropy,first30_pair_hhi,last30_pair_hhi,final30_top1_frequency,mean_safe_set_size,empty_safe_set_rate,ratio_min,ratio_max,max_first_ratio_error
0,flat,9293.29614037456,11012.188070487851,9897.161500870152,,,,,,,,,,
0,pair,9331.029440854294,11153.494670079886,10371.144309832693,,,,,,,,,,
0,masked,12215.519345258948,12255.574972650425,10881.034398452455,2.863082779437303,2.706154152214528,0.05236499999999999,0.07402166666666662,0.1643333333333334,21.701366666666665,0.022466666666666666,0.9702301621437072,1.020058035850525,0.0
1,flat,9214.437211486038,10749.398986427608,8271.552472475705,,,,,,,,,,
1,pair,9041.234844179033,11463.673703761455,9290.739873023958,,,,,,,,,,
1,masked,11908.870442166837,12343.43179562604,11113.129581497924,2.8235630144774917,2.806448367317518,0.05379333333333333,0.06443666666666666,0.13483333333333336,21.63655,0.021133333333333334,0.9798468351364136,1.0153982639312744,0.0
2,flat,9386.588799885581,10965.569542126197,11022.694921634957,,,,,,,,,,
2,pair,9393.122616041026,11473.05073071918,11329.493094270729,,,,,,,,,,
2,masked,12038.331402434489,12457.36458650874,12520.487492091968,2.873895337512096,2.809504303644101,0.05293666666666667,0.06206833333333328,0.13166666666666668,21.89426666666667,0.01985,0.9813721179962158,1.0133658647537231,0.0
3,flat,9343.808401253746,10880.84554370777,12424.92566590835,,,,,,,,,,
3,pair,9265.681013522002,11155.284748990154,12673.307350499696,,,,,,,,,,
3,masked,12050.100413687846,12215.074879129323,12573.609857105952,2.857164441237847,2.7747580399513243,0.052891666666666656,0.062399999999999976,0.13600000000000004,21.669533333333334,0.02388333333333333,0.9845663905143738,1.010777235031128,0.0
4,flat,9265.883923435973,10705.148626151022,10108.925006424995,,,,,,,,,,
4,pair,9340.173458439896,11133.404084917955,10802.586769556605,,,,,,,,,,
4,masked,12202.799975403197,12323.623335722556,12686.337163473523,2.8982973755896086,2.695392881562312,0.05023,0.07345666666666664,0.1633333333333333,21.808799999999998,0.021633333333333334,0.9776703119277954,1.0147993564605713,0.0
5,flat,9220.618110293655,11391.837097541711,11638.356336444956,,,,,,,,,,
5,pair,9265.814829847473,11743.607644845635,11912.293302516604,,,,,,,,,,
5,masked,11949.317340890075,12387.964175499463,12633.284626047714,2.869367370446523,2.9159600381255144,0.05275833333333334,0.056853333333333304,0.113,21.720566666666667,0.025333333333333333,0.9830267429351808,1.0112152099609375,0.0
6,flat,9059.563924871602,10813.359742357232,11705.440581870527,,,,,,,,,,
6,pair,9105.207795190572,11321.246772392034,12345.1234483118,,,,,,,,,,
6,masked,12009.313385214287,12113.735408923936,12671.948837452475,2.832416864156723,2.8199204814632735,0.053893333333333335,0.06249499999999999,0.1396666666666667,21.717249999999996,0.019416666666666665,0.9842467308044434,1.011326551437378,0.0
7,flat,9243.161035121217,11055.96125746886,11653.061289522531,,,,,,,,,,
7,pair,9249.90746198049,11613.640409710271,12307.536755501003,,,,,,,,,,
7,masked,12030.175552406788,12163.566211687918,12504.523940737374,2.883000367254019,2.7999600514868894,0.051726666666666664,0.0695233333333333,0.15316666666666665,21.701199999999996,0.027083333333333334,0.9800771474838256,1.0197312831878662,0.0
8,flat,9337.767331532923,10879.598473425624,10523.072157549675,,,,,,,,,,
8,pair,9279.839117086132,11409.256951240386,11135.026791282697,,,,,,,,,,
8,masked,11942.787163172186,12341.65871381173,12064.00069439504,2.8497032742997015,2.7812114575306572,0.054903333333333325,0.06421999999999997,0.14350000000000002,21.788149999999998,0.024,0.9828088283538818,1.0139799118041992,0.0
9,flat,9073.931604097363,11035.097795572712,11805.078327015048,,,,,,,,,,
9,pair,9220.993658243158,11478.55084806994,12067.45450530274,,,,,,,,,,
9,masked,11930.011111078586,12363.127560925057,12790.063991200266,2.823796716401974,2.816853456676006,0.05667333333333332,0.06234666666666665,0.1343333333333333,21.70135,0.0211,0.98563951253891,1.015998125076294,0.0
