policy,n_seeds,mean_reward_mean,mean_reward_std,mean_latency_mean,mean_latency_std,p50_latency_mean,p50_latency_std,p90_latency_mean,p90_latency_std,p95_latency_mean,p95_latency_std,overall_rsr_mean,overall_rsr_std,highest_rsr_mean,highest_rsr_std,feasibility_rate_mean,feasibility_rate_std,conditional_rsr_mean,conditional_rsr_std,avoidable_violation_rate_mean,avoidable_violation_rate_std,unavoidable_violation_rate_mean,unavoidable_violation_rate_std,empty_safe_set_rate_mean,empty_safe_set_rate_std,pair_selection_hhi_mean,pair_selection_hhi_std,pair_selection_entropy_mean,pair_selection_entropy_std,top1_pair_frequency_mean,top1_pair_frequency_std,unique_selected_pairs_mean,unique_selected_pairs_std,pair_78_frequency_mean,pair_78_frequency_std,maximum_server_selection_share_mean,maximum_server_selection_share_std,maximum_server_utilization_mean,maximum_server_utilization_std,maximum_mean_queue_length_mean,maximum_mean_queue_length_std,maximum_p95_queue_length_mean,maximum_p95_queue_length_std,mean_server_queue_length_mean,mean_server_queue_length_std,mean_server_p95_queue_length_mean,mean_server_p95_queue_length_std,mean_server_waiting_time_mean,mean_server_waiting_time_std,conditional_rsr_scope,avoidable_violation_scope
Pair Greedy,10,46.056854350135076,2.1147314596741826,3.2516326855872792,0.2774994698248431,2.6499644454655384,0.08497636861244787,6.127706029576174,0.7359422062096368,7.7570879608322105,1.269568150062743,0.9536749999999999,0.016221577707896787,0.8185,0.0621096700289988,0.9727250000000002,0.011571306706197399,0.9803835819608467,0.008555452263526284,0.019049999999999997,0.008214823998926169,0.027275,0.011571306706197399,0.027275,0.011571306706197399,0.9783192250000001,0.036061567818916784,0.05098521215203149,0.07242829938388853,0.9887,0.019204238536786045,1.8,0.4216370213557839,0.9887,0.019204238536786045,0.5,0.0,0.7133794028740944,0.018324090351297482,1.1475328554283983,0.2174938175187004,5.1,0.9944289260117531,0.24019681111747831,0.03989046524261835,1.0625,0.19764235376052372,0.5119793095875592,0.07823653040679225,post-hoc diagnostic,post-hoc diagnostic
Pair Stochastic,10,57.09732513117022,1.4561954645500215,1.9941562875757473,0.018280164454661168,1.9474667602486329,0.015693423552218998,3.092571800281492,0.03952169218318463,3.562616525915483,0.06103978154632406,0.8972000000000001,0.022490059532553,0.6333,0.06775290071691069,0.9727250000000002,0.011571306706197399,0.9222596212045,0.014810706125733175,0.07552500000000001,0.013738353653590052,0.027275,0.011571306706197399,0.027275,0.011571306706197399,0.13519961249999998,0.013383565554031652,2.3660142749127386,0.09090145908718672,0.24537499999999998,0.028012955831979675,27.9,0.31622776601683794,0.24537499999999998,0.028012955831979675,0.29067499999999996,0.011544629583586572,0.4094650865615218,0.022789154720461127,0.16793930731158677,0.030006489327554543,1.0,0.0,0.05311842279097116,0.004071929663837331,0.375,0.0,0.25743359048732,0.015110049070738256,post-hoc diagnostic,post-hoc diagnostic
Masked Greedy,10,50.67390004133573,3.6441568032215144,2.9137788172771835,0.4070171827602479,2.46606544010172,0.1814791005287525,5.312380539282583,1.0424173391606408,6.6945222884179785,1.6052765909140525,0.9727250000000002,0.011571306706197399,0.8916000000000001,0.045901343480701455,0.9727250000000002,0.011571306706197399,1.0,0.0,0.0,0.0,0.027275,0.011571306706197399,0.027275,0.011571306706197399,0.831873425,0.12422362203062241,0.39457121978621995,0.2264415472322655,0.9055500000000001,0.07826520086645575,6.9,0.9944289260117531,0.9055500000000001,0.07826520086645575,0.4846875,0.01702156006200502,0.6769938756603386,0.021189426376893392,0.9265268116335102,0.2117872600907503,4.1,1.1005049346146119,0.19403230209947347,0.051820219000500226,0.875,0.25,0.480768266435188,0.1238004905078201,production mask diagnostics,production mask diagnostics
Masked Stochastic,10,61.42913172164136,0.6899483592260363,2.010706079515917,0.010219456981216634,1.9613402226959422,0.007878680058250258,3.1402459886186755,0.024373411840112855,3.6006077879924065,0.04705470940062578,0.9727250000000002,0.011571306706197399,0.8916000000000001,0.045901343480701455,0.9727250000000002,0.011571306706197399,1.0,0.0,0.0,0.0,0.027275,0.011571306706197399,0.027275,0.011571306706197399,0.055509012499999996,0.005578504448018529,3.081292463819079,0.0608076737155986,0.11335000000000002,0.017082804869874922,28.0,0.0,0.11307500000000001,0.01760407544355063,0.2146875,0.011540576061589529,0.30571957471387756,0.019587214010834717,0.08438866039516793,0.013594565647247626,1.0,0.0,0.040039915265062474,0.002201529699312134,0.25,0.05892556509887896,0.30054712596004296,0.013104506815180422,production mask diagnostics,production mask diagnostics
