comparison,metric,mean_delta,std_delta,ci95_low,ci95_high,ci_excludes_zero,bootstrap_samples,bootstrap_seed
masked_minus_pair,mean_reward,15.372277371506295,1.6375257683305289,14.344486101222792,16.23567790567829,True,20000,2043
masked_minus_pair,mean_latency,-1.240926606071363,0.27324776896142905,-1.392702548673437,-1.0738139553034975,True,20000,2043
masked_minus_pair,overall_rsr,0.01905000000000001,0.008214823998926198,0.014375000000000004,0.024000624999999987,True,20000,2043
masked_minus_pair,highest_rsr,0.07309999999999998,0.031160694614993555,0.055400000000000005,0.09169999999999999,True,20000,2043
masked_minus_pair,pair_selection_hhi,-0.9228102125000002,0.03724659867618276,-0.9403000865625,-0.8976011856250004,True,20000,2043
masked_minus_pair,pair_selection_entropy,3.0303072516670477,0.10086201680466837,2.9681489099294036,3.0869791507566084,True,20000,2043
masked_minus_pair,top1_pair_frequency,-0.8753500000000001,0.029036423486526186,-0.891225,-0.8571249999999999,True,20000,2043
masked_minus_pair,maximum_server_selection_share,-0.2853125,0.011540576061589541,-0.2923875,-0.278875,True,20000,2043
masked_minus_pair,maximum_server_utilization,-0.4076598281602169,0.02219113788410386,-0.42043088936714146,-0.39464458434621114,True,20000,2043
masked_minus_pair,maximum_mean_queue_length,-1.0631441950332303,0.2123841375197288,-1.1795058102638398,-0.9328567575507348,True,20000,2043
masked_minus_pair,maximum_p95_queue_length,-4.1,0.9944289260117531,-4.6,-3.5,True,20000,2043
masked_minus_pair,mean_server_queue_length,-0.2001568958524158,0.03894547298762736,-0.22202804289978625,-0.17657984933237814,True,20000,2043
masked_minus_pair,mean_server_p95_queue_length,-0.8125,0.1886538570445295,-0.9125,-0.7,True,20000,2043
masked_minus_pair,avoidable_violation_rate,-0.019049999999999997,0.008214823998926169,-0.024000625,-0.014375000000000002,True,20000,2043
masked_minus_pair,conditional_rsr,0.019616418039153295,0.008555452263526329,0.014769305623651264,0.024805879645163932,True,20000,2043
stochastic_minus_greedy,mean_reward,10.755231680305647,3.6847241387160516,8.27067164920182,12.666712650341445,True,20000,2043
stochastic_minus_greedy,mean_latency,-0.9030727377612668,0.40069258755639264,-1.1264143113551635,-0.6507746415533651,True,20000,2043
stochastic_minus_greedy,overall_rsr,0.0,0.0,0.0,0.0,False,20000,2043
stochastic_minus_greedy,highest_rsr,0.0,0.0,0.0,0.0,False,20000,2043
stochastic_minus_greedy,pair_selection_hhi,-0.7763644125,0.12515631006189498,-0.8422339406249999,-0.6952923759375,True,20000,2043
stochastic_minus_greedy,pair_selection_entropy,2.686721244032859,0.24993649809944232,2.531894910283879,2.824153736065143,True,20000,2043
stochastic_minus_greedy,top1_pair_frequency,-0.7922,0.08250461266566317,-0.8359,-0.7391250000000001,True,20000,2043
stochastic_minus_greedy,maximum_server_selection_share,-0.26999999999999996,0.02339352355769528,-0.28226249999999997,-0.2549871875,True,20000,2043
stochastic_minus_greedy,maximum_server_utilization,-0.3712743009464609,0.03522787959646776,-0.39068574936600264,-0.3494052680344973,True,20000,2043
stochastic_minus_greedy,maximum_mean_queue_length,-0.8421381512383423,0.21785690338169222,-0.9594466710163859,-0.7030566918348169,True,20000,2043
stochastic_minus_greedy,maximum_p95_queue_length,-3.1,1.1005049346146119,-3.7,-2.4,True,20000,2043
stochastic_minus_greedy,mean_server_queue_length,-0.15399238683441102,0.05178185969388498,-0.18256012363795565,-0.1214358883691246,True,20000,2043
stochastic_minus_greedy,mean_server_p95_queue_length,-0.625,0.2429563289518875,-0.7625,-0.475,True,20000,2043
stochastic_minus_greedy,avoidable_violation_rate,0.0,0.0,0.0,0.0,False,20000,2043
stochastic_minus_greedy,conditional_rsr,0.0,0.0,0.0,0.0,False,20000,2043
