trial_id,policy,R_req,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy
0,Masked Greedy,0.9,1000,49.28685462733351,3.194093143842016,2.606950741335794,6.300994928934651,8.663818697007086,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.988,0.911182,0.2182752696065748,0.954,3.0,0.954,3.1412958636283874
0,Masked Greedy,0.99,1000,55.95794906943031,2.7792691598895947,2.395913752676812,5.190427105778362,6.899351195062182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.06,0.954806,0.1248899961256987,0.977,3.0,0.977,3.1073189220428468
0,Masked Greedy,0.999,1000,53.55355649854418,2.881167215993581,2.3143018368022865,5.217978424977346,7.049157802475534,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.087,0.8870759999999999,0.274560448805546,0.941,4.0,0.941,2.8034263039827345
0,Masked Greedy,0.9999,1000,37.717260814497685,3.3541197865050894,2.6875068702824443,6.407118301115148,9.243391737629864,0.827,0.827,1.0,0.0,0.173,0.173,0.0001094956286553,0.0003577416544684,0.0,173.0,7.551,0.5285259999999999,1.0839034910396292,0.715,8.0,0.715,1.4031433652043344
0,Masked Stochastic,0.9,1000,59.98745152688237,2.1387061719369984,2.123581182753924,3.2875794122657567,3.6437509930700256,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.988,0.05472,3.094737072242661,0.104,28.0,0.104,3.1301211915016176
0,Masked Stochastic,0.99,1000,65.71318946263442,1.941200844106986,1.83896395638655,3.1786129683279456,3.6866596231160007,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.06,0.053564,3.09217294420288,0.094,28.0,0.09,3.097729892730713
0,Masked Stochastic,0.999,1000,65.88153350827247,1.8952691263504635,1.813454493549841,2.971248860538936,3.268941277183007,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.087,0.064978,2.950047498097158,0.121,28.0,0.121,2.795310889363289
0,Masked Stochastic,0.9999,1000,50.63261277470491,2.110516466525198,2.000224714597188,3.261913497637724,3.849661292366184,0.827,0.827,1.0,0.0,0.173,0.173,0.0001094956286553,0.0003577416544684,0.0,173.0,7.551,0.120138,2.4370190859222864,0.228,24.0,0.228,1.3996422525644303
0,Pair Greedy,0.9,1000,45.672092403873705,3.481936446192435,2.721463263875364,6.957907823335825,9.1074791486066,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.988,0.996008,0.0144272148621761,0.998,2.0,0.998,2.5472135190963745
0,Pair Greedy,0.99,1000,53.57168886963811,3.009807732910934,2.4572309892764395,5.909734078528341,7.799067456327589,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.06,0.998002,0.007907255112232,0.999,2.0,0.999,2.5268569407463075
0,Pair Greedy,0.999,1000,48.85160948843522,3.189467333844203,2.584068184767858,5.9676269518399225,7.969283931467019,0.989,1.0,0.989,0.011,0.0,0.0,0.0,0.0,11.0,0.0,21.087,0.996008,0.0144272148621761,0.998,2.0,0.998,2.5156385962963106
0,Pair Greedy,0.9999,1000,27.44161617353314,3.7531960388069248,2.9499416114390486,7.531130946462932,9.776574616127176,0.702,0.827,0.848851269649335,0.125,0.173,0.173,0.0001094956286553,0.0003577416544684,125.0,173.0,7.551,1.0,-0.0,1.0,1.0,1.0,2.509335024118424
1,Masked Greedy,0.9,1000,58.0635597609744,2.25055688919096,2.132191991874663,3.594463736692205,4.088651167543237,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.974,0.6030639999999999,0.7461620916330978,0.758,4.0,0.758,3.2114299149513243
1,Masked Greedy,0.99,1000,63.343967021713226,2.063863983288218,1.959041609535589,3.43747025104548,3.864050582512879,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42,0.584614,0.7897138043476329,0.745,5.0,0.745,3.1953155992031097
1,Masked Greedy,0.999,1000,61.52275941703512,2.1236222111756957,2.004565239766263,3.4845735826202917,3.970613589959618,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.082,0.566614,0.8100643943460429,0.73,4.0,0.73,2.9708184353113176
1,Masked Greedy,0.9999,1000,49.23251532494941,2.446106008773916,2.27453061733069,3.9203952335099537,4.802848722775545,0.897,0.897,1.0,0.0,0.103,0.103,6.156324910821297e-05,0.0002142370781997,0.0,103.0,8.883,0.554074,0.9269593997542408,0.729,5.0,0.729,1.7477716346383094
1,Masked Stochastic,0.9,1000,59.83235896113335,2.1447787604855195,2.1321919918746346,3.3530892460317148,3.6845911935722735,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.974,0.043724,3.214758839458812,0.074,28.0,0.074,3.1974831120967866
1,Masked Stochastic,0.99,1000,65.89354700773146,1.919551898687316,1.7746647179223984,3.151221352930236,3.591780499791045,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42,0.047264,3.1584982400857733,0.085,28.0,0.085,3.181489274263382
