trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_queue_length,mean_server_p95_queue_length,mean_server_waiting_time,highest_rsr
0,flat,4000,43.883124074415534,3.3586281814980268,2.645571880194126,6.547175857134917,8.777642250642627,0.92275,0.95675,0.9644630258688267,0.034,0.04325,0.04325,0.00010949562865539973,0.0003577416544684,136,173,20.9215,1.0,-0.0,1.0,1,1.0,2.5948536543846132,0.5,0.7194125085448515,1.2549119059060458,6.0,0.257046156501654,1.25,0.5258266374648161,0.702
0,masked_greedy,4000,49.128905252451425,3.05216232655757,2.4764830640453965,5.79382451689032,8.030350432505378,0.95675,0.95675,1.0,0.0,0.04325,0.04325,0.00010949562865539973,0.0003577416544684,0,173,20.9215,0.8066202500000001,0.4996934367588441,0.89675,8,0.89675,2.6137961137145758,0.475875,0.672073517399906,0.9760474721156958,5.0,0.20958076068768208,1.125,0.5617396962936135,0.827
0,masked_stochastic,4000,60.55369681812354,2.0214231522299113,1.9650437059567167,3.171451280879728,3.684334382344083,0.95675,0.95675,1.0,0.0,0.04325,0.04325,0.00010949562865539973,0.0003577416544684,0,173,20.9215,0.06717762500000002,2.9541763740238665,0.13575,28,0.13575,2.6057010565400125,0.22575,0.3314381275895553,0.0992695746722853,1.0,0.044742571672109516,0.375,0.2997010155472162,0.827
0,pair,4000,43.88425173387005,3.3586018879386237,2.645571880194126,6.547175857134917,8.777642250642627,0.92275,0.95675,0.9644630258688267,0.034,0.04325,0.04325,0.00010949562865539973,0.0003577416544684,136,173,20.9215,0.9975031250000002,0.009604983083860446,0.99875,2,0.99875,2.524761020064354,0.5,0.718529877116852,1.2436702724320974,6.0,0.255670845201998,1.25,0.5722704151439088,0.702
1,flat,4000,43.37825910957717,3.2152728095408056,2.721463263875364,5.9839327454238145,7.075190606453158,0.93475,0.97425,0.9594559917885553,0.0395,0.02575,0.02575,6.156324910821297e-05,0.00021423707819970977,158,103,21.58975,1.0,-0.0,1.0,1,0.0,2.8447385244965555,0.5,0.7794719073588804,1.6700753928847667,7.0,0.3006725715153856,1.25,0.6010718391325849,0.761
1,masked_greedy,4000,58.040700381168044,2.2210372731071972,2.111807492456137,3.594463736692205,4.224510517024239,0.97425,0.97425,1.0,0.0,0.02575,0.02575,6.156324910821297e-05,0.00021423707819970977,0,103,21.58975,0.5758485000000001,0.8384476539838488,0.7405,5,0.7405,2.781333896026015,0.4395,0.649112561569038,0.4750600602824369,2.0,0.09695790947508606,0.5,0.26245696515041395,0.897
1,masked_stochastic,4000,61.77776491377687,1.9947217306645166,1.9488527919060346,3.120254550879394,3.5824872743383978,0.97425,0.97425,1.0,0.0,0.02575,0.02575,6.156324910821297e-05,0.00021423707819970977,0,103,21.58975,0.055426500000000004,3.0737326331095356,0.11525,28,0.11525,2.769447406888008,0.22325,0.3383188257219316,0.1097602417139122,1.0,0.04028768868730915,0.25,0.2880461308569502,0.897
1,pair,4000,45.67907095201555,3.180592873812705,2.71225036023111,5.943588697858459,7.030740247293527,0.9615,0.97425,0.9869130100076983,0.01275,0.02575,0.02575,6.156324910821297e-05,0.00021423707819970977,51,103,21.58975,0.9970045000000001,0.011252309693388649,0.9985,2,0.9985,2.40895849865675,0.5,0.7369950170089142,1.185888293208876,5.0,0.24043081949565664,1.0,0.47961864483955796,0.85
2,flat,4000,44.31449508911502,3.393435533738289,2.7063617256391908,6.405739882027879,8.223843841668506,0.94175,0.9575,0.9835509138381201,0.01575,0.0425,0.0425,9.781897016790129e-05,0.0003645157081459,63,170,20.92725,1.0,-0.0,1.0,1,1.0,2.788905923485756,0.5,0.7223121206672853,1.2345557140107115,5.0,0.2568027688556015,1.125,0.5232198990145102,0.767
2,masked_greedy,4000,56.39633798515851,2.2675640333754954,2.1579105566468684,3.6430692232907402,4.316318763076306,0.9575,0.9575,1.0,0.0,0.0425,0.0425,9.781897016790129e-05,0.0003645157081459,0,170,20.92725,0.650079875,0.7059484773595841,0.7905,8,0.7905,2.724638095125556,0.49,0.6371239880015996,0.6790027361211805,3.0,0.1172006324037488,0.5,0.3663280174443406,0.83
2,masked_stochastic,4000,60.59948446595163,2.004543715790942,1.964890229284464,3.117584101477882,3.511721600659995,0.9575,0.9575,1.0,0.0,0.0425,0.0425,9.781897016790129e-05,0.0003645157081459,0,170,20.92725,0.05409525,3.090167051506724,0.115,28,0.115,2.716049152761698,0.226375,0.3116339550914631,0.08555490981709,1.0,0.04002160999931428,0.25,0.31108304678668997,0.83
2,pair,4000,44.43711981463061,3.3824581942692467,2.694410539289237,6.399622570819094,8.223843841668506,0.94175,0.9575,0.9835509138381201,0.01575,0.0425,0.0425,9.781897016790129e-05,0.0003645157081459,63,170,20.92725,0.9900500000000001,0.03147906594716675,0.995,2,0.995,2.482875165462494,0.5,0.7185833104558376,1.1978441909170727,5.0,0.2522404775846913,1.125,0.5262624010573317,0.767
3,flat,4000,44.64474204825938,3.415996606997044,2.692147927200063,6.443569958910216,8.441959254874527,0.94175,0.9655,0.9754013464526152,0.02375,0.0345,0.0345,6.930862004996635e-05,0.00017599408874026,95,138,21.56875,1.0,-0.0,1.0,1,1.0,2.4177136325836184,0.5,0.725805847616438,1.3200684482463307,6.0,0.26955408689906835,1.25,0.5465563082136633,0.767
3,masked_greedy,4000,48.82027924479221,3.0918428503278066,2.537500661851162,5.613772516914562,7.226252424979608,0.9655,0.9655,1.0,0.0,0.0345,0.0345,6.930862004996635e-05,0.00017599408874026,0,138,21.56875,0.859061625,0.39022332088433664,0.92625,8,0.92625,2.795994058921933,0.483,0.6836964247917398,0.9925341892435005,4.0,0.21430820672535833,0.875,0.5277840595746462,0.862
