trial_id,episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi,top1_pair_frequency,pair_selection_entropy
0,1,200,61.62771409953974,2.0659026048315328,23.195,0.0,1.0,1.0,1.0,0,0,3.048072269558906,0.04,0.04475,0.08,3.205318717448156
0,2,200,62.02295522371255,2.027089680708927,24.735,0.0,1.0,1.0,1.0,0,0,3.1598137336969376,0.055,0.0444,0.075,3.207331696682406
0,3,200,62.88290020068605,2.007133846717486,19.335,0.0,1.0,1.0,1.0,0,0,2.7717767375707627,0.055,0.0578,0.12,3.0691571789683074
0,4,200,56.63952851435735,2.0539203967146302,20.99,0.09,0.91,1.0,0.91,0,18,2.731795542240143,0.165,0.0583,0.165,3.1043458249610367
0,5,200,60.78791730679879,2.0848055108672945,23.09,0.005,0.995,1.0,0.995,0,1,2.969546166956425,0.07,0.0465,0.1,3.1945783521603546
0,6,200,61.61497783428656,2.0589328090985948,22.42,0.005,0.995,1.0,0.995,0,1,2.9300041460990904,0.07,0.04305,0.075,3.231539675725773
0,7,200,61.47060760879156,2.108560061153506,18.955,0.0,1.0,1.0,1.0,0,0,2.65153876811266,0.075,0.05375,0.12,3.109877008811389
0,8,200,62.259799513016524,2.0090505805856465,20.61,0.0,1.0,1.0,1.0,0,0,2.787431111633777,0.115,0.0523,0.115,3.1412214553291804
0,9,200,61.66514352854752,2.024784754898045,19.78,0.005,0.995,1.0,0.995,0,1,2.6516674414277075,0.08,0.06345,0.175,3.0630837598212013
0,10,200,57.54769826316576,2.05247550233906,18.795,0.075,0.925,1.0,0.925,0,15,2.5282933849096296,0.02,0.0832,0.22,2.932186909075178
0,11,200,61.86420044570965,2.0642739889355983,23.32,0.0,1.0,1.0,1.0,0,0,3.057020948529244,0.025,0.0422,0.07,3.244947895941664
0,12,200,62.156836347394616,2.088973851616526,22.265,0.0,1.0,1.0,1.0,0,0,2.9669552528858185,0.09,0.04655,0.1,3.205168594956207
0,13,200,61.46989611213603,2.070775239383932,21.59,0.0,1.0,1.0,1.0,0,0,2.9267294242978097,0.07,0.053,0.1,3.116943364057257
0,14,200,63.241527490378665,2.013035430305463,21.795,0.0,1.0,1.0,1.0,0,0,2.922395928800106,0.085,0.04765,0.1,3.191859432563061
0,15,200,61.32881578649611,2.0549574841019647,21.685,0.005,0.995,1.0,0.995,0,1,2.847032715380192,0.105,0.0502,0.105,3.1658265211181167
0,16,200,54.44918638262008,2.04584139898422,19.63,0.125,0.875,1.0,0.875,0,25,2.565814069509506,0.18,0.0638,0.18,3.074958824700507
0,17,200,62.204830808583736,2.0525067593371324,24.21,0.0,1.0,1.0,1.0,0,0,3.129665420651436,0.075,0.04535,0.075,3.19568935877639
0,18,200,61.63997146732831,2.052752539798197,23.245,0.0,1.0,1.0,1.0,0,0,3.0505199891328814,0.055,0.0418,0.06,3.240597984845549
0,19,200,62.01985469854927,2.0654584323124645,19.265,0.005,0.995,1.0,0.995,0,1,2.571510852277279,0.185,0.06695,0.185,3.039949130045563
0,20,200,61.67691400704565,2.0054903017387007,19.99,0.02,0.98,1.0,0.98,0,4,2.728163939714432,0.105,0.04875,0.105,3.157833382049759
0,21,200,62.26767659004827,1.994975701673894,20.9,0.005,0.995,1.0,0.995,0,1,2.816632858812809,0.115,0.05995,0.13,3.060885703723915
0,22,200,60.78865870808721,2.115076340497489,20.725,0.0,1.0,1.0,1.0,0,0,2.8619589412212374,0.09,0.04865,0.09,3.143941188325534
0,23,200,61.75672301377416,2.03341208745338,20.99,0.0,1.0,1.0,1.0,0,0,2.864494577646256,0.07,0.047,0.105,3.177508284561549
0,24,200,61.415642054400784,2.0889579272451506,23.93,0.0,1.0,1.0,1.0,0,0,3.119044999480248,0.05,0.04165,0.065,3.24310665662468
0,25,200,59.26115419788133,2.0272780344529804,16.915,0.06,0.94,1.0,0.94,0,12,2.398450045585632,0.08,0.0769499999999999,0.205,2.9376255041640538
0,26,200,61.43939882129864,2.086576878574123,21.355,0.0,1.0,1.0,1.0,0,0,2.845854844748974,0.04,0.0471,0.09,3.1831763986710704
0,27,200,60.49758596608572,2.1550056391639174,25.555,0.0,1.0,1.0,1.0,0,0,3.2192226850986483,0.075,0.04625,0.075,3.170218700009932
0,28,200,62.51854898765512,2.04054209391814,22.955,0.0,1.0,1.0,1.0,0,0,2.9844297266006468,0.055,0.05,0.11,3.1459062196985976
0,29,200,62.51457967876208,2.027535053582734,21.265,0.005,0.995,1.0,0.995,0,1,2.847288531959057,0.045,0.05085,0.095,3.0989424541103903
0,30,200,59.29665813170475,2.152480747566488,23.12,0.02,0.98,1.0,0.98,0,4,2.939358328580856,0.055,0.0488,0.11,3.17444850836981
0,31,200,62.27912220346995,2.0417061622714305,23.86,0.0,1.0,1.0,1.0,0,0,3.1033339822292327,0.03,0.0447,0.08,3.2086720993147546
0,32,200,60.81081239941805,2.1003873571044736,23.975,0.0,1.0,1.0,1.0,0,0,3.0997342431545256,0.03,0.0429,0.08,3.2343444883871846
0,33,200,62.42741657705855,2.0360719821058484,21.09,0.005,0.995,1.0,0.995,0,1,2.842406896352768,0.08,0.04415,0.08,3.216350128664363
0,34,200,62.06989782108665,2.0514131386026886,22.82,0.0,1.0,1.0,1.0,0,0,3.0113586950302125,0.065,0.04435,0.07,3.2086872383668066
0,35,200,59.61582550862955,2.1552845715386075,25.63,0.0,1.0,1.0,1.0,0,0,3.218857699632645,0.025,0.0418,0.08,3.258867071008
0,36,200,61.43785565049559,2.055867227869367,23.31,0.0,1.0,1.0,1.0,0,0,3.0438727742433547,0.075,0.0469,0.085,3.186755247854365
0,37,200,57.02499971878174,2.060906431685583,18.595,0.09,0.91,1.0,0.91,0,18,2.5451932081580164,0.215,0.0773999999999999,0.215,2.9667657056378838
0,38,200,52.3013140367782,2.093915349890916,16.91,0.165,0.835,1.0,0.835,0,33,2.303466294407845,0.065,0.09905,0.27,2.8620983605922805
0,39,200,62.36189409547003,2.020360781920885,20.075,0.0,1.0,1.0,1.0,0,0,2.7559812632203102,0.065,0.0547,0.115,3.077278772803117
0,40,200,56.21220738017773,2.0955809657152726,21.835,0.09,0.91,1.0,0.91,0,18,2.7837068063020705,0.025,0.05965,0.165,3.0982742901122244
0,41,200,60.69719636118068,2.1178005781433,21.44,0.0,1.0,1.0,1.0,0,0,2.897036828994751,0.045,0.04625,0.075,3.1844922344157807
0,42,200,61.23678585542704,2.0902148108200365,22.825,0.0,1.0,1.0,1.0,0,0,2.974366136789322,0.07,0.04325,0.075,3.2337805589863597
0,43,200,52.64553640449913,1.9982469792717028,17.28,0.165,0.835,1.0,0.835,0,33,2.387505207955837,0.24,0.08495,0.24,2.9321109078725964
0,44,200,61.100055572025305,2.065691260029796,23.375,0.0,1.0,1.0,1.0,0,0,3.0515741407871246,0.065,0.04195,0.065,3.2331940672244177
0,45,200,60.57010882389897,2.105622534807237,21.145,0.0,1.0,1.0,1.0,0,0,2.93082371622324,0.07,0.04655,0.08,3.179362454502783
0,46,200,50.95643179945275,2.039719363640057,18.915,0.18,0.82,1.0,0.82,0,36,2.4149627712368966,0.03,0.09215,0.26,2.9404341147509903
0,47,200,60.84642115950786,2.1045433969718768,20.565,0.0,1.0,1.0,1.0,0,0,2.808699504137039,0.065,0.0516,0.105,3.1328604876438444
0,48,200,49.28481006898626,2.093974510292208,18.56,0.195,0.805,1.0,0.805,0,39,2.388454618155956,0.055,0.09955,0.275,2.894845205057877
0,49,200,62.01563503703824,2.032561002299239,19.85,0.0,1.0,1.0,1.0,0,0,2.751048670709133,0.085,0.0504,0.09,3.1419025831270115
0,50,200,60.570648327064745,2.0581904640369144,18.81,0.03,0.97,1.0,0.97,0,6,2.612456515431404,0.16,0.0662,0.16,3.0244829496748133
0,51,200,62.05224399110462,2.0537220704748567,21.885,0.0,1.0,1.0,1.0,0,0,2.955700788497925,0.05,0.0436,0.08,3.2215337333398195
0,52,200,60.90376156484806,2.096308705621009,22.425,0.0,1.0,1.0,1.0,0,0,2.963259647190571,0.075,0.04615,0.09,3.199269406974018
