trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_queue_length,mean_server_p95_queue_length,mean_server_waiting_time,highest_rsr,posthoc_reliability_diagnostic,actor_sha256,action_rng_seed,mean_native_policy_entropy
0,Masked Greedy,4000,49.12890525245143,3.05216232655757,2.4764830640453965,5.79382451689032,8.030350432505378,0.95675,0.95675,1.0,0.0,0.04325,0.04325,0.0001094956286553,0.0003577416544684,0,173,20.9215,0.8066202500000001,0.4996934367588441,0.89675,8,0.89675,2.613796113714576,0.475875,0.672073517399906,0.9760474721156958,5.0,0.209580760687682,1.125,0.5617396962936135,0.827,False,,,
1,Masked Greedy,4000,58.04070038116805,2.221037273107197,2.111807492456137,3.594463736692205,4.224510517024239,0.97425,0.97425,1.0,0.0,0.02575,0.02575,6.156324910821297e-05,0.0002142370781997,0,103,21.58975,0.5758485000000001,0.8384476539838488,0.7405,5,0.7405,2.781333896026015,0.4395,0.649112561569038,0.4750600602824369,2.0,0.096957909475086,0.5,0.2624569651504139,0.897,False,,,
2,Masked Greedy,4000,56.39633798515851,2.2675640333754954,2.1579105566468684,3.64306922329074,4.316318763076306,0.9575,0.9575,1.0,0.0,0.0425,0.0425,9.781897016790127e-05,0.0003645157081459,0,170,20.92725,0.650079875,0.7059484773595841,0.7905,8,0.7905,2.724638095125556,0.49,0.6371239880015996,0.6790027361211805,3.0,0.1172006324037488,0.5,0.3663280174443406,0.83,False,,,
3,Masked Greedy,4000,48.82027924479221,3.0918428503278066,2.537500661851162,5.613772516914562,7.226252424979608,0.9655,0.9655,1.0,0.0,0.0345,0.0345,6.930862004996635e-05,0.0001759940887402,0,138,21.56875,0.859061625,0.3902233208843366,0.92625,8,0.92625,2.795994058921933,0.483,0.6836964247917398,0.9925341892435005,4.0,0.2143082067253583,0.875,0.5277840595746462,0.862,False,,,
4,Masked Greedy,4000,48.49068866765944,3.336297227459597,2.582051161416672,6.3279369680909445,8.29113416061918,0.983,0.983,1.0,0.0,0.017,0.017,4.805966977929202e-05,0.0001244851538345,0,68,22.13625,0.922094875,0.2029580725036636,0.95975,7,0.95975,2.8030209832638504,0.495625,0.6937747822172352,1.0788559650356586,5.0,0.2402218542507239,1.125,0.5221625796976657,0.932,False,,,
5,Masked Greedy,4000,49.38562314899693,2.935254821960031,2.501589059283347,5.456096986711827,6.739905847851451,0.9715,0.9715,1.0,0.0,0.0285,0.0285,9.430848271695178e-05,0.0002731586389505,0,114,21.52125,0.911237875,0.2481051003691721,0.95425,7,0.95425,2.778925481721759,0.495875,0.6739244923910687,0.8600009726307287,4.0,0.1883194248375256,0.875,0.456792771604893,0.886,False,,,
6,Masked Greedy,4000,48.276067368994106,3.063502484435724,2.618122112826569,5.802842720870264,6.985376349297526,0.97525,0.97525,1.0,0.0,0.02475,0.02475,8.054532128771008e-05,0.000286166300104,0,99,21.96725,0.95131775,0.1453503942493764,0.97525,6,0.97525,2.8637648039758203,0.4945,0.7021621420596774,1.020422527616647,4.0,0.2121374302645969,0.875,0.4640054538163048,0.901,False,,,
7,Masked Greedy,4000,51.44586265789733,2.6945000502708325,2.48851105912236,4.659704722873276,5.291447226507051,0.9875,0.9875,1.0,0.0,0.0125,0.0125,7.213634742484027e-05,0.0002134074089213,0,50,22.172,0.892870625,0.2801211408429895,0.94425,7,0.94425,2.810999631866813,0.489625,0.6941355954489776,0.9989779467190336,4.0,0.1878732831088475,0.75,0.4533539731145191,0.95,False,,,
8,Masked Greedy,4000,47.0812525831528,3.441707268543055,2.594959376653449,6.711418158249365,8.858146638104024,0.96625,0.96625,1.0,0.0,0.03375,0.03375,0.0002256416696448,0.0008466436868869,0,135,21.60325,0.837404,0.3921039489215235,0.91325,7,0.91325,2.767921904817224,0.491,0.6689861032904763,1.2248584200004913,6.0,0.2683898430732265,1.25,0.73490152089025,0.872,False,,,
9,Masked Greedy,4000,49.67328312308639,3.0339198367345257,2.5917198567152404,5.520675842242328,6.981780524215024,0.98975,0.98975,1.0,0.0,0.01025,0.01025,2.4312161578049636e-05,5.227407200802947e-05,0,41,22.111,0.912198875,0.2427606519888606,0.95475,6,0.95475,2.870052178621292,0.491875,0.6949491494336673,0.95950782656973,4.0,0.2053336761679393,0.875,0.4581576267652332,0.959,False,,,
