trial_id,policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
0,Pair Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
0,Pair Greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
0,Pair Greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
0,Pair Greedy,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
0,Pair Greedy,5,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
0,Pair Greedy,6,5,5,0,0.0009345509237642,0.0002391430767005,0.0,0.3913625524872827,7.647058823529448,8182.602605247395,5
0,Pair Greedy,7,3995,3995,0,0.718529877116852,1.2436702724320974,6.0,2.547299026601156,5879.444444444444,8182.602605247395,3995
0,Pair Greedy,8,4000,0,4000,0.6474712576903667,0.8014573461071862,4.0,1.639501742062832,5298.000000000003,8182.602605247395,4000
0,Masked Stochastic,1,280,280,0,0.0871747815903631,0.0035134723672617,0.0,0.1024291532044495,711.6,8162.911188511253,280
0,Masked Stochastic,2,429,416,13,0.113863121132898,0.0091678945605524,0.0,0.1744445433180072,929.4545454545456,8162.911188511253,429
0,Masked Stochastic,3,520,480,40,0.1434741404898543,0.0123700237143241,0.0,0.1941834711150124,1171.166666666667,8162.911188511253,520
0,Masked Stochastic,4,1060,890,170,0.2378265667755238,0.0538921292511851,0.0,0.4150157215445228,1941.357142857143,8162.911188511253,1060
0,Masked Stochastic,5,803,583,220,0.1759257982235349,0.0250444984540672,0.0,0.2545903071498857,1436.0666666666664,8162.911188511253,803
0,Masked Stochastic,6,1335,808,527,0.2488515303260266,0.062664961305502,1.0,0.3831674260436761,2031.35294117647,8162.911188511253,1335
0,Masked Stochastic,7,1806,543,1263,0.3314381275895553,0.0992695746722853,1.0,0.4486869998732842,2705.5000000000014,8162.911188511253,1806
0,Masked Stochastic,8,1767,0,1767,0.2975286566168,0.0920180190516983,1.0,0.4250905021288912,2428.7,8162.911188511253,1767
0,Masked Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8178.834064230826,0
0,Masked Greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8178.834064230826,0
0,Masked Greedy,3,23,23,0,0.0089764220780252,0.0004958117480304,0.0,0.1763113919233613,73.4166666666666,8178.834064230826,23
0,Masked Greedy,4,104,104,0,0.0304357038513877,0.0053679390829668,0.0,0.4221488752546646,248.92857142857125,8178.834064230826,104
0,Masked Greedy,5,53,53,0,0.017304830031008,0.0006606129062803,0.0,0.1019442139840761,141.53333333333345,8178.834064230826,53
0,Masked Greedy,6,233,233,0,0.0470151868524145,0.0057808102337228,0.0,0.202919689521143,384.5294117647056,8178.834064230826,233
0,Masked Greedy,7,3780,3587,193,0.672073517399906,0.9760474721156958,5.0,2.1118863262556182,5496.777777777779,8178.834064230826,3780
0,Masked Greedy,8,3807,0,3807,0.6110406398702256,0.6882934394147606,4.0,1.4787070734100454,4997.600000000001,8178.834064230826,3807
1,Pair Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
1,Pair Greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
1,Pair Greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
1,Pair Greedy,4,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
1,Pair Greedy,5,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
1,Pair Greedy,6,6,6,0,0.0015126591777125,0.0,0.0,0.0,12.058823529411768,7971.936908912254,6
1,Pair Greedy,7,3994,3994,0,0.7369950170089142,1.185888293208876,5.0,2.367007174381272,5875.277777777777,7971.936908912254,3994
1,Pair Greedy,8,4000,0,4000,0.6645812756090788,0.7375582627563774,3.0,1.469941984335192,5298.000000000002,7971.936908912254,4000
1,Masked Stochastic,1,455,455,0,0.1452883779466869,0.0133447822781341,0.0,0.2327749236772295,1153.1000000000006,7936.629318162852,455
1,Masked Stochastic,2,646,636,10,0.1840144583938572,0.0235497847649822,0.0,0.2893280374646791,1460.4545454545453,7936.629318162852,646
1,Masked Stochastic,3,585,514,71,0.1576130894514582,0.0154840454362699,0.0,0.2100703059372063,1250.9166666666674,7936.629318162852,585
1,Masked Stochastic,4,969,790,179,0.2227555931562399,0.042449014075353,0.0,0.3476801750645553,1767.9285714285704,7936.629318162852,969
1,Masked Stochastic,5,752,525,227,0.1666702509304287,0.0157707533171254,0.0,0.1664449775880473,1322.8,7936.629318162852,752
1,Masked Stochastic,6,1139,619,520,0.224172806775367,0.038579272439088,0.0,0.2688229892128691,1779.1764705882342,7936.629318162852,1139
1,Masked Stochastic,7,1786,461,1325,0.3383188257219316,0.1097602417139122,1.0,0.4877527168842537,2685.111111111112,7936.629318162852,1786
1,Masked Stochastic,8,1668,0,1668,0.2906901541590505,0.0633636154736084,1.0,0.3014949210267613,2307.0999999999995,7936.629318162852,1668
1,Masked Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7945.976766904334,0
1,Masked Greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,7945.976766904334,0
1,Masked Greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,7945.976766904334,0
1,Masked Greedy,4,930,930,0,0.2171269517766116,0.0353491588359024,0.0,0.3020253707953673,1725.2857142857135,7945.976766904334,930
1,Masked Greedy,5,0,0,0,0.0,0.0,0.0,0.0,0.0,7945.976766904334,0
1,Masked Greedy,6,108,108,0,0.026672765688586,0.0015768919985312,0.0,0.1160180294837637,211.941176470588,7945.976766904334,108
1,Masked Greedy,7,3516,2962,554,0.649112561569038,0.4750600602824369,2.0,1.0736109789216195,5157.833333333335,7945.976766904334,3516
1,Masked Greedy,8,3446,0,3446,0.574643009153789,0.2636771646838181,2.0,0.6080013420025613,4566.100000000001,7945.976766904334,3446
2,Pair Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8149.754791915241,0
2,Pair Greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8149.754791915241,0
2,Pair Greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8149.754791915241,0
2,Pair Greedy,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8149.754791915241,0
2,Pair Greedy,5,0,0,0,0.0,0.0,0.0,0.0,0.0,8149.754791915241,0
2,Pair Greedy,6,20,20,0,0.0039481519885917,0.0002131929263574,0.0,0.0868735036591971,32.17647058823531,8149.754791915241,20
2,Pair Greedy,7,3980,3980,0,0.7185833104558376,1.1978441909170727,5.0,2.45279809921966,5856.277777777779,8149.754791915241,3980
2,Pair Greedy,8,4000,0,4000,0.6500809086005567,0.8198664368341004,4.0,1.6704276055797964,5298.000000000001,8149.754791915241,4000
