metric,sampling_delta_without_mask_mean,sampling_delta_without_mask_std,sampling_delta_with_mask_mean,sampling_delta_with_mask_std,with_mask_minus_without_mask_descriptive,inferential_test_performed
mean_latency,-1.2574763980115327,0.27480848361224514,-0.9030727377612667,0.40069258755639287,0.35440366025026593,False
pair_selection_hhi,-0.8431196125,0.042350384523353136,-0.7763644125,0.12515631006189498,0.06675520000000001,False
top1_pair_frequency,-0.7433249999999999,0.03705702250136492,-0.7922,0.08250461266566317,-0.04887500000000011,False
maximum_mean_queue_length,-0.9795935481168115,0.21343507441869675,-0.8421381512383423,0.21785690338169222,0.1374553968784692,False
