policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
pair,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
pair,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
pair,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
pair,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
pair,5,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
pair,6,5,5,0,0.0009345509237642178,0.00023914307670050303,0.0,0.39136255248728274,7.6470588235294485,8182.602605247395,5
pair,7,3995,3995,0,0.718529877116852,1.2436702724320974,6.0,2.5472990266011553,5879.444444444444,8182.602605247395,3995
pair,8,4000,0,4000,0.6474712576903667,0.8014573461071862,4.0,1.639501742062832,5298.000000000003,8182.602605247395,4000
