state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,choice,action_index,horizon,effective_horizon,delta_total_queue_length,delta_maximum_server_queue_length,delta_total_backlog_seconds,delta_maximum_server_backlog_seconds,delta_mean_waiting_time_seconds,delta_mean_future_task_latency_seconds,delta_mean_future_task_reward,delta_mean_server_utilization
trial_007_ep1_task002,7,2,0.99,low,27,Safe Min-Latency,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task002,7,2,0.99,low,27,Safe Min-Latency,6,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task002,7,2,0.99,low,27,Safe Min-Latency,6,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task002,7,2,0.99,low,27,Safe Min-Latency,6,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task002,7,2,0.99,low,27,Safe Min-Latency,6,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task002,7,2,0.99,low,27,Next-best immediate,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007665983271142374
trial_007_ep1_task002,7,2,0.99,low,27,Next-best immediate,12,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001852427413018637
trial_007_ep1_task002,7,2,0.99,low,27,Next-best immediate,12,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010346342473223358
trial_007_ep1_task002,7,2,0.99,low,27,Next-best immediate,12,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007541416171738535
trial_007_ep1_task002,7,2,0.99,low,27,Next-best immediate,12,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023007522893969679
trial_007_ep1_task002,7,2,0.99,low,27,PPO high probability,27,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037478140436696145
trial_007_ep1_task002,7,2,0.99,low,27,PPO high probability,27,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009056311796980104
trial_007_ep1_task002,7,2,0.99,low,27,PPO high probability,27,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005058211875798024
trial_007_ep1_task002,7,2,0.99,low,27,PPO high probability,27,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036869145728499197
trial_007_ep1_task002,7,2,0.99,low,27,PPO high probability,27,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011248122303718355
trial_007_ep1_task002,7,2,0.99,low,27,PPO sampled,21,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024093090280733198
trial_007_ep1_task002,7,2,0.99,low,27,PPO sampled,21,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005821914726630045
trial_007_ep1_task002,7,2,0.99,low,27,PPO sampled,21,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003251707634441575
trial_007_ep1_task002,7,2,0.99,low,27,PPO sampled,21,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023701593682606548
trial_007_ep1_task002,7,2,0.99,low,27,PPO sampled,21,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007230935766676105
trial_007_ep1_task003,7,3,0.9999,low,20,Safe Min-Latency,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task003,7,3,0.9999,low,20,Safe Min-Latency,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task003,7,3,0.9999,low,20,Safe Min-Latency,5,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task003,7,3,0.9999,low,20,Safe Min-Latency,5,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task003,7,3,0.9999,low,20,Safe Min-Latency,5,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task003,7,3,0.9999,low,20,Next-best immediate,16,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008240351149558789
trial_007_ep1_task003,7,3,0.9999,low,20,Next-best immediate,16,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00118024089288854
trial_007_ep1_task003,7,3,0.9999,low,20,Next-best immediate,16,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006109570551761923
trial_007_ep1_task003,7,3,0.9999,low,20,Next-best immediate,16,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003826091063779957
trial_007_ep1_task003,7,3,0.9999,low,20,Next-best immediate,16,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012874654644703942
trial_007_ep1_task003,7,3,0.9999,low,20,PPO high probability,27,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024721053448676283
trial_007_ep1_task003,7,3,0.9999,low,20,PPO high probability,27,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035407226786655643
trial_007_ep1_task003,7,3,0.9999,low,20,PPO high probability,27,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018328711655285768
trial_007_ep1_task003,7,3,0.9999,low,20,PPO high probability,27,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011478273191339872
trial_007_ep1_task003,7,3,0.9999,low,20,PPO high probability,27,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038623963934111827
trial_007_ep1_task003,7,3,0.9999,low,20,PPO sampled,6,1,1,0.0,0.0,0.0,0.0,0.0,0.1110517435513998,-10.725333653371322,-0.002746783716519638
trial_007_ep1_task003,7,3,0.9999,low,20,PPO sampled,6,5,5,0.0,0.0,0.0,0.0,0.0,0.022210348710280048,-2.145066730674259,-0.00039341363096284665
trial_007_ep1_task003,7,3,0.9999,low,20,PPO sampled,6,10,10,0.0,0.0,0.0,0.0,0.0,0.011105174355139802,-1.0725333653371365,-0.00020365235172539742
trial_007_ep1_task003,7,3,0.9999,low,20,PPO sampled,6,20,20,0.0,0.0,0.0,0.0,0.0,0.005552587177570123,-0.5362666826685683,-0.0001275363687926745
trial_007_ep1_task003,7,3,0.9999,low,20,PPO sampled,6,50,50,0.0,0.0,0.0,0.0,0.0,0.0022210348710278716,-0.21450667306741877,-4.2915515482355726e-05
trial_007_ep1_task004,7,4,0.9,low,28,Safe Min-Latency,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task004,7,4,0.9,low,28,Safe Min-Latency,6,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task004,7,4,0.9,low,28,Safe Min-Latency,6,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task004,7,4,0.9,low,28,Safe Min-Latency,6,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task004,7,4,0.9,low,28,Safe Min-Latency,6,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task004,7,4,0.9,low,28,Next-best immediate,12,1,1,0.0,0.0,-0.6701333418607454,-0.6701333418607449,0.0,0.0,0.0,0.023118489076123017
trial_007_ep1_task004,7,4,0.9,low,28,Next-best immediate,12,5,5,0.0,0.0,0.0,0.0,-0.27943813492065744,0.0,0.0,-0.0035973239486182806
trial_007_ep1_task004,7,4,0.9,low,28,Next-best immediate,12,10,10,0.0,0.0,0.0,0.0,-0.13971906746032872,0.0,0.0,-0.0020596112272360245
trial_007_ep1_task004,7,4,0.9,low,28,Next-best immediate,12,20,20,0.0,0.0,0.0,0.0,-0.07353635129490985,0.0,0.0,-0.0013058141418068048
trial_007_ep1_task004,7,4,0.9,low,28,Next-best immediate,12,50,50,0.0,0.0,0.0,0.0,-0.027943813492065733,0.0,0.0,-0.00042058069571979106
trial_007_ep1_task004,7,4,0.9,low,28,PPO high probability,27,1,1,0.0,0.0,-2.263100011725191,-2.2631000117251907,0.0,0.0,0.0,0.031787922479669134
trial_007_ep1_task004,7,4,0.9,low,28,PPO high probability,27,5,5,0.0,0.0,0.0,0.0,-0.27943813492065744,0.0,0.0,-0.017586917082133724
trial_007_ep1_task004,7,4,0.9,low,28,PPO high probability,27,10,10,0.0,0.0,0.0,0.0,-0.13971906746032872,0.0,0.0,-0.010069210444264953
trial_007_ep1_task004,7,4,0.9,low,28,PPO high probability,27,20,20,0.0,0.0,0.0,0.0,-0.07353635129490985,0.0,0.0,-0.006383980248833299
trial_007_ep1_task004,7,4,0.9,low,28,PPO high probability,27,50,50,0.0,0.0,0.0,0.0,-0.027943813492065733,0.0,0.0,-0.002056172290185704
trial_007_ep1_task004,7,4,0.9,low,28,PPO sampled,18,1,1,0.0,0.0,-0.5900984875133011,-1.3099015124866984,0.0,0.7198030249733982,-8.986594796097101,0.00722452783628838
trial_007_ep1_task004,7,4,0.9,low,28,PPO sampled,18,5,5,0.0,0.0,0.0,0.0,-0.18924374098068775,0.16784570928221565,-6.657897511406929,-0.004710781361285832
trial_007_ep1_task004,7,4,0.9,low,28,PPO sampled,18,10,10,0.0,0.0,0.0,0.0,-0.09462187049034387,0.08392285464110794,-3.3289487557034576,-0.0026971099404280996
trial_007_ep1_task004,7,4,0.9,low,28,PPO sampled,18,20,20,0.0,0.0,0.0,0.0,-0.04980098446860201,0.04196142732055397,-1.6644743778517324,-0.001709994709508944
trial_007_ep1_task004,7,4,0.9,low,28,PPO sampled,18,50,50,0.0,0.0,0.0,0.0,-0.01892437409806877,0.0167845709282215,-0.6657897511406929,-0.0005507604348711781
trial_007_ep1_task006,7,6,0.99,high,25,Safe Min-Latency,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task006,7,6,0.99,high,25,Safe Min-Latency,6,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task006,7,6,0.99,high,25,Safe Min-Latency,6,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_007_ep1_task006,7,6,0.99,high,25,Safe Min-Latency,6,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
