episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,58.00544230469437,1.9828460933829286,20.29,0.1,0.9,1.0,0.9,0,20,2.5538532841205597,0.09,0.0804
2,200,63.394720994377515,1.9714473871794354,22.35,0.0,1.0,1.0,1.0,0,0,2.847937600016594,0.085,0.05460000000000001
3,200,61.64842082724549,2.0620796706318307,25.265,0.0,1.0,1.0,1.0,0,0,3.117989720106125,0.07,0.047549999999999995
4,200,62.94694645715543,2.0143060322210173,20.35,0.0,1.0,1.0,1.0,0,0,2.7635056033730505,0.135,0.06470000000000001
5,200,61.61194269359653,2.0673441561152144,22.14,0.0,1.0,1.0,1.0,0,0,2.893224661946297,0.09,0.05015
6,200,59.043420850468046,2.115000228020897,20.485,0.055,0.945,1.0,0.945,0,11,2.635030890405178,0.06,0.06495000000000001
7,200,62.20954240568245,2.03939928339074,21.605,0.0,1.0,1.0,1.0,0,0,2.892398945093155,0.05,0.05310000000000001
8,200,57.22042090744103,2.0302895889385586,19.08,0.105,0.895,1.0,0.895,0,21,2.5403803396224975,0.085,0.07185
9,200,61.708640240500316,2.036142060961145,22.26,0.0,1.0,1.0,1.0,0,0,2.899525662660599,0.08,0.05865000000000001
10,200,58.408345295831424,2.0135635196035624,20.46,0.1,0.9,1.0,0.9,0,20,2.588601501882076,0.095,0.073
11,200,55.67635695380426,1.9809513826255445,18.12,0.145,0.855,1.0,0.855,0,29,2.3975675728917123,0.09,0.08574999999999998
12,200,55.89782734424741,2.128012714185763,20.585,0.1,0.9,1.0,0.9,0,20,2.5790954887866975,0.035,0.08355
13,200,62.64807559711803,2.0014467862150913,23.475,0.0,1.0,1.0,1.0,0,0,2.978459323644638,0.065,0.0505
14,200,63.132855177388485,2.0010960380763443,23.315,0.0,1.0,1.0,1.0,0,0,2.9920525151491164,0.105,0.055850000000000004
15,200,63.03226047780541,1.9839346582367972,21.305,0.005,0.995,1.0,0.995,0,1,2.7809756430983543,0.085,0.05430000000000001
16,200,57.889902360053455,2.037754035520202,16.82,0.08,0.92,1.0,0.92,0,16,2.348355396986008,0.12,0.09865
17,200,62.40462090157335,2.053049844916156,23.505,0.0,1.0,1.0,1.0,0,0,3.019153729081154,0.095,0.05360000000000001
18,200,63.23921053846551,2.0025176931991644,22.2,0.0,1.0,1.0,1.0,0,0,2.917400400042534,0.075,0.05495
19,200,62.90188222919689,1.9746424512923102,22.085,0.0,1.0,1.0,1.0,0,0,2.9113923901319505,0.09,0.05145000000000001
20,200,63.49842798840524,1.9887643940930047,25.68,0.0,1.0,1.0,1.0,0,0,3.1366795861721037,0.045,0.05155
