state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,safe_set_empty,effective_set_size,total_backlog_seconds,maximum_backlog_seconds,estimated_min_latency,myopic_action,ppo_sampled_action,ppo_high_probability_action,critic_value,snapshot_digest,state_feature_0,state_feature_1,state_feature_2,state_feature_3,state_feature_4,state_feature_5,state_feature_6,state_feature_7,state_feature_8,state_feature_9,state_feature_10,state_feature_11,state_feature_12,state_feature_13,state_feature_14,state_feature_15,state_feature_16,state_feature_17,state_feature_18,state_feature_19,state_feature_20,state_feature_21,state_feature_22,state_feature_23,state_feature_24,state_feature_25,state_feature_26,state_feature_27,state_feature_28,state_feature_29,state_feature_30,state_feature_31,state_feature_32,state_feature_33,state_feature_34
trial_008_ep1_task005,8,5,0.999,medium,28,False,28,1.6071287838311523,0.812112873566281,0.7123250850031588,2,26,27,43.1006965637207,7cce6fc63d6b65ea0227e0f73567931b160a1d0b291bc1bf5d9524bb7bdb9020,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16876430809497833,0.16580046713352203,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.5179276466369629,0.02222222276031971,0.6666666865348816
trial_008_ep1_task009,8,9,0.9,medium,28,False,28,0.9575927859149427,0.5067401400606013,1.59711918306019,5,13,27,43.1005859375,48af60b7707627fa583da54a628d190c096ca1186e9d1d3b076b6c9e54316fd6,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.11244050413370132,0.02369903214275837,0.08125293254852295,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.5459528565406799,0.42222222685813904,0.0
trial_008_ep1_task011,8,11,0.9999,medium,3,False,3,1.440652879629783,0.9564412063128422,2.205704999673081,24,27,27,43.10087585449219,26fcaa1cd6e094aaf58de7f9ac2f4bf9bb43cdf4d53006f41848a4a98f58f2fa,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.19296933710575104,0.10798145085573196,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.07807666808366776,0.7777777910232544,1.0
trial_008_ep1_task013,8,13,0.999,medium,27,False,27,1.505043540677962,1.2575516591624853,1.0252696592932544,5,22,27,43.100685119628906,dd74fdb80439a92fedf4255a66380d04d870c30297cb1f66300b9210713ca709,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05826777219772339,0.23918959498405457,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.3625127971172333,0.20000000298023224,0.6666666865348816
trial_008_ep1_task015,8,15,0.999,medium,28,False,28,0.8558781276292151,0.699774320597258,0.5246586365086982,6,24,27,43.10039138793945,cf886482331b3daa98ff877610ef2a20f4d3b1a287fd839a819a14eb6e42face,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.14889530837535858,0.0,0.0,0.0,0.03756013140082359,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.015983939170837402,0.04444444552063942,0.6666666865348816
trial_008_ep1_task016,8,16,0.99,low,28,False,28,0.0,0.0,0.5353989046154424,5,27,27,43.1002197265625,98ad520f6dcf0cbc692c49954161597177b9379eef8bc6e7e2e323c17dc63cf0,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.15503337979316711,0.04444444552063942,0.3333333432674408
trial_008_ep1_task017,8,17,0.99,low,28,False,28,0.0,0.0,1.077977382891575,5,12,27,43.10061264038086,6daec5a50ede135d8397f108524bfea8f0c10dcb49c98780aeede58485286e8e,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.6673319935798645,0.20000000298023224,0.3333333432674408
trial_008_ep1_task018,8,18,0.9,low,28,False,28,0.0,0.0,2.4286982067748863,5,12,27,43.100799560546875,5633d2eda5a9eb0c49525147ba725cf0ecde0948c0c871a37443acb1e2e34b12,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.910475492477417,0.7111111283302307,0.0
trial_008_ep1_task019,8,19,0.9,high,28,False,28,3.572914521660606,2.4810850007785956,2.8235896603175847,5,20,27,43.10095977783203,8adbce097c8379c428df7f8f3e0c7b3c761e36ae6489f1c13489e20bd3d3e9f8,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.38281938433647156,0.0,0.0,0.0,0.0,0.0,0.21442773938179016,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.7452988624572754,0.8888888955116272,0.0
trial_008_ep1_task020,8,20,0.9999,medium,11,False,11,3.4606460525639906,1.767876984692772,1.3139715610957263,6,3,27,43.10093307495117,b102e32cda0bbcfae56f20903a49c91fd78d408c8a45fce6eccff19807246418,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.14440922439098358,0.0,0.30650392174720764,0.0,0.0,0.20281198620796204,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.3946097791194916,0.31111112236976624,1.0
