episode,update_count,rollout_update_index,loss,gradient_norm_before_clip,parameter_norm_before,parameter_norm_after,parameter_update_norm,selected_q_mean_before,selected_q_mean_after,target_mean,post_minus_pre_q
1,1,0,61.110958099365234,2.048421859741211,5.881290912628174,5.880692481994629,0.0542675293982028,0.0976320058107376,0.1621442586183548,61.708587646484375,0.0645122528076172
1,2,1,61.04644012451172,2.048556566238404,5.880692481994629,5.880920886993408,0.0537471882998943,0.1621442586183548,0.2268131971359253,61.708587646484375,0.0646689385175705
1,3,2,60.98177337646485,2.055286407470703,5.880920886993408,5.882009983062744,0.0534451827406883,0.2268131971359253,0.2918203771114349,61.708587646484375,0.06500717997550959
1,4,3,60.91676712036133,2.068568468093872,5.882009983062744,5.883960723876953,0.053171195089817,0.2918203771114349,0.3572880029678345,61.708587646484375,0.06546762585639959
2,5,0,61.25275039672852,2.0820116996765137,5.883960723876953,5.886838912963867,0.0528267882764339,0.3577031195163727,0.423511654138565,62.110450744628906,0.06580853462219233
2,6,1,61.18693542480469,2.1077325344085693,5.886838912963867,5.890664577484131,0.0525530688464641,0.423511654138565,0.4900199174880981,62.110450744628906,0.06650826334953308
2,7,2,61.12043380737305,2.1393537521362305,5.890664577484131,5.895406246185303,0.0523648224771022,0.4900199174880981,0.5573755502700806,62.110450744628906,0.06735563278198248
2,8,3,61.05307769775391,2.17659592628479,5.895406246185303,5.901007175445557,0.0522516369819641,0.5573755502700806,0.6257210373878479,62.110450744628906,0.06834548711776733
3,9,0,61.8481330871582,2.2151782512664795,5.901007175445557,5.907408237457275,0.0521131455898284,0.6259050369262695,0.6949039697647095,62.97404479980469,0.06899893283843994
3,10,1,61.77914047241211,2.262579202651977,5.907408237457275,5.914560317993164,0.0520247742533683,0.6949039697647095,0.7650911211967468,62.97404479980469,0.07018715143203735
3,11,2,61.70895385742188,2.314382553100586,5.914560317993164,5.922416687011719,0.0519563965499401,0.7650911211967468,0.8365211486816406,62.97404479980469,0.0714300274848938
3,12,3,61.63751983642578,2.370178699493408,5.922416687011719,5.930941104888916,0.0518931895494461,0.8365211486816406,0.9092190265655518,62.97404479980469,0.07269787788391113
4,13,0,57.28530883789063,1.9566028118133545,5.930941104888916,5.940088748931885,0.0516599789261817,0.9007932543754578,0.9745996594429016,56.735626220703125,0.07380640506744385
4,14,1,57.22615814208984,2.0065505504608154,5.940088748931885,5.949836254119873,0.0515032261610031,0.9745996594429016,1.0495944023132324,56.735626220703125,0.07499474287033081
4,15,2,57.16599655151367,2.0588388442993164,5.949836254119873,5.960161685943604,0.051379308104515,1.0495944023132324,1.1257575750350952,56.735626220703125,0.07616317272186279
4,16,3,57.10482025146485,2.1132075786590576,5.960161685943604,5.971043109893799,0.051272127777338,1.1257575750350952,1.2030531167984009,56.735626220703125,0.07729554176330566
5,17,0,59.28881454467773,2.669145345687866,5.971043109893799,5.982454299926758,0.0512538850307464,1.2113070487976074,1.290052890777588,60.90436935424805,0.07874584197998047
5,18,1,59.21086120605469,2.740191698074341,5.982454299926758,5.994377136230469,0.0512175299227237,1.290052890777588,1.3698734045028689,60.90436935424805,0.07982051372528098
5,19,2,59.1318473815918,2.81278920173645,5.994377136230469,6.00679349899292,0.0511620007455349,1.3698734045028689,1.4506852626800537,60.90436935424805,0.08081185817718484
5,20,3,59.05184555053711,2.886629819869995,6.00679349899292,6.019683837890625,0.0510866045951843,1.4506852626800537,1.532395839691162,60.90436935424805,0.0817105770111084
6,21,0,59.808441162109375,2.971565961837769,6.019683837890625,6.033040523529053,0.0510029569268226,1.543046474456787,1.6257903575897217,61.74790191650391,0.08274388313293457
6,22,1,59.7265510559082,3.047112941741944,6.033040523529053,6.046840667724609,0.050894871354103,1.6257903575897217,1.70918607711792,61.74790191650391,0.08339571952819824
6,23,2,59.64402770996094,3.1230173110961914,6.046840667724609,6.061063289642334,0.0507617183029651,1.70918607711792,1.793116569519043,61.74790191650391,0.08393049240112305
6,24,3,59.56098175048828,3.199023485183716,6.061063289642334,6.075686454772949,0.0506032444536685,1.793116569519043,1.8774619102478027,61.74790191650391,0.08434534072875977
7,25,0,59.26465225219727,3.294397592544556,6.075686454772949,6.090680599212647,0.0504117161035537,1.8631221055984497,1.9475524425506592,61.62776947021485,0.08443033695220947
7,26,1,59.18022155761719,3.370677709579468,6.090680599212647,6.106024742126465,0.0502001084387302,1.9475524425506592,2.0322141647338867,61.62776947021485,0.08466172218322754
7,27,2,59.09556198120117,3.4464304447174072,6.106024742126465,6.121696949005127,0.0499678216874599,2.0322141647338867,2.116981744766236,61.62776947021485,0.08476758003234908
7,28,3,59.01079177856445,3.5214617252349854,6.121696949005127,6.137676239013672,0.0497144684195518,2.116981744766236,2.201733589172364,61.62776947021485,0.08475184440612837
8,29,0,59.74888610839844,3.584517240524292,6.137676239013672,6.153933525085449,0.0493784882128238,2.191450595855713,2.2757568359375,62.44034194946289,0.08430624008178711
8,30,1,59.664581298828125,3.657303333282471,6.153933525085449,6.170448303222656,0.0490294881165027,2.2757568359375,2.35982346534729,62.44034194946289,0.08406662940979004
8,31,2,59.58051300048828,3.7289071083068848,6.170448303222656,6.187197208404541,0.0486668162047863,2.35982346534729,2.4435415267944336,62.44034194946289,0.08371806144714355
8,32,3,59.496803283691406,3.799204587936402,6.187197208404541,6.204157829284668,0.048290017992258,2.4435415267944336,2.526807308197021,62.44034194946289,0.08326578140258745
9,33,0,58.95061111450195,3.840015172958374,6.204157829284668,6.221325397491455,0.0479595176875591,2.5375173091888428,2.6202938556671143,61.87536239624024,0.08277654647827148
9,34,1,58.868690490722656,3.906746864318848,6.221325397491455,6.238675594329834,0.0476066432893276,2.6202938556671143,2.7024085521698,61.87536239624024,0.08211469650268555
9,35,2,58.78742218017578,3.9718759059906006,6.238675594329834,6.256186008453369,0.0472323633730411,2.7024085521698,2.7837798595428467,61.87536239624024,0.08137130737304688
9,36,3,58.706878662109375,4.035340785980225,6.256186008453369,6.273836612701416,0.0468378700315952,2.7837798595428467,2.864333391189575,61.87536239624024,0.08055353164672852
10,37,0,56.315391540527344,3.4614336490631104,6.273836612701416,6.291615009307861,0.0464272797107696,2.835788011550904,2.9153919219970703,57.79075241088867,0.0796039104461661
10,38,1,56.24783706665039,3.513456583023072,6.291615009307861,6.309500217437744,0.0460043139755725,2.9153919219970703,2.994173526763916,57.79075241088867,0.0787816047668457
10,39,2,56.18092346191406,3.5640740394592285,6.309500217437744,6.327474117279053,0.0455692484974861,2.994173526763916,3.072073459625244,57.79075241088867,0.07789993286132812
10,40,3,56.11473083496094,3.613258123397827,6.327474117279053,6.345518112182617,0.0451226569712162,3.072073459625244,3.149041175842285,57.79075241088867,0.07696771621704102
11,41,0,58.452125549316406,4.37660026550293,6.345518112182617,6.363579750061035,0.0446025691926479,3.185463190078736,3.261190176010132,62.13759231567383,0.07572698593139604
11,42,1,58.37639999389648,4.430126667022705,6.363579750061035,6.381641864776611,0.0440752804279327,3.261190176010132,3.335789203643799,62.13759231567383,0.07459902763366699
11,43,2,58.301795959472656,4.481808185577393,6.381641864776611,6.399688243865967,0.0435419827699661,3.335789203643799,3.4092471599578857,62.13759231567383,0.07345795631408691
11,44,3,58.22834396362305,4.531669616699219,6.399688243865967,6.417703628540039,0.0430038943886756,3.4092471599578857,3.481560468673706,62.13759231567383,0.07231330871582031
12,45,0,58.50197219848633,4.567154407501221,6.417703628540039,6.435682773590088,0.0424705669283866,3.46724009513855,3.53847599029541,62.469215393066406,0.07123589515686035
12,46,1,58.43074035644531,4.613553524017334,6.435682773590088,6.453611850738525,0.0419375374913215,3.53847599029541,3.608609199523926,62.469215393066406,0.07013320922851562
12,47,2,58.3606071472168,4.65826940536499,6.453611850738525,6.471476078033447,0.0414053350687027,3.608609199523926,3.677648305892944,62.469215393066406,0.06903910636901811
12,48,3,58.29156112670898,4.70134162902832,6.471476078033447,6.48926305770874,0.0408745408058166,3.677648305892944,3.745604753494263,62.469215393066406,0.06795644760131925
13,49,0,57.59611511230469,4.725333213806152,6.48926305770874,6.5069732666015625,0.0403708405792713,3.726983308792114,3.794252872467041,61.82309722900391,0.0672695636749272
13,50,1,57.528846740722656,4.765624046325684,6.5069732666015625,6.524596214294434,0.0398685075342655,3.794252872467041,3.86051607131958,61.82309722900391,0.06626319885253906
13,51,2,57.462589263916016,4.804447174072266,6.524596214294434,6.542121410369873,0.039367888122797,3.86051607131958,3.925784826278688,61.82309722900391,0.06526875495910778
13,52,3,57.39731979370117,4.8418402671813965,6.542121410369873,6.559538841247559,0.0388693287968635,3.925784826278688,3.9900765419006334,61.82309722900391,0.06429171562194558
14,53,0,59.10246276855469,4.910831928253174,6.559538841247559,6.576801776885986,0.0382988452911376,4.0245890617370605,4.0873332023620605,63.62704086303711,0.062744140625
14,54,1,59.03971099853516,4.944833755493164,6.576801776885986,6.593906402587891,0.0377371348440647,4.0873332023620605,4.149081230163574,63.62704086303711,0.06174802780151367
14,55,2,58.97796249389648,4.977466583251953,6.593906402587891,6.610846042633057,0.037184115499258,4.149081230163574,4.20986795425415,63.62704086303711,0.06078672409057617
14,56,3,58.91717147827149,5.008778095245361,6.610846042633057,6.627617359161377,0.036639641970396,4.20986795425415,4.269726276397705,63.62704086303711,0.05985832214355469
15,57,0,57.1347541809082,4.987337112426758,6.627617359161377,6.644221782684326,0.036120668053627,4.269891262054443,4.328858852386475,61.76689910888672,0.05896759033203125
15,58,1,57.07636642456055,5.015870571136475,6.644221782684326,6.6606550216674805,0.0356084816157817,4.328858852386475,4.386965274810791,61.76689910888672,0.058106422424316406
15,59,2,57.018829345703125,5.04322624206543,6.6606550216674805,6.67691707611084,0.0351029448211193,4.386965274810791,4.444241046905518,61.76689910888672,0.05727577209472656
15,60,3,56.96211242675781,5.069443225860596,6.67691707611084,6.693002700805664,0.0346038974821567,4.444241046905518,4.500716686248779,61.76689910888672,0.05647563934326172
16,61,0,53.483341217041016,3.8218119144439697,6.693002700805664,6.708997249603272,0.0342701449990272,4.490727424621582,4.546721458435059,54.944091796875,0.05599403381347656
16,62,1,53.44086456298828,3.840886831283569,6.708997249603272,6.724891662597656,0.0339280664920806,4.546721458435059,4.602046012878418,54.944091796875,0.055324554443359375
16,63,2,53.398868560791016,3.859245538711548,6.724891662597656,6.740678310394287,0.0335781015455722,4.602046012878418,4.656713485717773,54.944091796875,0.05466747283935547
16,64,3,53.35735702514648,3.8769004344940186,6.740678310394287,6.756350994110107,0.0332207530736923,4.656713485717773,4.71074104309082,54.944091796875,0.054027557373046875
17,65,0,57.54059982299805,5.235354900360107,6.756350994110107,6.771819114685059,0.0326946303248405,4.716394424438477,4.769573211669922,62.75700378417969,0.05317878723144531
17,66,1,57.487422943115234,5.255980014801025,6.771819114685059,6.787083148956299,0.032178308814764,4.769573211669922,4.822078704833984,62.75700378417969,0.0525054931640625
17,67,2,57.43491363525391,5.275656223297119,6.787083148956299,6.802145957946777,0.0316713489592075,4.822078704833984,4.873939037322998,62.75700378417969,0.05186033248901367
17,68,3,57.383056640625,5.294418811798096,6.802145957946777,6.817008972167969,0.0311733558773994,4.873939037322998,4.9251790046691895,62.75700378417969,0.051239967346191406
18,69,0,56.83445358276367,5.306238174438477,6.817008972167969,6.831690788269043,0.0307140033692121,4.918542385101318,4.969293117523193,62.25299453735352,0.050750732421875
18,70,1,56.7837028503418,5.323403358459473,6.831690788269043,6.846192359924316,0.0302599649876356,4.969293117523193,5.019480705261231,62.25299453735352,0.050187587738038
18,71,2,56.7335090637207,5.339766979217529,6.846192359924316,6.860514163970947,0.02981130592525,5.019480705261231,5.069127082824707,62.25299453735352,0.049646377563475674
18,72,3,56.683860778808594,5.355360984802246,6.860514163970947,6.874659538269043,0.0293680392205715,5.069127082824707,5.118252754211426,62.25299453735352,0.04912567138671875
19,73,0,57.21080017089844,5.310437679290772,6.874659538269043,6.888635158538818,0.028942747041583,5.1120285987854,5.160770893096924,62.68999099731445,0.04874229431152344
19,74,1,57.16253280639648,5.324573040008545,6.888635158538818,6.902443885803223,0.0285223070532083,5.160770893096924,5.209039211273193,62.68999099731445,0.04826831817626953
19,75,2,57.1147346496582,5.338048458099365,6.902443885803223,6.916085243225098,0.0281068161129951,5.209039211273193,5.256850719451904,62.68999099731445,0.04781150817871094
19,76,3,57.0673942565918,5.350891590118408,6.916085243225098,6.929563045501709,0.0276963636279106,5.256850719451904,5.30422306060791,62.68999099731445,0.04737234115600586
20,77,0,57.09711837768555,5.218316555023193,6.929563045501709,6.942831993103027,0.0271890256553888,5.327523231506348,5.374077320098877,62.38776397705078,0.0465540885925293
20,78,1,57.05238342285156,5.229227066040039,6.942831993103027,6.955898284912109,0.0266981236636638,5.374077320098877,5.420201301574707,62.38776397705078,0.04612398147583008
20,79,2,57.00805282592773,5.239588737487793,6.955898284912109,6.968768119812012,0.0262228567153215,5.420201301574707,5.465915679931641,62.38776397705078,0.045714378356933594
20,80,3,56.964115142822266,5.249430179595947,6.968768119812012,6.981445789337158,0.0257625337690114,5.465915679931641,5.511239528656006,62.38776397705078,0.045323848724365234
21,81,0,57.17951583862305,5.417557716369629,6.981445789337158,6.993955135345459,0.0253624320030212,5.502249717712402,5.5473833084106445,63.05027389526367,0.04513359069824219
21,82,1,57.13483047485352,5.426880359649658,6.993955135345459,7.006300926208496,0.0249711871147155,5.5473833084106445,5.592166900634766,63.05027389526367,0.044783592224121094
21,83,2,57.09047317504883,5.435755729675293,7.006300926208496,7.018486976623535,0.0245887339115142,5.592166900634766,5.636613845825195,63.05027389526367,0.04444694519042969
21,84,3,57.04646301269531,5.444210052490234,7.018486976623535,7.030515670776367,0.0242150127887725,5.636613845825195,5.68073844909668,63.05027389526367,0.044124603271484375
22,85,0,55.4470100402832,5.514294147491455,7.030515670776367,7.042371273040772,0.0238102357834577,5.688236713409424,5.731894493103027,61.635250091552734,0.043657779693603516
22,86,1,55.403350830078125,5.521862030029297,7.042371273040772,7.054056644439697,0.0234181080013513,5.731894493103027,5.775246620178223,61.635250091552734,0.04335212707519531
22,87,2,55.36000442504883,5.529062271118164,7.054056644439697,7.065579414367676,0.0230383016169071,5.775246620178223,5.81830644607544,61.635250091552734,0.043059825897217685
22,88,3,55.31694412231445,5.53591775894165,7.065579414367676,7.076942920684815,0.0226704981178045,5.81830644607544,5.861086845397949,61.635250091552734,0.04278039932250888
23,89,0,56.33363723754883,5.524955749511719,7.076942920684815,7.08820915222168,0.0224170852452516,5.84019660949707,5.88303279876709,62.6738395690918,0.04283618927001953
23,90,1,56.290802001953125,5.531564712524414,7.08820915222168,7.0993757247924805,0.022164698690176,5.88303279876709,5.925635814666748,62.6738395690918,0.0426030158996582
23,91,2,56.24820327758789,5.537901401519775,7.0993757247924805,7.11044454574585,0.02191380597651,5.925635814666748,5.968013286590576,62.6738395690918,0.042377471923828125
23,92,3,56.2058219909668,5.543979644775391,7.11044454574585,7.121415138244629,0.0216648243367671,5.968013286590576,6.010171413421631,62.6738395690918,0.04215812683105469
24,93,0,55.90043640136719,5.55928897857666,7.121415138244629,7.132252216339111,0.0213500224053859,6.021839141845703,6.063572883605957,62.422271728515625,0.041733741760253906
24,94,1,55.858699798583984,5.564651966094971,7.132252216339111,7.142962455749512,0.0210450924932956,6.063572883605957,6.1050896644592285,62.422271728515625,0.041516780853271484
24,95,2,55.81718444824219,5.569782733917236,7.142962455749512,7.153546333312988,0.0207497347146272,6.1050896644592285,6.146395206451416,62.422271728515625,0.0413055419921875
24,96,3,55.77587890625,5.574692726135254,7.153546333312988,7.16400957107544,0.0204636882990598,6.146395206451416,6.1875,62.422271728515625,0.041104793548583984
25,97,0,55.37614822387695,4.901271343231201,7.16400957107544,7.1743879318237305,0.0202504210174083,6.181581497192383,6.22262716293335,60.3189811706543,0.0410456657409668
25,98,1,55.33995056152344,4.9054365158081055,7.1743879318237305,7.184682369232178,0.0200395248830318,6.22262716293335,6.26350212097168,60.3189811706543,0.04087495803833008
