stage,metric,count,mean,std,p10,p50,p90,p95
early,reward_term,20000,60.56772823239565,26.422576969344778,34.27087211608887,55.542659759521484,99.21853637695312,111.18384552001952
early,discount_term,20000,0.8265904205530882,0.145010645334073,0.6175117433071137,0.8641038835048676,0.9779163420200347,0.9889358043670654
early,next_q_expectation,20000,4.652779691723921,3.399160529297053,0.3096581876277923,4.414677858352661,9.550368690490725,10.17225532531738
early,bootstrap_term,20000,3.838683882207703,2.9426249727620633,0.23507609814405442,3.4778414964675903,8.160352039337159,8.99196877479553
early,bellman_target_online,20000,64.40641210992337,26.600048011723107,37.781011962890624,59.58909034729004,102.42875061035157,116.07844581603999
early,selected_q_pred,20000,9.590941481269804,4.492771510234733,3.018603610992432,9.910337924957275,15.372340297699132,16.04104747772213
early,td_error,20000,54.81547064380646,26.53429363912917,28.258006858825684,49.786808013916016,93.05541152954102,105.940673828125
late,reward_term,20000,61.63994900739193,26.788295024332427,35.529727935791016,56.37545394897461,99.9342803955078,113.75202941894533
late,discount_term,20000,0.8237706537730992,0.14594126498076937,0.6135423183441162,0.8605075478553772,0.9770311117172241,0.9882410347461701
late,next_q_expectation,20000,30.173754560756684,3.819273177084451,24.845088768005372,30.12006950378418,35.411904907226564,36.073971748352044
late,bootstrap_term,20000,24.75071945347786,5.6975367507728345,17.583735847473143,24.993735313415527,31.99998073577881,33.429386138916016
late,bellman_target_online,20000,86.3906684412241,27.493266828149277,58.50241813659668,82.03667449951172,124.93023223876955,139.52698593139647
late,selected_q_pred,20000,36.75745598087311,3.8292637912781773,31.484194946289072,36.75162696838378,42.009621047973894,42.6658811569213
late,td_error,20000,49.63321246304512,27.37245516851108,22.258355331420898,45.09812927246094,88.17826156616212,102.63416824340817
middle,reward_term,20000,60.57754495819807,26.74891526621598,34.32559967041016,55.5727767944336,99.21853637695312,111.19786605834939
middle,discount_term,20000,0.8256936115458607,0.14567958375491533,0.6182497560977936,0.8629070520401001,0.9780577898025513,0.9895938992500305
middle,next_q_expectation,20000,17.10123389775753,3.7106458217452527,11.992458629608155,17.03357982635498,22.221186637878418,22.876554489135746
middle,bootstrap_term,20000,14.075679010182618,4.117203004071465,9.050312519073486,13.89030122756958,19.729606819152835,20.924972438812254
middle,bellman_target_online,20000,74.65322394452095,27.224374068042792,47.41073036193848,70.07025146484375,112.82900161743166,126.6775405883789
middle,selected_q_pred,20000,23.456460473918916,3.8537214325052713,18.126582145690925,23.441109657287598,28.736254119873216,29.398519706725995
middle,td_error,20000,51.196763470697405,26.97261114230023,24.51209945678711,46.449241638183594,89.58036575317384,102.98598594665526
