episode,task_id,stage,reward_term,discount_term,terminal,v_value,v_next_value,ppo_gae_return_target,ppo_v_td_delta,selected_q_pred,bellman_target_online,td_error
1,1,early,97.90778350830078,0.6621349453926086,False,0.143456220626831,0.1689633727073669,298.86757110823805,97.8762038412349,0.1757055222988128,97.9517822265625,97.7760772705078
1,2,early,61.33848190307617,0.862420380115509,False,0.1689633727073669,0.1487661302089691,319.467703311087,61.29781747293194,0.0351352617144584,61.43485641479492,61.39972305297852
1,3,early,111.0341796875,0.818954348564148,False,0.1487661302089691,0.1733529269695282,315.0531035582131,111.02738169066905,0.1216300427913665,111.11792755126952,110.99629974365234
1,4,early,43.49281311035156,0.6260552406311035,False,0.1733529269695282,0.1452374756336212,262.2237617257498,43.410386866138495,0.0772476270794868,43.56548690795898,43.48823928833008
1,5,early,110.96627044677734,0.9786685705184937,False,0.1452374756336212,0.1797579526901245,367.76038797903135,110.9969564297423,0.1842458844184875,111.03663635253906,110.8523941040039
1,6,early,44.79819869995117,0.913800835609436,False,0.1797579526901245,0.1869216561317443,276.191906448747,44.789249912827735,0.0124457497149705,44.88106155395508,44.868614196777344
1,7,early,46.54100036621094,0.9433591961860656,False,0.1869216561317443,0.1434130370616912,266.53875166089125,46.48936871744432,0.0729045048356056,46.62182235717773,46.548919677734375
1,8,early,47.8916130065918,0.8834797739982605,False,0.1434130370616912,0.1458009183406829,245.47326269750192,47.87701213191447,0.13392373919487,47.9827880859375,47.8488655090332
1,9,early,46.289024353027344,0.7515010237693787,False,0.1458009183406829,0.1370921730995178,235.40313023406483,46.24624834312172,0.1005526855587959,46.37115478515625,46.27060317993164
1,10,early,101.6080093383789,0.7850614786148071,False,0.1370921730995178,0.1762019097805023,264.8859432189713,101.60924649710644,0.0616769641637802,101.63302612304688,101.57135009765624
1,11,early,48.59845352172852,0.6538147926330566,False,0.1762019097805023,0.154660627245903,218.91817843372863,48.52337101787929,0.0321950986981391,48.67778015136719,48.64558410644531
1,12,early,60.27159118652344,0.5284079313278198,False,0.154660627245903,0.1542142927646637,274.20395027161925,60.1984186146985,0.0961210653185844,60.32438278198242,60.2282600402832
1,13,early,84.9486083984375,0.9273684024810792,False,0.1542142927646637,0.1695602089166641,426.1625436256996,84.95163888574024,0.0781485959887504,85.01422882080078,84.93608093261719
1,14,early,74.97296905517578,0.9175390601158142,False,0.1695602089166641,0.1585016101598739,387.2940747120072,74.94884026467206,0.1155332624912262,75.04656219482422,74.9310302734375
1,15,early,136.40919494628906,0.8351359367370605,False,0.1585016101598739,0.1547978371381759,358.2969037410384,136.37997057285244,0.0843369215726852,136.480224609375,136.39588928222656
1,16,early,120.9871597290039,0.7001542448997498,False,0.1547978371381759,0.1512614786624908,279.6660937680082,120.93826825824108,0.1067771092057228,121.0703353881836,120.96356201171876
1,17,early,78.87740325927734,0.8261466026306152,False,0.1512614786624908,0.166827380657196,238.55441008972903,78.86396565437056,0.0973673537373542,78.97378540039062,78.87641906738281
1,18,early,47.14438247680664,0.6863136887550354,False,0.166827380657196,0.1740244626998901,203.44307583939124,47.09699046707862,0.1469218730926513,47.21426010131836,47.06733703613281
1,19,early,41.13150024414063,0.9179477691650392,False,0.1740244626998901,0.1646910011768341,239.71349691122825,41.10865351857257,0.1050014272332191,41.22760009765625,41.12260055541992
1,20,early,76.29947662353516,0.895179808139801,False,0.1646910011768341,0.1727360785007476,227.7098229339556,76.28941547196945,0.142934575676918,76.3614501953125,76.21851348876953
1,21,early,42.326934814453125,0.6009045839309692,False,0.1727360785007476,0.1851023435592651,178.03258299999447,42.26542758269351,0.0321018993854522,42.36064529418945,42.32854461669922
1,22,early,41.60737991333008,0.672581136226654,False,0.1851023435592651,0.1507490426301956,237.71194361233808,41.52366853214811,0.0356951281428337,41.68175506591797,41.64606094360352
1,23,early,95.92196655273438,0.9113361835479736,False,0.1507490426301956,0.1824614703655243,306.90798335038164,95.93750125015166,0.1795854866504669,95.968994140625,95.7894058227539
1,24,early,46.90309143066406,0.8896375298500061,False,0.1824614703655243,0.1771721541881561,243.68811008593173,46.878248957908696,0.0245903152972459,47.00878143310547,46.98419189453125
1,25,early,55.1103744506836,0.8609749674797058,False,0.1771721541881561,0.1598178297281265,232.8294639261548,55.070801447248286,0.0762645602226257,55.23388671875,55.157623291015625
1,26,early,67.94026947021484,0.764721155166626,False,0.1598178297281265,0.167575404047966,217.2716870627221,67.9086000970478,0.1695932447910308,68.03101348876953,67.86141967773438
