state_id,trial_id,task_id,action_index,pair,next_task_id,interval_duration_seconds,next_effective_mask_size,next_q_expectation,next_action_q_spread,next_action_q_weighted_std,discount_term,bootstrap_term
trial_000_ep1_task001,0,1,0,"(1, 2)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,1,"(1, 3)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,2,"(1, 4)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,3,"(1, 5)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,4,"(1, 6)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,5,"(1, 7)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,6,"(1, 8)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,7,"(2, 3)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,8,"(2, 4)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,9,"(2, 5)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,10,"(2, 6)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,11,"(2, 7)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
