step,fixed_targets,huber_loss,mse
0,4096,34.03294372558594,1818.52099609375
1,4096,34.00559997558594,1816.412841796875
5,4096,33.89666748046875,1808.0213623046875
10,4096,33.7613410949707,1797.611083984375
25,4096,33.359649658203125,1766.78466796875
50,4096,32.70269775390625,1716.5477294921875
100,4096,31.43407440185547,1620.1729736328125
200,4096,29.08839225769043,1443.76416015625
500,4096,23.74576187133789,1045.2342529296875
1000,4096,21.393653869628906,832.2174072265625
2000,4096,21.390380859375,828.9856567382812
