state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,choice,action_index,horizon,effective_horizon,delta_total_queue_length,delta_maximum_server_queue_length,delta_total_backlog_seconds,delta_maximum_server_backlog_seconds,delta_mean_waiting_time_seconds,delta_mean_future_task_latency_seconds,delta_mean_future_task_reward,delta_mean_server_utilization
trial_003_ep1_task002,3,2,0.99,low,28,PPO high probability,27,10,10,0.0,0.0,0.0,0.0,0.04164365435526313,0.037846249334843485,-2.9802570595466946,-0.006238826569436751
trial_003_ep1_task002,3,2,0.99,low,28,PPO high probability,27,20,20,0.0,0.0,0.0,0.0,0.021813342757518783,0.018923124667421964,-1.4901285297733438,-0.0034102993180240015
trial_003_ep1_task002,3,2,0.99,low,28,PPO high probability,27,50,50,0.0,0.0,0.0,0.0,0.008981964664860675,0.007569249866968386,-0.5960514119093432,-0.0011627448400533813
trial_003_ep1_task002,3,2,0.99,low,28,PPO sampled,16,1,1,0.0,0.0,-0.37496463678724945,-0.4283933639868023,0.0,0.05342872719955327,-2.0632245546772054,0.06013026065598012
trial_003_ep1_task002,3,2,0.99,low,28,PPO sampled,16,5,5,0.0,0.0,0.0,0.0,0.19820318280747914,0.1939178246030686,-11.083577703543114,-0.0030611374380317136
trial_003_ep1_task002,3,2,0.99,low,28,PPO sampled,16,10,10,0.0,0.0,0.0,0.0,0.10811082698589772,0.09695891230153375,-5.541788851771571,-0.0015597066423592154
trial_003_ep1_task002,3,2,0.99,low,28,PPO sampled,16,20,20,0.0,0.0,0.0,0.0,0.056629480802136895,0.04847945615076732,-2.7708944258857855,-0.0008525748295059588
trial_003_ep1_task002,3,2,0.99,low,28,PPO sampled,16,50,50,0.0,0.0,0.0,0.0,0.023318021506762265,0.019391782460306706,-1.1083577703543313,-0.00029068621001335226
trial_003_ep1_task003,3,3,0.9999,high,23,Safe Min-Latency,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task003,3,3,0.9999,high,23,Safe Min-Latency,6,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task003,3,3,0.9999,high,23,Safe Min-Latency,6,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task003,3,3,0.9999,high,23,Safe Min-Latency,6,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task003,3,3,0.9999,high,23,Safe Min-Latency,6,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task003,3,3,0.9999,high,23,Next-best immediate,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014308027399603518
trial_003_ep1_task003,3,3,0.9999,high,23,Next-best immediate,12,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006216101683458319
trial_003_ep1_task003,3,3,0.9999,high,23,Next-best immediate,12,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039295719197621204
trial_003_ep1_task003,3,3,0.9999,high,23,Next-best immediate,12,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020126496381045467
trial_003_ep1_task003,3,3,0.9999,high,23,Next-best immediate,12,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.240515270567904e-05
trial_003_ep1_task003,3,3,0.9999,high,23,PPO high probability,27,1,1,0.0,0.0,0.0,0.0,0.3053867986052629,0.0,0.0,-0.006995035617583925
trial_003_ep1_task003,3,3,0.9999,high,23,PPO high probability,27,5,5,0.0,0.0,0.0,0.0,0.08328730871052623,0.0,0.0,-0.0030389830452463296
trial_003_ep1_task003,3,3,0.9999,high,23,PPO high probability,27,10,10,0.0,0.0,0.0,0.0,0.048218968200830964,0.0,0.0,-0.0019211240496614657
trial_003_ep1_task003,3,3,0.9999,high,23,PPO high probability,27,20,20,0.0,0.0,0.0,0.0,0.022904009895394734,0.0,0.0,-0.0009839620452955777
trial_003_ep1_task003,3,3,0.9999,high,23,PPO high probability,27,50,50,0.0,0.0,0.0,0.0,0.009254145412280756,0.0,0.0,-0.0003539807465611222
trial_003_ep1_task003,3,3,0.9999,high,23,PPO sampled,16,1,1,0.0,0.0,0.0,0.0,0.7928127312299166,0.8051086522643875,-42.62933030966701,-0.0017487589043959778
