state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,action_source,myopic_action,ppo_action,same_action,myopic_estimated_latency,ppo_estimated_latency,immediate_latency_gap,reliability_gap,rho_gap,q_ml_h1,q_ppo_h1,q_gap_ppo_minus_ml_h1,justified_h1,q_ml_h5,q_ppo_h5,q_gap_ppo_minus_ml_h5,justified_h5,q_ml_h10,q_ppo_h10,q_gap_ppo_minus_ml_h10,justified_h10,q_ml_h20,q_ppo_h20,q_gap_ppo_minus_ml_h20,justified_h20,q_ml_h50,q_ppo_h50,q_gap_ppo_minus_ml_h50,justified_h50
trial_003_ep1_task001,3,1,0.99,low,28,PPO sampled,5,18,False,0.7286241918429177,0.8774836699489208,0.14885947810600308,3.566351218453612e-05,-0.023729739453898724,0.0,0.0,0.0,False,264.7875995666506,296.54919701024613,31.76159744359552,True,405.9583921958343,437.7199896394298,31.76159744359552,True,550.1096549345043,581.8712523780999,31.761597443595633,True,610.4523905926523,642.2139880362479,31.761597443595633,True
trial_003_ep1_task001,3,1,0.99,low,28,PPO high probability,5,27,False,0.7286241918429177,0.7286241918429177,0.0,6.636220040523444e-05,-0.011458316075716263,0.0,0.0,0.0,False,264.7875995666506,285.5917308531663,20.804131286515712,False,405.9583921958343,426.76252348235,20.804131286515712,False,550.1096549345043,570.9137862210201,20.804131286515826,False,610.4523905926523,631.2565218791681,20.804131286515826,False
trial_003_ep1_task002,3,2,0.99,low,28,PPO sampled,6,16,False,1.3358726264455616,1.3893013536451146,0.05342872719955305,-0.0001476529593517073,0.19447134570724517,0.0,0.0,0.0,False,379.3752074551064,329.49910778916234,-49.87609966594408,False,532.797143822015,482.921044156071,-49.87609966594397,False,696.3997134193883,646.5236137534442,-49.876099665944025,False,764.3740412287448,714.4979415628007,-49.876099665944025,False
trial_003_ep1_task002,3,2,0.99,low,28,PPO high probability,6,27,False,1.3358726264455616,1.3358726264455616,0.0,0.0001967661434131296,0.10131684153766508,0.0,0.0,0.0,False,379.3752074551064,352.5528939191861,-26.82231353592033,False,532.797143822015,505.97483028609474,-26.822313535920216,False,696.3997134193883,669.577399883468,-26.822313535920216,False,764.3740412287448,737.5517276928246,-26.822313535920216,False
trial_003_ep1_task003,3,3,0.9999,high,23,PPO sampled,6,16,False,0.7248515811007247,1.529960233365112,0.8051086522643874,-1.3750539135437556e-05,0.19447134570724517,283.6275941134988,240.99826380383178,-42.62933030966701,False,473.2727294530927,430.6433991434257,-42.62933030966701,False,579.2082682608569,536.5789379511899,-42.62933030966701,False,766.7066421672292,724.0773118575622,-42.62933030966701,False,836.5159320461124,793.8866017364454,-42.62933030966701,False
trial_003_ep1_task003,3,3,0.9999,high,23,PPO high probability,6,27,False,0.7248515811007247,0.7248515811007247,0.0,1.8700285017714258e-05,0.10131684153766508,283.6275941134988,283.6275941134988,0.0,False,473.2727294530927,473.2727294530927,0.0,False,579.2082682608569,579.2082682608569,0.0,False,766.7066421672292,766.7066421672292,0.0,False,836.5159320461124,836.5159320461124,0.0,False
trial_003_ep1_task005,3,5,0.999,medium,28,PPO sampled,5,17,False,0.7115063476964847,0.7256304846475954,0.0141241369511107,4.385932668460324e-05,-0.1101425235828518,155.70481763465406,154.45908143444956,-1.2457362002045045,False,283.53967850716873,282.29394230696425,-1.245736200204476,False,455.6554655772657,454.4097293770612,-1.245736200204533,False,622.0456879386292,620.7999517384246,-1.245736200204533,False,685.2177681762719,683.9720319760673,-1.245736200204533,False
trial_003_ep1_task005,3,5,0.999,medium,28,PPO high probability,5,27,False,0.7115063476964847,0.7115063476964847,0.0,4.883430125113275e-05,-0.011458316075716263,155.70481763465406,155.70481763465406,0.0,False,283.53967850716873,283.53967850716873,0.0,False,455.6554655772657,455.6554655772657,0.0,False,622.0456879386292,622.0456879386292,0.0,False,685.2177681762719,685.2177681762719,0.0,False
trial_003_ep1_task006,3,6,0.99,low,28,PPO sampled,6,19,False,2.4555854079828174,2.79134211440544,0.33575670642262256,-8.307050152178697e-05,0.17799544314370908,0.0,0.0,0.0,False,253.69671035982822,239.07397691609276,-14.622733443735456,False,400.74895050325966,386.1262170595242,-14.622733443735456,False,532.7792560037077,518.1565225599722,-14.622733443735456,False,603.5324947306508,588.9097612869153,-14.622733443735456,False
trial_003_ep1_task006,3,6,0.99,low,28,PPO high probability,6,27,False,2.4555854079828174,2.4555854079828174,0.0,0.0006660748105469239,0.10131684153766508,0.0,0.0,0.0,False,253.69671035982822,244.47690482165686,-9.219805538171357,False,400.74895050325966,391.5291449650883,-9.219805538171386,False,532.7792560037077,523.5594504655363,-9.219805538171386,False,603.5324947306508,594.3126891924794,-9.219805538171386,False
trial_003_ep1_task008,3,8,0.9999,high,3,PPO sampled,24,26,False,1.387930395751556,1.387930395751556,0.0,1.8556031171068632e-05,0.28184066800105795,0.0,0.0,0.0,False,179.40276517428612,179.40276517428612,0.0,False,411.52765465969435,411.52765465969435,0.0,False,546.5202215741663,546.5202215741663,0.0,False,617.7614127258234,617.7614127258234,0.0,False
