source,Episode,Task_ID,R_req,sampled_action,greedy_action,sampled_regret,greedy_regret,optimal_set_size,top1_hit,top3_hit,top5_hit,optimal_set_probability_mass,uniform_optimal_set_mass,optimal_mass_lift_over_uniform,spearman_logit_reward,kendall_logit_reward,spearman_probability_negative_regret,raw_advantage,normalized_advantage,return,value,next_value,old_log_probability,entropy,reward,delta_t
training,1,1,0.99,4,26,12.798309300209752,12.798309300209752,7,0,1,1,0.2511047013103962,0.25,0.0011047013103961945,0.12031926965890224,0.0802572353905128,0.12031926965890224,294.03192138671875,1.1153441667556765,294.1753845214844,0.143456220626831,0.1689633727073669,-3.4202182292938232,3.3305938243865967,97.9077836888554,3.9130959481160463
training,1,3,0.9999,24,26,10.72533365337165,10.72533365337165,7,0,1,1,0.25118495896458626,0.25,0.001184958964586258,0.1553243625603672,0.1398004275535649,0.1553243625603672,305.7996826171875,1.274085521697998,305.9484558105469,0.1487661302089691,0.1733529269695282,-3.292923212051392,3.330663681030273,111.03418055812172,1.8956521706000125
training,1,4,0.9,20,26,0.25607914168852375,0.0,7,1,1,1,0.25539983063936234,0.25,0.005399830639362335,0.22754824840584054,0.1719797901225274,0.22754824840584054,250.3478546142578,0.5260672569274902,250.52120971679688,0.1733529269695282,0.1452374756336212,-3.2435455322265625,3.3305504322052,43.49281235064617,4.444896388600942
training,1,5,0.999,6,26,13.54874463714853,12.85897343566657,7,0,1,1,0.25111592561006546,0.25,0.0011159256100654602,0.11112821433773609,0.07452457571976187,0.11112821433773609,347.9388122558594,1.8425220251083372,348.08404541015625,0.1452374756336212,0.1797579526901245,-3.4130334854125977,3.3305985927581787,110.96626908380344,0.2046516572018006
training,1,55,0.99,0,26,19.21510170002518,2.2338284365524643,7,0,1,1,0.2510895933955908,0.25,0.0010895933955907822,0.15513387314816793,0.14331649176877287,0.15513387314816793,163.62013244628906,-0.6438477635383606,163.777587890625,0.1574521511793136,0.1775191277265548,-3.346890926361084,3.330605983734131,39.60963822795407,4.440256903375996
training,1,69,0.999,5,26,0.0,3.5800030211144787,7,0,1,1,0.25150929018855095,0.25,0.001509290188550949,0.13591621202209325,0.12038585308576918,0.13591621202209325,210.98489379882807,-0.0049200425855815,211.1204833984375,0.1355865597724914,0.1517307758331298,-3.4653639793396,3.330522298812866,88.00873949800621,2.3974459115710545
training,1,74,0.9,11,26,0.0,9.033433582017253,7,0,1,1,0.25137878954410553,0.25,0.0013787895441055298,0.17908632034878272,0.1605144707810256,0.17908632034878272,303.75811767578125,1.2465457916259766,303.910400390625,0.1522888988256454,0.1581089347600937,-3.3589932918548584,3.330596208572388,89.25822824370225,0.2935154862425122
training,1,80,0.9999,26,26,0.30448250082238815,0.30448250082238815,7,0,1,1,0.2517313100397587,0.25,0.0017313100397586823,0.15243002006939385,0.12237528705642994,0.15243002006939385,285.329833984375,0.9979572296142578,285.4973449707031,0.1674968153238296,0.1791238337755203,-3.211747169494629,3.33057165145874,77.0288583199636,1.8547168296424277
training,1,122,0.99,18,26,17.858827668026997,1.1010499089861838,7,0,1,1,0.2517943046987057,0.25,0.0017943046987056732,0.18799885884203474,0.17771244979327833,0.18799885884203474,230.6669006347656,0.2605806887149811,230.8425750732422,0.1756673753261566,0.1786280870437622,-3.3296990394592285,3.3305060863494877,50.882263399131865,1.403537215365816
training,1,126,0.9999,20,26,1.9053963237171843,0.0,3,1,1,1,0.11506744474172592,0.10714285714285714,0.007924587598868785,0.4772605605618788,0.33601075251612356,0.4772605605618788,220.3404083251953,0.1212813183665275,220.51568603515625,0.1752840876579284,0.1522092968225479,-3.244559526443481,3.330678701400757,47.69573979898989,2.9429215782093365
