Episode,Task_ID,R_req,rho,actor_score,actor_probability,oracle_reward
1,4,0.9,0.021009369147363816,2.614180564880371,0.18236440420150757,34.660076219302276
1,4,0.9,0.032109413745201466,2.6211156845092773,0.18340075016021729,34.660076219302276
1,4,0.9,0.04320945834303912,2.628021717071533,0.18443730473518372,34.660076219302276
1,4,0.9,0.05430950294087677,2.6348981857299805,0.18547390401363373,34.660076219302276
1,4,0.9,0.06540954753871442,2.641745090484619,0.18651053309440613,34.660076219302276
1,4,0.9,0.07650959213655206,2.648562431335449,0.18754710257053375,34.660076219302276
1,4,0.9,0.08760963673438972,2.655350685119629,0.1885836273431778,34.660076219302276
1,4,0.9,0.09870968133222738,2.662108898162842,0.18961995840072632,34.660076219302276
1,4,0.9,0.10980972593006502,2.668837547302246,0.19065608084201813,34.660076219302276
1,4,0.9,0.12090977052790267,2.675536632537842,0.19169193506240845,34.660076219302276
1,4,0.9,0.13200981512574034,2.682206153869629,0.1927274614572525,34.660076219302276
1,4,0.9,0.14310985972357798,2.688845634460449,0.19376257061958313,34.660076219302276
1,4,0.9,0.15420990432141563,2.695455551147461,0.19479723274707794,34.660076219302276
1,4,0.9,0.16530994891925327,2.702035903930664,0.19583144783973694,34.660076219302276
1,4,0.9,0.17640999351709094,2.7085866928100586,0.19686514139175415,34.660076219302276
1,4,0.9,0.18751003811492858,2.7151074409484863,0.19789816439151764,34.660076219302276
1,4,0.9,0.19861008271276623,2.7215981483459473,0.1989305019378662,34.660076219302276
1,4,0.9,0.20971012731060387,2.728059768676758,0.19996219873428345,34.660076219302276
1,4,0.9,0.22081017190844152,2.7344908714294434,0.20099303126335144,34.660076219302276
1,4,0.9,0.2319102165062792,2.7408924102783203,0.20202302932739258,34.660076219302276
1,4,0.9,0.24301026110411683,2.7472643852233887,0.20305220782756805,34.660076219302276
1,4,0.9,0.2541103057019545,2.7536063194274902,0.20408041775226593,34.660076219302276
1,4,0.9,0.2652103502997921,2.759918689727783,0.2051076591014862,34.660076219302276
