source,Episode,Task_ID,R_req,sampled_action,greedy_action,sampled_regret,greedy_regret,optimal_set_size,top1_hit,top3_hit,top5_hit,optimal_set_probability_mass,uniform_optimal_set_mass,optimal_mass_lift_over_uniform,spearman_logit_reward,kendall_logit_reward,spearman_probability_negative_regret
evaluation,1,142,0.99,27,27,84.6075590742835,84.6075590742835,7,0,0,1,0.2469156002625823,0.25,-0.003084399737417698,0.2016461834098269,0.131851172427271,0.2016461834098269
evaluation,1,145,0.9,27,27,16.313977213295225,16.313977213295225,7,0,1,1,0.44599207071587443,0.25,0.19599207071587443,0.3361698112923495,0.28663298353754574,0.3361698112923495
evaluation,1,146,0.999,27,27,20.569629494065467,20.569629494065467,2,0,1,1,0.3270731121301651,0.07142857142857142,0.2556445407015937,0.8186670392800559,0.6384111560119609,0.8186670392800559
evaluation,1,154,0.9999,27,27,8.553900938893774,8.553900938893774,1,0,1,1,0.17611637711524963,0.03571428571428571,0.14040209140096394,0.8067870826491516,0.6243386243386243,0.8067870826491516
evaluation,1,155,0.999,27,27,29.132263535715502,29.132263535715502,4,0,1,1,0.39459117129445076,0.14285714285714285,0.2517340284373079,0.8059749961485508,0.6240199689585151,0.8059749961485508
evaluation,1,156,0.99,27,27,0.0,0.0,4,1,1,1,0.42548916302621365,0.14285714285714285,0.2826320201690708,0.759384438384492,0.6102132539528264,0.759384438384492
evaluation,1,163,0.9,27,27,0.0,0.0,7,1,1,1,0.5362010076642036,0.25,0.28620100766420364,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,1,167,0.9999,27,27,4.703074787751186,4.703074787751186,1,0,1,1,0.17576593160629272,0.03571428571428571,0.14005164589200703,0.8341543513957307,0.6666666666666666,0.8341543513957307
evaluation,1,170,0.999,27,27,26.512599117560427,26.512599117560427,4,0,1,1,0.39525771886110306,0.14285714285714285,0.2524005760039602,0.8081673796810868,0.6240199689585151,0.8081673796810868
evaluation,1,178,0.9,27,27,0.0,0.0,7,1,1,1,0.5355142212938517,0.25,0.28551422129385173,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,1,179,0.99,27,27,0.0,0.0,4,1,1,1,0.4234656039625406,0.14285714285714285,0.2806084611053978,0.7696016108282105,0.6157355458438022,0.7696016108282105
evaluation,1,186,0.9,27,27,12.447712429779344,12.447712429779344,7,0,1,1,0.4392722563352436,0.25,0.18927225633524358,0.35817264069756544,0.2923656432082966,0.35817264069756544
evaluation,1,187,0.9999,27,27,37.53540026629753,37.53540026629753,3,0,1,1,0.3843286968767643,0.10714285714285714,0.27718583973390715,0.8258489737875683,0.6401113218879753,0.8258489737875683
evaluation,1,195,0.99,27,27,19.652239623489244,19.652239623489244,7,0,1,1,0.44538806984201074,0.25,0.19538806984201074,0.5668397491578812,0.45746565011979523,0.5668397491578812
evaluation,1,197,0.999,27,27,29.922194088633386,29.922194088633386,4,0,1,1,0.3913207594305277,0.14285714285714285,0.24846361657338484,0.8043307084991488,0.6186864649503226,0.8043307084991488
evaluation,1,199,0.9,27,27,42.89745519008112,42.89745519008112,7,0,1,1,0.44035006524063647,0.25,0.19035006524063647,0.3158380828546184,0.25796968518379115,0.3158380828546184
evaluation,1,200,0.9999,27,27,19.446637937088358,19.446637937088358,1,0,1,1,0.16874189674854279,0.03571428571428571,0.1330276110342571,0.7235905856595511,0.566137566137566,0.7235905856595511
evaluation,2,1,0.99,27,27,0.0,0.0,7,1,1,1,0.5379540000576526,0.25,0.2879540000576526,0.6071666848527937,0.45861277366007314,0.6071666848527937
evaluation,2,3,0.9999,27,27,47.20008496850944,47.20008496850944,6,0,1,1,0.4338319005910307,0.21428571428571427,0.21954618630531644,0.32031388164968244,0.23918806106484036,0.32031388164968244
evaluation,2,4,0.9,27,27,0.0,0.0,7,1,1,1,0.47971548163332045,0.25,0.22971548163332045,0.6570211970494222,0.5388700090505859,0.6570211970494222
evaluation,2,5,0.999,27,27,0.0,0.0,7,1,1,1,0.545245009008795,0.25,0.295245009008795,0.6071666848527937,0.45861277366007314,0.6071666848527937
evaluation,2,15,0.999,27,27,27.073081147982307,27.073081147982307,7,0,1,1,0.4451225169468671,0.25,0.1951225169468671,0.3041403760822251,0.25796968518379115,0.3041403760822251
evaluation,2,17,0.99,27,27,0.0,0.0,7,1,1,1,0.5410772538743913,0.25,0.2910772538743913,0.6815306779058652,0.5560679880628386,0.6815306779058652
evaluation,2,18,0.9,27,27,0.0,0.0,7,1,1,1,0.5348314521834254,0.25,0.2848314521834254,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,2,24,0.9,27,27,27.545003010637842,27.545003010637842,7,0,1,1,0.44555737311020494,0.25,0.19555737311020494,0.2849227149561504,0.23503904650078747,0.2849227149561504
evaluation,2,25,0.9999,27,27,12.36057295056952,12.36057295056952,1,0,1,1,0.16033175587654114,0.03571428571428571,0.12461747016225543,0.5288079972882207,0.40529836875448133,0.5288079972882207
evaluation,2,33,0.99,27,27,17.899056760899526,17.899056760899526,7,0,1,1,0.4465214197989553,0.25,0.19652141979895532,0.3361698112923495,0.28663298353754574,0.3361698112923495
evaluation,2,42,0.99,27,27,0.0,0.0,7,1,1,1,0.48389921500347555,0.25,0.23389921500347555,0.6495012426957407,0.533137349379835,0.6495012426957407
evaluation,2,46,0.9999,27,27,0.0,0.0,1,1,1,1,0.20319853723049164,0.03571428571428571,0.16748425151620594,0.6097427476737821,0.4761904761904762,0.6097427476737821
evaluation,2,47,0.9,27,27,4.20258528441736,4.20258528441736,7,0,1,1,0.442246884573251,0.25,0.192246884573251,0.4642875521328473,0.3496922399158057,0.4642875521328473
evaluation,2,48,0.999,27,27,24.169528361582046,24.169528361582046,6,0,1,1,0.4296174750197679,0.21428571428571427,0.2153317607340536,0.34822734329473676,0.2781256524009772,0.34822734329473676
evaluation,2,55,0.99,27,27,16.299864947321694,16.299864947321694,7,0,1,1,0.439497274113819,0.25,0.189497274113819,0.2999626236635132,0.2522370255130402,0.2999626236635132
evaluation,2,60,0.999,27,27,22.041940142008997,22.041940142008997,6,0,1,1,0.43686458212323487,0.21428571428571427,0.2225788678375206,0.38830112486436913,0.3115007306890944,0.38830112486436913
evaluation,2,64,0.99,27,27,0.0,0.0,7,1,1,1,0.5451441556215286,0.25,0.2951441556215286,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,2,68,0.99,27,27,0.0,0.0,7,1,1,1,0.5423198014032096,0.25,0.29231980140320957,0.6884935986037184,0.5732659670750915,0.6884935986037184
evaluation,2,73,0.9999,27,27,0.0,0.0,6,1,1,1,0.4735578200779855,0.21428571428571427,0.2592721057922712,0.538183561211215,0.41746836453909475,0.538183561211215
evaluation,2,74,0.9,27,27,3.7081232108541826,3.7081232108541826,7,0,1,1,0.43651521974243224,0.25,0.18651521974243224,0.46735123723990263,0.3382269205743039,0.46735123723990263
evaluation,2,75,0.999,27,27,0.0,0.0,7,1,1,1,0.5451968377456069,0.25,0.2951968377456069,0.6304487385683041,0.49681846199389745,0.6304487385683041
evaluation,2,87,0.9999,27,27,26.274187706664517,26.274187706664517,1,0,1,1,0.1589050590991974,0.03571428571428571,0.12319077338491168,0.5183360700602079,0.4021164021164021,0.5183360700602079
evaluation,2,93,0.999,27,27,0.0,0.0,6,1,1,1,0.5297095256391913,0.21428571428571427,0.31542381135347697,0.5961858190807703,0.47767824856940705,0.5961858190807703
evaluation,2,96,0.9,27,27,1.4029952268936654,1.4029952268936654,7,0,1,1,0.43974613631144166,0.25,0.18974613631144166,0.4804415281518666,0.3783555382695603,0.4804415281518666
evaluation,2,98,0.9999,27,27,7.569302626276553,7.569302626276553,7,0,0,1,0.23607048718258739,0.25,-0.013929512817412615,0.3510407659436871,0.21901353193768675,0.3510407659436871
evaluation,2,103,0.99,27,27,18.697892655828372,18.697892655828372,7,0,1,1,0.4462751552928239,0.25,0.1962751552928239,0.3445803890811753,0.2807316289684093,0.3445803890811753
evaluation,2,106,0.9,27,27,58.358433108492356,58.358433108492356,7,0,1,1,0.4456705218181014,0.25,0.1956705218181014,0.3364483281202637,0.2923656432082966,0.3364483281202637
evaluation,2,110,0.9999,27,27,52.854736169254394,52.854736169254394,2,0,1,1,0.3196248263120651,0.07142857142857142,0.2481962548834937,0.49911024058317865,0.40106560002109654,0.49911024058317865
evaluation,2,119,0.9999,27,27,20.013397442334742,20.013397442334742,1,0,1,1,0.157819926738739,0.03571428571428571,0.1221056410244533,0.42419266557197594,0.32275132275132273,0.42419266557197594
evaluation,2,122,0.99,27,27,55.326480433220276,55.326480433220276,7,0,1,1,0.4473948450759053,0.25,0.19739484507590532,0.348424551720571,0.2980983028790475,0.348424551720571
evaluation,2,124,0.9,27,27,56.57252207184206,56.57252207184206,7,0,1,1,0.4468800947070122,0.25,0.19688009470701218,0.3514882368276264,0.30383096254979847,0.3514882368276264
evaluation,2,125,0.999,27,27,19.206454370475512,19.206454370475512,6,0,1,1,0.44214200717397034,0.21428571428571427,0.22785629288825607,0.3705279895784419,0.2875738488403784,0.3705279895784419
evaluation,2,135,0.999,27,27,0.0,0.0,7,1,1,1,0.4857368210796267,0.25,0.23573682107962668,0.5500566150255957,0.4252451194342416,0.5500566150255957
evaluation,2,142,0.99,27,27,0.0,0.0,7,1,1,1,0.5357975729275495,0.25,0.2857975729275495,0.6071666848527937,0.45861277366007314,0.6071666848527937
evaluation,2,145,0.9,27,27,0.0,0.0,7,1,1,1,0.48278503911569715,0.25,0.23278503911569715,0.6495012426957407,0.533137349379835,0.6495012426957407
evaluation,2,146,0.999,27,27,4.010505592265545,4.010505592265545,6,0,1,1,0.43395021720789373,0.21428571428571427,0.21966450292217946,0.46680896790964765,0.3491919827460202,0.46680896790964765
evaluation,2,154,0.9999,27,27,31.124114254064292,31.124114254064292,2,0,1,1,0.3314030170440674,0.07142857142857142,0.259974445615496,0.5296291277187923,0.40529836875448133,0.5296291277187923
evaluation,2,155,0.999,27,27,39.51476958766049,39.51476958766049,6,0,1,1,0.4365741645451635,0.21428571428571427,0.22228845025944924,0.3708897576996323,0.30593821764107487,0.3708897576996323
evaluation,2,156,0.99,27,27,14.166942268042863,14.166942268042863,7,0,1,1,0.4458891157992184,0.25,0.19588911579921842,0.3331061261852941,0.28090032386679475,0.3331061261852941
evaluation,2,163,0.9,27,27,0.0,0.0,7,1,1,1,0.5362010076642036,0.25,0.28620100766420364,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,2,167,0.9999,27,27,0.0,0.0,1,1,1,1,0.2026614397764206,0.03571428571428571,0.1669471540621349,0.5380405035577449,0.41798941798941797,0.5380405035577449
evaluation,2,170,0.999,27,27,0.0,0.0,7,1,1,1,0.48565173521637917,0.25,0.23565173521637917,0.6321534540763332,0.4992872412627318,0.6321534540763332
evaluation,2,178,0.9,27,27,0.0,0.0,7,1,1,1,0.5367145140189677,0.25,0.28671451401896775,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,2,179,0.99,27,27,0.0,0.0,7,1,1,1,0.4833840394858271,0.25,0.2333840394858271,0.6570211970494222,0.5388700090505859,0.6570211970494222
evaluation,2,186,0.9,27,27,0.0,0.0,7,1,1,1,0.5340349527541548,0.25,0.2840349527541548,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,2,187,0.9999,27,27,0.0,0.0,6,1,1,1,0.5362264465074986,0.21428571428571427,0.3219407322217843,0.591402108810799,0.47210756067261933,0.591402108810799
evaluation,2,195,0.99,27,27,28.94938117403665,28.94938117403665,7,0,1,1,0.45302952034398913,0.25,0.20302952034398913,0.3074825780171946,0.26943500452529295,0.3074825780171946
evaluation,2,197,0.999,27,27,0.0,0.0,7,1,1,1,0.5486609821673483,0.25,0.29866098216734827,0.6304487385683041,0.49681846199389745,0.6304487385683041
evaluation,2,199,0.9,27,27,26.673762043877204,26.673762043877204,7,0,1,1,0.44498708937317133,0.25,0.19498708937317133,0.2938352534494024,0.24077170617153837,0.2938352534494024
evaluation,2,200,0.9999,27,27,0.0,0.0,1,1,1,1,0.2049686163663864,0.03571428571428571,0.16925433065210072,0.5834701696770662,0.4497354497354497,0.5834701696770662
evaluation,3,1,0.99,27,27,0.0,0.0,7,1,1,1,0.5379540000576526,0.25,0.2879540000576526,0.6071666848527937,0.45861277366007314,0.6071666848527937
evaluation,3,3,0.9999,27,27,37.297431704714654,37.297431704714654,7,0,1,1,0.44470069627277553,0.25,0.19470069627277553,0.21250833969847777,0.1662471304517765,0.21250833969847777
evaluation,3,4,0.9,27,27,0.0,0.0,7,1,1,1,0.47971548163332045,0.25,0.22971548163332045,0.6570211970494222,0.5388700090505859,0.6570211970494222
evaluation,3,5,0.999,27,27,32.230035515746565,32.230035515746565,7,0,0,1,0.23490665829740465,0.25,-0.015093341702595353,0.17630115206964145,0.11465319341501828,0.17630115206964145
evaluation,3,15,0.999,27,27,75.66505859360865,75.66505859360865,7,0,1,1,0.44590347819030285,0.25,0.19590347819030285,0.3088751621567652,0.26943500452529295,0.3088751621567652
evaluation,3,17,0.99,27,27,31.781809886389084,31.781809886389084,7,0,1,1,0.4420193023979664,0.25,0.19201930239796638,0.23395413544786547,0.19491042880553108,0.23395413544786547
evaluation,3,18,0.9,27,27,15.032477045796387,15.032477045796387,7,0,1,1,0.4397064046934247,0.25,0.1897064046934247,0.32196545306872915,0.2751676641960439,0.32196545306872915
evaluation,3,24,0.9,27,27,0.0,0.0,7,1,1,1,0.48256827937439084,0.25,0.23256827937439084,0.64337387248163,0.5102067106968313,0.64337387248163
evaluation,3,25,0.9999,27,27,0.0,0.0,3,1,1,1,0.4290958307683468,0.10714285714285714,0.32195297362548964,0.7800946642621309,0.6024533658898498,0.7800946642621309
evaluation,3,33,0.99,27,27,0.0,0.0,7,1,1,1,0.5428611310198903,0.25,0.2928611310198903,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,3,42,0.99,27,27,0.0,0.0,7,1,1,1,0.48389921500347555,0.25,0.23389921500347555,0.6495012426957407,0.533137349379835,0.6495012426957407
evaluation,3,46,0.9999,27,27,0.0,0.0,3,1,1,1,0.41048621758818626,0.10714285714285714,0.3033433604453291,0.7683462269389644,0.5763657960568076,0.7683462269389644
evaluation,3,47,0.9,27,27,0.0,0.0,7,1,1,1,0.48118877271190286,0.25,0.23118877271190286,0.585720889103406,0.4528801139893222,0.585720889103406
evaluation,3,48,0.999,27,27,29.036283216824906,29.036283216824906,7,0,1,1,0.4486953020095825,0.25,0.19869530200958252,0.2938352534494024,0.24077170617153837,0.2938352534494024
evaluation,3,55,0.99,27,27,13.220283427644723,13.220283427644723,7,0,1,1,0.4435800174251199,0.25,0.19358001742511988,0.3982790639171995,0.31529628189130027,0.3982790639171995
evaluation,3,60,0.999,27,27,0.0,0.0,7,1,1,1,0.550522947916761,0.25,0.30052294791676104,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,3,64,0.99,27,27,0.0,0.0,7,1,1,1,0.5450346430297941,0.25,0.2950346430297941,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,3,68,0.99,27,27,0.0,0.0,7,1,1,1,0.4807534634601325,0.25,0.23075346346013248,0.47988449449603826,0.3783555382695603,0.47988449449603826
evaluation,3,73,0.9999,27,27,0.0,0.0,7,1,1,1,0.48662168020382524,0.25,0.23662168020382524,0.6770285356089398,0.5233670255931882,0.6770285356089398
evaluation,3,74,0.9,27,27,0.0,0.0,7,1,1,1,0.5311409644782543,0.25,0.2811409644782543,0.6806951274221228,0.5503353283920878,0.6806951274221228
evaluation,3,75,0.999,27,27,0.0,0.0,7,1,1,1,0.5451968377456069,0.25,0.2951968377456069,0.6884935986037184,0.5732659670750915,0.6884935986037184
evaluation,3,87,0.9999,27,27,21.589801900838108,21.589801900838108,3,0,1,1,0.3743656389415264,0.10714285714285714,0.26722278179866926,0.7714639628176689,0.5744762120908161,0.7714639628176689
evaluation,3,93,0.999,27,27,0.0,0.0,7,1,1,1,0.5472393278032541,0.25,0.2972393278032541,0.6865756604203656,0.5569373311637885,0.6865756604203656
evaluation,3,96,0.9,27,27,0.0,0.0,7,1,1,1,0.4791600853204727,0.25,0.22916008532047272,0.6570211970494222,0.5388700090505859,0.6570211970494222
evaluation,3,98,0.9999,27,27,0.0,0.0,7,1,1,1,0.5411781491711736,0.25,0.2911781491711736,0.5960260117362286,0.4528801139893222,0.5960260117362286
evaluation,3,103,0.99,27,27,11.771653784808755,11.771653784808755,7,0,1,1,0.45043855160474777,0.25,0.20043855160474777,0.35009565268805576,0.28663298353754574,0.35009565268805576
evaluation,3,106,0.9,27,27,11.687222298287715,11.687222298287715,7,0,1,1,0.4418457201682031,0.25,0.19184572016820312,0.3913161432193463,0.30956362222054934,0.3913161432193463
evaluation,3,110,0.9999,27,27,7.542393138854948,7.542393138854948,5,0,1,1,0.4348292136564851,0.17857142857142858,0.2562577850850565,0.6907094149737487,0.5164950785907906,0.6907094149737487
evaluation,3,119,0.9999,27,27,20.02449290137322,20.02449290137322,1,0,1,1,0.15848706662654877,0.03571428571428571,0.12277278091226305,0.8007662835249042,0.6137566137566137,0.8007662835249042
evaluation,3,122,0.99,27,27,46.55577039467376,46.55577039467376,7,0,1,1,0.44606158579699695,0.25,0.19606158579699695,0.33338464301320825,0.28663298353754574,0.33338464301320825
evaluation,3,124,0.9,27,27,33.36118548134831,33.36118548134831,7,0,1,1,0.44623288977891207,0.25,0.19623288977891207,0.3186232511337596,0.28090032386679475,0.3186232511337596
evaluation,3,125,0.999,27,27,0.0,0.0,7,1,1,1,0.5471398057416081,0.25,0.29713980574160814,0.6769601876259819,0.5526459987153869,0.6769601876259819
evaluation,3,135,0.999,27,27,7.421236124661462,7.421236124661462,7,0,1,1,0.44749459880404174,0.25,0.19749459880404174,0.5555123338958717,0.4243347939698679,0.5555123338958717
evaluation,3,142,0.99,27,27,24.920963997881472,24.920963997881472,7,0,0,1,0.24194088228978217,0.25,-0.008059117710217834,0.20359580120522575,0.131851172427271,0.20359580120522575
evaluation,3,145,0.9,27,27,0.0,0.0,7,1,1,1,0.4805467720143497,0.25,0.2305467720143497,0.48406224691475014,0.38982085761106217,0.48406224691475014
evaluation,3,146,0.999,27,27,0.0,0.0,7,1,1,1,0.4863071469590068,0.25,0.2363071469590068,0.6491389458444028,0.5168786172481726,0.6491389458444028
evaluation,3,154,0.9999,27,27,19.96573557790586,19.96573557790586,3,0,1,1,0.3751506805419922,0.10714285714285714,0.26800782339913504,0.7387019749326676,0.5566035479040832,0.7387019749326676
evaluation,3,155,0.999,27,27,0.0,0.0,7,1,1,1,0.4866512082517147,0.25,0.2366512082517147,0.584388620620407,0.4536381220615677,0.584388620620407
evaluation,3,156,0.99,27,27,0.0,0.0,7,1,1,1,0.48504709429107606,0.25,0.23504709429107606,0.5974185958757993,0.48154341234307674,0.5974185958757993
evaluation,3,163,0.9,27,27,0.0,0.0,7,1,1,1,0.5362821486778557,0.25,0.28628214867785573,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,3,167,0.9999,27,27,20.125263417532675,20.125263417532675,2,0,1,1,0.3263552337884903,0.07142857142857142,0.2549266623599189,0.8006021698074769,0.6013250307664527,0.8006021698074769
evaluation,3,170,0.999,27,27,0.0,0.0,7,1,1,1,0.48565173521637917,0.25,0.23565173521637917,0.6495012426957407,0.533137349379835,0.6495012426957407
evaluation,3,178,0.9,27,27,47.907781391169195,47.907781391169195,7,0,1,1,0.4411461560521275,0.25,0.19114615605212748,0.3155595660267042,0.2751676641960439,0.3155595660267042
evaluation,3,179,0.99,27,27,23.88807722496826,23.88807722496826,7,0,1,1,0.44465345493517816,0.25,0.19465345493517816,0.3155595660267042,0.2751676641960439,0.3155595660267042
evaluation,3,186,0.9,27,27,28.846605922688834,28.846605922688834,7,0,1,1,0.44098810898140073,0.25,0.19098810898140073,0.3364483281202637,0.2923656432082966,0.3364483281202637
evaluation,3,187,0.9999,27,27,82.04534443261754,82.04534443261754,7,0,1,1,0.44829358672723174,0.25,0.19829358672723174,0.40636877208845956,0.31615720308702566,0.40636877208845956
evaluation,3,195,0.99,27,27,39.84191510440071,39.84191510440071,7,0,1,1,0.44892516755498946,0.25,0.19892516755498946,0.32976392425032464,0.28663298353754574,0.32976392425032464
evaluation,3,197,0.999,27,27,20.729537181158598,20.729537181158598,7,0,1,1,0.45003086561337113,0.25,0.20003086561337113,0.3894367399181071,0.3218028674278654,0.3894367399181071
evaluation,3,199,0.9,27,27,31.930149739480523,31.930149739480523,7,0,1,1,0.4421625470276922,0.25,0.1921625470276922,0.29940559000768496,0.2465043658422893,0.29940559000768496
evaluation,3,200,0.9999,27,27,4.247855924961144,4.247855924961144,2,0,1,1,0.336273655295372,0.07142857142857142,0.2648450838668006,0.7424035317863664,0.5676412542206469,0.7424035317863664
evaluation,4,1,0.99,27,27,0.0,0.0,7,1,1,1,0.5379540000576526,0.25,0.2879540000576526,0.6071666848527937,0.45861277366007314,0.6071666848527937
evaluation,4,3,0.9999,27,27,0.0,0.0,7,1,1,1,0.5502560143359005,0.25,0.30025601433590055,0.6909850431530571,0.5714938887484886,0.6909850431530571
evaluation,4,4,0.9,27,27,0.0,0.0,7,1,1,1,0.47971548163332045,0.25,0.22971548163332045,0.6570211970494222,0.5388700090505859,0.6570211970494222
