R_req,N,spearman_logit_reward_mean,spearman_logit_reward_median,spearman_logit_reward_p25,spearman_logit_reward_p75,spearman_logit_reward_p90,spearman_logit_reward_ci_low,spearman_logit_reward_ci_high,kendall_logit_reward_mean,kendall_logit_reward_median,kendall_logit_reward_p25,kendall_logit_reward_p75,kendall_logit_reward_p90,kendall_logit_reward_ci_low,kendall_logit_reward_ci_high,spearman_probability_negative_regret_mean,spearman_probability_negative_regret_median,spearman_probability_negative_regret_p25,spearman_probability_negative_regret_p75,spearman_probability_negative_regret_p90,spearman_probability_negative_regret_ci_low,spearman_probability_negative_regret_ci_high,top1_hit_mean,top1_hit_median,top1_hit_p25,top1_hit_p75,top1_hit_p90,top1_hit_ci_low,top1_hit_ci_high,top3_hit_mean,top3_hit_median,top3_hit_p25,top3_hit_p75,top3_hit_p90,top3_hit_ci_low,top3_hit_ci_high,top5_hit_mean,top5_hit_median,top5_hit_p25,top5_hit_p75,top5_hit_p90,top5_hit_ci_low,top5_hit_ci_high,optimal_set_probability_mass_mean,optimal_set_probability_mass_median,optimal_set_probability_mass_p25,optimal_set_probability_mass_p75,optimal_set_probability_mass_p90,optimal_set_probability_mass_ci_low,optimal_set_probability_mass_ci_high,uniform_optimal_set_mass_mean,uniform_optimal_set_mass_median,uniform_optimal_set_mass_p25,uniform_optimal_set_mass_p75,uniform_optimal_set_mass_p90,uniform_optimal_set_mass_ci_low,uniform_optimal_set_mass_ci_high,optimal_mass_lift_over_uniform_mean,optimal_mass_lift_over_uniform_median,optimal_mass_lift_over_uniform_p25,optimal_mass_lift_over_uniform_p75,optimal_mass_lift_over_uniform_p90,optimal_mass_lift_over_uniform_ci_low,optimal_mass_lift_over_uniform_ci_high,sampled_regret_mean,sampled_regret_median,sampled_regret_p25,sampled_regret_p75,sampled_regret_p90,sampled_regret_ci_low,sampled_regret_ci_high,greedy_regret_mean,greedy_regret_median,greedy_regret_p25,greedy_regret_p75,greedy_regret_p90,greedy_regret_ci_low,greedy_regret_ci_high
0.9,260,0.4962128521284976,0.4988236387941988,0.3333846430132082,0.6570211970494222,0.6893291490874607,0.4759992834631261,0.5156983850066216,0.40662325819249917,0.395553517281813,0.2866329835375457,0.5388700090505859,0.5789986267458422,0.39038810236287574,0.42290842279721647,0.4962128521284976,0.4988236387941988,0.3333846430132082,0.6570211970494222,0.6893291490874607,0.4759992834631261,0.5156983850066216,0.47307692307692306,0.0,0.0,1.0,1.0,0.4115384615384615,0.5346153846153846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47205242009905096,0.448531876783818,0.44206667388789356,0.482579093426466,0.5348796762060374,0.46775650004160035,0.47652883352532693,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.22205242009905096,0.19853187678381795,0.19206667388789353,0.232579093426466,0.2848796762060373,0.21775650004160035,0.22652883352532696,12.892045351127784,2.5416674115592386,0.0,22.38970202137191,40.47281549095879,10.770124142871476,14.985864161011037,12.892045351127784,2.5416674115592386,0.0,22.38970202137191,40.47281549095879,10.770124142871476,14.985864161011037
0.99,260,0.4951108797836298,0.5143409288531031,0.3333846430132082,0.6495012426957407,0.6893291490874607,0.47572164225373875,0.5143299841067563,0.40048303514133843,0.40895827406167806,0.2866329835375457,0.533137349379835,0.5752593363499374,0.3843183423552756,0.4164946999440721,0.4951108797836298,0.5143409288531031,0.3333846430132082,0.6495012426957407,0.6893291490874607,0.47572164225373875,0.5143299841067563,0.49230769230769234,0.0,0.0,1.0,1.0,0.4307692307692308,0.55,0.9384615384615385,1.0,1.0,1.0,1.0,0.9076923076923077,0.9653846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4660102221147659,0.4505468589486554,0.44521625404013315,0.5357975729275495,0.5410772538743913,0.45715284828868996,0.4744369917730532,0.24752747252747254,0.25,0.25,0.25,0.25,0.24587912087912087,0.24903846153846154,0.21848274958729333,0.22820840543135995,0.19550991192227227,0.2857975729275495,0.2910772538743913,0.2098651799971588,0.22707521022019836,14.954564769727854,1.1139282946393863,0.0,25.260048219574458,45.5116240455614,12.478508279953806,17.593763247221723,14.954564769727854,1.1139282946393863,0.0,25.260048219574458,45.5116240455614,12.478508279953806,17.593763247221723
0.999,240,0.5582001922266251,0.6026189258200276,0.3952337666123663,0.6893291490874607,0.8061525238958306,0.533793208754033,0.5810378878920734,0.44545122077800414,0.4586127736600731,0.316448274788632,0.5747760554831909,0.6493409886100087,0.4252250334514357,0.4646250374385201,0.5582001922266251,0.6026189258200276,0.3952337666123663,0.6893291490874607,0.8061525238958306,0.533793208754033,0.5810378878920734,0.3958333333333333,0.0,0.0,1.0,1.0,0.3333333333333333,0.4583333333333333,0.9458333333333333,1.0,1.0,1.0,1.0,0.9125,0.9708333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4393999669720264,0.44665982876904303,0.42261257674545044,0.48680949106346816,0.5457225874532015,0.42757045272839606,0.4499980963801014,0.20982142857142855,0.25,0.1785714285714285,0.25,0.25,0.2028273809523809,0.21666666666666665,0.22957853840059775,0.2365210080752149,0.1984560412820428,0.28340445818113424,0.2986609821673482,0.2189721016029874,0.23875040643011394,18.227774707615588,12.259770856475654,0.0,28.96122601711761,44.165127241270916,15.61499256173359,21.03493964489583,18.227774707615588,12.259770856475654,0.0,28.96122601711761,44.165127241270916,15.61499256173359,21.03493964489583
0.9999,240,0.6391188428300388,0.6796701364107388,0.5129728009074929,0.808799267636821,0.886191796142016,0.6105444806449146,0.6664279390919791,0.49594559121140475,0.5175376315047621,0.3756613756613756,0.6312629557357818,0.7285585187316103,0.47143446968917907,0.5196905291976003,0.6391188428300388,0.6796701364107388,0.5129728009074929,0.808799267636821,0.886191796142016,0.6105444806449146,0.6664279390919791,0.2625,0.0,0.0,1.0,1.0,0.20833333333333334,0.32083333333333336,0.7333333333333333,1.0,0.0,1.0,1.0,0.675,0.7916666666666666,0.85,1.0,1.0,1.0,1.0,0.8041666666666667,0.8958333333333334,0.2678876562829828,0.20919412001967425,0.15887274965643883,0.42956369416788215,0.48730315645225336,0.24797574789794452,0.2882298169034038,0.10848214285714282,0.0714285714285714,0.0357142857142857,0.1785714285714285,0.25,0.09880952380952378,0.11860119047619043,0.15940551342583992,0.15936039175306044,0.06333947966673541,0.2574232766138655,0.2944936202839017,0.14613853276778604,0.17305884553049894,23.64296414593277,13.918815799702323,0.0,42.81769171817223,63.68988990422298,20.27721232241795,27.11099231090239,23.64296414593277,13.918815799702323,0.0,42.81769171817223,63.68988990422298,20.27721232241795,27.11099231090239
