R_req,Spearman,Kendall,Top1_hit,Top3_hit,Top5_hit,M_star,Uniform_mass,M_star_lift,Mean_greedy_regret,Corr_normA_negRegret
0.9,0.4962128521284976,0.4066232581924991,0.473076923076923,1.0,1.0,0.4720524200990509,0.25,0.2220524200990509,12.892045351127784,0.1188685169683502
0.99,0.4951108797836298,0.4004830351413384,0.4923076923076923,0.9384615384615383,1.0,0.4660102221147659,0.2475274725274725,0.2184827495872933,14.954564769727854,-0.0281515978231303
0.999,0.5582001922266251,0.4454512207780041,0.3958333333333333,0.9458333333333332,1.0,0.4393999669720264,0.2098214285714285,0.2295785384005977,18.227774707615588,0.1482777562698639
0.9999,0.6391188428300388,0.4959455912114047,0.2625,0.7333333333333333,0.85,0.2678876562829828,0.1084821428571428,0.1594055134258399,23.64296414593277,0.3124748986709988
