R_req,advantage_type,N,advantage_mean,advantage_std,positive_fraction,oracle_regret_mean,optimal_set_hit_rate,pearson_with_negative_regret,spearman_with_negative_regret
0.9,raw_advantage,1200,193.910577583313,108.3947449001809,0.985,5.719003986537273,0.37333333333333335,0.1847537426019556,0.1294799277078214
0.9,normalized_advantage,1200,-0.25525706240558066,1.2436472473515428,0.5183333333333333,5.719003986537273,0.37333333333333335,0.174879360733449,0.11886851696835023
0.99,raw_advantage,1200,225.01623739242552,99.25318236279507,1.0,7.088568280439202,0.3908333333333333,-0.03229759445044252,-0.021421853315253925
0.99,normalized_advantage,1200,0.10355420089569331,1.1267086288919743,0.5458333333333333,7.088568280439202,0.3908333333333333,-0.04063791482536168,-0.02815159782313032
0.999,raw_advantage,1200,189.63991661190985,104.23835904486491,0.9675,13.772568323891019,0.3575,0.2950875740069193,0.17039449844652974
0.999,normalized_advantage,1200,-0.303579585008362,1.165636326248672,0.4508333333333333,13.772568323891019,0.3575,0.24155090998911383,0.14827775626986395
0.9999,raw_advantage,1200,173.9601780796051,134.98793314307284,0.8191666666666667,32.50897868100476,0.2816666666666667,0.2831468468746302,0.34597842410486107
0.9999,normalized_advantage,1200,-0.48236582178331444,1.5378122769575178,0.44916666666666666,32.50897868100476,0.2816666666666667,0.2562532044068393,0.3124748986709988
