Episode,sampled_78_frequency,greedy_78_frequency,mean_78_probability,mean_78_advantage_when_selected,positive_78_advantage_fraction
92,0.07,0.035,0.06292981963604688,0.3447847068309784,0.6428571428571429
93,0.03,0.03,0.06340546235442161,0.07415579259395604,0.5
94,0.06,0.045,0.06365378802642226,0.14351321601619324,0.5833333333333334
95,0.07,0.095,0.06399843864142894,0.6129429279161351,0.5714285714285714
96,0.06,0.08,0.06432424684986472,0.17204861560215554,0.5833333333333334
97,0.075,0.085,0.06407705202698707,0.005353258550167056,0.4
98,0.02,0.07,0.06442307323217392,0.26716817542910576,0.5
99,0.06,0.07,0.06503563392907381,0.37281883880496025,0.5833333333333334
100,0.075,0.11,0.06545948663726449,0.36572588235139847,0.8
101,0.075,0.045,0.06592059316113591,0.40713110665480295,0.7333333333333333
102,0.065,0.045,0.06650921184569597,-0.03353632098207107,0.38461538461538464
103,0.065,0.07,0.06771630611270667,0.6905220059248117,0.8461538461538461
104,0.065,0.085,0.06895275268703699,0.7772520826413081,0.8461538461538461
105,0.08,0.095,0.06976164869964123,0.20950477430596948,0.5
106,0.055,0.055,0.06977733999490737,-0.25302580794827506,0.45454545454545453
107,0.05,0.08,0.06999344911426306,0.1863203514367342,0.4
108,0.095,0.135,0.07122868031263352,0.576918302201911,0.7368421052631579
109,0.075,0.15,0.07227476600557566,0.429209474225839,0.7333333333333333
110,0.105,0.175,0.07338464487344026,0.3045856127781527,0.6190476190476191
111,0.085,0.2,0.07391911160200834,-0.14941451260272196,0.4117647058823529
112,0.085,0.175,0.07477430745959282,0.25220539398929653,0.5294117647058824
113,0.065,0.15,0.07572643492370844,-0.0381975924739471,0.46153846153846156
114,0.095,0.135,0.07606722354888916,-0.013433168397137993,0.5263157894736842
115,0.06,0.14,0.07644972886890172,0.412490974131894,0.75
116,0.085,0.095,0.07655273213982582,0.19555050901630344,0.5294117647058824
117,0.115,0.09,0.07638977333903313,0.1778015756736631,0.6086956521739131
118,0.1,0.09,0.07682045131921768,-0.3488465525209904,0.35
119,0.08,0.115,0.0775272224098444,0.33619745820760727,0.625
120,0.08,0.05,0.0774779936298728,-0.26264991285279393,0.375
121,0.08,0.055,0.07767250642180443,-0.2882909954059869,0.3125
122,0.11,0.04,0.0776613300666213,0.05664731714535843,0.6363636363636364
123,0.07,0.01,0.0768928174674511,-0.1360397163246359,0.42857142857142855
124,0.08,0.02,0.0768052576109767,-0.10296603757888079,0.5
125,0.1,0.05,0.07677661951631308,0.21672748625278473,0.55
126,0.08,0.04,0.07790408711880445,-0.07644213922321796,0.5
127,0.07,0.035,0.0785761247575283,0.198584323482854,0.5
128,0.11,0.02,0.07922070257365704,-0.36366381225260813,0.36363636363636365
129,0.095,0.055,0.07984299842268229,0.30484853675098794,0.5789473684210527
130,0.09,0.07,0.08043552119284868,-0.05931111673514048,0.5
131,0.085,0.125,0.08113717883825303,0.11894266066305778,0.5882352941176471
132,0.08,0.125,0.08237110663205385,-0.1824336175341159,0.3125
133,0.095,0.115,0.08416576609015465,0.31329783875691264,0.5789473684210527
134,0.065,0.155,0.0848902901634574,0.17427582580309647,0.6923076923076923
135,0.085,0.25,0.08513616912066936,-0.14790891682016938,0.5294117647058824
136,0.105,0.165,0.08533882319927216,-0.011504883212702604,0.5238095238095238
137,0.095,0.125,0.08614692695438862,-0.2708478718996048,0.47368421052631576
138,0.09,0.12,0.08654047761112452,0.05111924952103032,0.4444444444444444
139,0.105,0.165,0.08690191190689803,0.7682697148550124,0.8095238095238095
140,0.08,0.15,0.08743867520242929,0.23623880452942106,0.5625
141,0.075,0.185,0.08931334313005208,-0.1849892854690552,0.3333333333333333
142,0.115,0.345,0.09066621705889702,0.041432671896789404,0.4782608695652174
143,0.09,0.465,0.09170211423188449,-0.288149221903748,0.4444444444444444
144,0.09,0.695,0.09268176537007093,-0.2176414675389727,0.3888888888888889
145,0.08,0.72,0.093859339132905,-0.055413044989109025,0.625
146,0.115,0.7,0.09440984785556793,0.4559064954519272,0.6956521739130435
147,0.09,0.73,0.09608100604265929,0.055307081590096153,0.5555555555555556
148,0.11,0.75,0.09857836473733186,-0.03428783509033648,0.45454545454545453
149,0.135,0.745,0.10050314806401729,0.13673313969263323,0.5925925925925926
150,0.1,0.76,0.10268119111657142,0.25104086846113205,0.5
151,0.1,0.745,0.10406897015869618,0.219248154386878,0.65
152,0.095,0.715,0.10591627858579158,0.17243581147570358,0.5263157894736842
153,0.115,0.75,0.10788628738373518,0.043157276252041694,0.6521739130434783
154,0.125,0.78,0.10892167311161756,0.1342646025121212,0.52
155,0.105,0.805,0.11018060013651848,-0.09710002114020642,0.47619047619047616
156,0.14,0.84,0.11137096673250198,0.03839517378115228,0.35714285714285715
157,0.105,0.805,0.11226872261613607,0.04607515853075754,0.6190476190476191
158,0.135,0.805,0.11309657189995051,0.1857345520898148,0.5555555555555556
159,0.125,0.82,0.11374466065317393,-0.36843637377023697,0.36
160,0.155,0.865,0.11270715057849884,0.172764151206901,0.5806451612903226
161,0.125,0.8,0.11222277775406837,0.015152280330657958,0.48
162,0.105,0.82,0.11474771242588759,0.10255312210037595,0.6190476190476191
163,0.105,0.785,0.11580116339027882,0.16968043050950482,0.5714285714285714
164,0.13,0.765,0.11623131658881902,0.283908564883929,0.6923076923076923
165,0.095,0.755,0.11666411999613047,0.22620703025083794,0.5263157894736842
166,0.1,0.755,0.11835587408393622,-0.10861036255955696,0.55
167,0.09,0.795,0.11927820358425378,0.3080536297832926,0.6666666666666666
168,0.1,0.685,0.11919969074428081,-0.06359801366925238,0.5
169,0.095,0.82,0.12029948428273202,0.047378812573458016,0.5263157894736842
170,0.13,0.79,0.12102309517562389,-0.012845990462945057,0.4230769230769231
171,0.11,0.76,0.12120981708168983,0.040836270898580544,0.5909090909090909
172,0.14,0.7,0.12157010417431593,0.162803899895932,0.6428571428571429
173,0.1,0.455,0.12201420269906521,-0.026570189744234085,0.45
174,0.115,0.305,0.12198718383908272,0.15298409889573636,0.5652173913043478
175,0.11,0.26,0.12123074747622013,0.4295611735645004,0.7727272727272727
176,0.115,0.305,0.12194325011223554,0.28124825526838715,0.6521739130434783
177,0.14,0.32,0.1226092604920268,0.1403405286504754,0.6428571428571429
178,0.135,0.375,0.12453937865793704,-0.0782645383366832,0.3333333333333333
179,0.16,0.625,0.12640677087008953,0.07485919876489788,0.5625
180,0.15,0.705,0.12715187966823577,0.2071592709670464,0.6
181,0.15,0.76,0.12948987986892463,-0.08966618056098619,0.5
182,0.11,0.765,0.13027738731354474,0.2584963689812205,0.6818181818181818
183,0.11,0.765,0.13061622109264134,0.16030995556238023,0.7272727272727273
184,0.125,0.805,0.13123401526361703,0.25118704959750177,0.68
185,0.155,0.875,0.13229887533932924,0.04121668624781793,0.5161290322580645
186,0.105,0.845,0.13341974318027497,-0.05776237377098629,0.42857142857142855
187,0.145,0.885,0.13520414561033248,-0.18894109549803723,0.41379310344827586
188,0.105,0.885,0.1355693293362856,0.1405219535032908,0.47619047619047616
189,0.155,0.84,0.1364211415499449,0.5248972739904157,0.7741935483870968
190,0.125,0.815,0.1369117058813572,0.16607113063335419,0.56
191,0.18,0.855,0.13964871414005756,-0.06827183409283559,0.5555555555555556
192,0.16,0.79,0.14044368125498294,0.29485418734839186,0.65625
193,0.155,0.845,0.14274358026683331,-0.06392436329230305,0.45161290322580644
194,0.13,0.855,0.1440696360170841,0.09549699981625265,0.46153846153846156
195,0.13,0.92,0.14838871248066426,0.06970468473334152,0.38461538461538464
196,0.15,0.895,0.15045610904693604,0.09548642206937073,0.6
197,0.175,0.935,0.15304481901228428,0.2780106640287808,0.6857142857142857
198,0.11,0.915,0.155528057962656,-0.23064544390548358,0.3181818181818182
199,0.095,0.94,0.1559905503690243,0.1981216900442776,0.5263157894736842
200,0.19,0.925,0.15534227058291436,-0.19156160122886495,0.39473684210526316
201,0.215,0.89,0.15311347104609013,0.1354336698734483,0.4883720930232558
202,0.135,0.975,0.1537190330773592,-0.01718583978988506,0.5185185185185185
203,0.165,0.975,0.1531461787968874,0.10727439134974372,0.5757575757575758
204,0.19,0.95,0.15303879633545875,0.11809089950187818,0.631578947368421
205,0.105,0.98,0.15616705298423766,0.1307860708662442,0.6190476190476191
206,0.195,0.965,0.15814585149288177,-0.004925187008503162,0.5641025641025641
207,0.17,0.965,0.16117904886603354,0.07809953588773223,0.5
208,0.12,0.98,0.16309627503156662,-0.01295930645816648,0.5416666666666666
209,0.19,0.975,0.16341137364506722,-0.26684712241158676,0.5
210,0.19,0.98,0.16302862748503685,-0.27516792785670413,0.2631578947368421
211,0.16,0.935,0.16191606856882573,0.035028205762500854,0.5
212,0.145,0.945,0.16061693519353867,0.1073501789621238,0.6206896551724138
213,0.12,0.96,0.16010977022349834,0.0922834665204088,0.5
214,0.175,0.955,0.16007416531443597,-0.15938141074563775,0.42857142857142855
215,0.17,0.945,0.15971846044063567,-0.07115695307798245,0.35294117647058826
216,0.14,0.945,0.16050120674073695,0.14907708843903883,0.5357142857142857
217,0.145,0.96,0.16115551501512526,0.17469424613077064,0.4827586206896552
218,0.155,0.965,0.1623862099647522,0.13195330044442427,0.6129032258064516
219,0.145,0.915,0.16268166579306126,-0.02974872583330707,0.41379310344827586
220,0.235,0.965,0.16406361378729342,0.184234209823115,0.5957446808510638
221,0.21,0.965,0.16558993883430959,-0.2097382495800654,0.4523809523809524
222,0.13,0.99,0.16620423845946788,0.1153693194859303,0.5
223,0.185,0.93,0.16510287120938302,-0.10268380452652236,0.43243243243243246
224,0.18,0.99,0.16618767127394676,0.05853362428024411,0.6111111111111112
225,0.165,0.92,0.16606103047728538,0.18223284828391942,0.5151515151515151
226,0.155,0.955,0.16850092358887195,0.09436889243642649,0.5161290322580645
227,0.135,0.96,0.17195933677256106,0.09754904428565941,0.48148148148148145
228,0.16,0.985,0.1723682989180088,-0.1796337862033397,0.40625
229,0.155,0.98,0.17355044431984423,-0.353560714712066,0.2903225806451613
230,0.18,0.995,0.17238653026521206,0.12043598677135176,0.5555555555555556
231,0.145,0.96,0.17301456741988658,-0.019292064332242686,0.4482758620689655
232,0.205,0.975,0.1740843802690506,-0.06957708844324438,0.4634146341463415
233,0.145,0.99,0.17364378996193408,-0.2272683016249332,0.3793103448275862
234,0.145,0.97,0.17454643599689007,-0.19748866770031123,0.5172413793103449
235,0.2,0.985,0.1736688482016325,-0.14190791860455648,0.4
236,0.205,1.0,0.17317788235843182,0.07493349400962271,0.4878048780487805
237,0.215,0.99,0.17304908081889153,-0.15410980452285256,0.37209302325581395
238,0.175,0.965,0.17246065884828568,-0.15628813547747475,0.45714285714285713
239,0.17,0.985,0.1724325145035982,-0.017419695251566523,0.38235294117647056
240,0.18,0.985,0.17173384502530098,-0.131005283134679,0.4166666666666667
241,0.165,0.975,0.17186076402664185,0.196068418748451,0.5454545454545454
242,0.16,0.96,0.1715847098082304,0.10917336519923992,0.53125
243,0.18,0.965,0.1720297761261463,0.03240968845784664,0.4444444444444444
244,0.1,0.98,0.17294292271137238,-0.30085624046623705,0.25
245,0.12,0.995,0.17420761406421661,0.19969019185130796,0.5
246,0.13,0.985,0.17706219419837,0.10598173400817007,0.6153846153846154
247,0.25,0.99,0.17717567846179008,-0.08622258167713881,0.44
248,0.21,0.975,0.1764193520694971,-0.16866133663625943,0.47619047619047616
249,0.185,0.99,0.17703541703522205,0.0005637449086518022,0.5135135135135135
250,0.155,0.98,0.17629419662058354,-0.03385407910231621,0.41935483870967744
251,0.14,0.975,0.17708687379956245,0.13731100169076985,0.5357142857142857
252,0.23,0.98,0.1783011470735073,0.15927242922961063,0.5652173913043478
253,0.16,0.98,0.17977545820176602,-0.13711763476021588,0.5
254,0.19,0.98,0.1782498776167631,-0.009966105663854825,0.47368421052631576
255,0.175,1.0,0.1783774134516716,-0.1699588089116982,0.2857142857142857
256,0.15,0.98,0.1781547739356756,-0.061323877920707065,0.4666666666666667
257,0.14,0.99,0.17831763185560703,-0.2815603896576379,0.42857142857142855
258,0.19,0.98,0.17674578815698624,0.03173260841714708,0.5263157894736842
259,0.17,0.99,0.17600217320024966,0.1385281427818186,0.5882352941176471
260,0.18,0.96,0.1761661648750305,0.14464412800346813,0.5555555555555556
261,0.19,0.975,0.17576910309493543,0.07957989406330805,0.5789473684210527
262,0.195,0.95,0.17668429702520372,-0.03322526545693668,0.5128205128205128
263,0.165,0.995,0.17775161288678645,-0.08348451876504855,0.5151515151515151
264,0.14,0.975,0.17850633338093758,0.11135460276688848,0.5
265,0.2,1.0,0.17903239078819752,0.29134537391364573,0.55
266,0.235,0.99,0.18046581961214542,-0.1064257754528142,0.425531914893617
267,0.175,0.985,0.18087270997464658,0.40333718455263545,0.6285714285714286
268,0.195,1.0,0.18155752025544644,-0.375865773190386,0.28205128205128205
269,0.2,0.995,0.1823975172638893,0.14726920817047356,0.6
270,0.185,1.0,0.18457814186811447,-0.24666757801094572,0.2972972972972973
271,0.21,0.995,0.18435568124055862,0.02090699283317441,0.5
272,0.175,0.985,0.18420083582401275,0.09734943116615925,0.6
273,0.19,0.995,0.1842051563411951,0.05463035620356861,0.47368421052631576
274,0.195,0.995,0.18389536999166012,-0.10394571950802436,0.48717948717948717
275,0.155,1.0,0.18311357006430626,0.14624461405459913,0.45161290322580644
276,0.17,0.99,0.1823776739835739,0.16515431920176044,0.5588235294117647
277,0.165,1.0,0.18274633586406708,0.1128295711100553,0.5151515151515151
278,0.21,1.0,0.18209028333425523,0.262613422769521,0.6904761904761905
279,0.17,0.99,0.18205420650541781,-0.0802338980138302,0.4411764705882353
280,0.19,0.995,0.18056714050471784,-0.08218387230054329,0.47368421052631576
281,0.17,1.0,0.17923150159418583,-0.23141079782234394,0.4117647058823529
282,0.21,1.0,0.17933110445737838,-0.09057041454971546,0.42857142857142855
283,0.175,1.0,0.18041000328958035,0.06532694952828544,0.45714285714285713
284,0.145,0.995,0.1810967204719782,0.12307754364506952,0.5517241379310345
285,0.205,1.0,0.1821591042727232,-0.27497731049249813,0.43902439024390244
286,0.185,1.0,0.18276544280350207,-0.10300291923655046,0.4594594594594595
287,0.18,1.0,0.1830116195231676,0.23832175032132202,0.5833333333333334
288,0.16,1.0,0.1850649055838585,0.23240226972848177,0.71875
289,0.175,1.0,0.18732990480959416,0.10398263415055616,0.5142857142857142
290,0.2,1.0,0.18908463299274444,-0.010106731951236726,0.425
291,0.225,1.0,0.18899362958967686,0.10099949944350455,0.5555555555555556
292,0.16,1.0,0.18927995748817922,0.09274299209937453,0.5625
293,0.195,1.0,0.18912504605948924,0.18232280598619047,0.5641025641025641
294,0.13,1.0,0.19055305451154708,0.41714169316065425,0.6153846153846154
295,0.175,1.0,0.1911241228878498,0.06681124780859268,0.5142857142857142
296,0.23,1.0,0.19147299610078336,0.009784245904049152,0.41304347826086957
297,0.165,1.0,0.19091516368091108,0.017611411555359762,0.48484848484848486
298,0.225,1.0,0.19166143871843816,0.22219153336352773,0.6222222222222222
299,0.175,0.98,0.19323190681636335,0.21214470522744314,0.6285714285714286
300,0.185,1.0,0.1949660011380911,-0.06081750269073087,0.5405405405405406
