Episode,Task_ID,R_req,action_index,pair,oracle_reward,oracle_regret,actor_logit,actor_probability,oracle_optimal
1,1,0.99,0,"(1, 2)",86.59999372087212,12.635253814362656,-2.05936861038208,0.001376204309053719,False
1,1,0.99,1,"(1, 3)",81.15952717298968,18.075720362245093,-1.9780901670455933,0.001492731156758964,False
1,1,0.99,2,"(1, 4)",99.23524753523478,0.0,-1.6682442426681519,0.0020349137485027313,True
1,1,0.99,3,"(1, 5)",76.2171290764531,23.01811845878167,-1.6950263977050781,0.0019811377860605717,False
1,1,0.99,4,"(1, 6)",97.9077836888554,1.3274638463793735,-1.4690604209899902,0.002483421703800559,False
1,1,0.99,5,"(1, 7)",70.96465245958912,28.27059507564566,-1.100987434387207,0.003588414052501321,False
1,1,0.99,6,"(1, 8)",70.96465245958912,28.27059507564566,-1.2254787683486938,0.0031683756969869137,False
1,1,0.99,7,"(2, 3)",86.59999372087212,12.635253814362656,-1.1419585943222046,0.0034443631302565336,False
1,1,0.99,8,"(2, 4)",99.23524753523478,0.0,-0.27231645584106445,0.008218447677791119,True
1,1,0.99,9,"(2, 5)",86.59999372087212,12.635253814362656,-1.0858503580093384,0.003643145551905036,False
1,1,0.99,10,"(2, 6)",97.9077836888554,1.3274638463793735,-0.20882713794708252,0.00875715259462595,False
1,1,0.99,11,"(2, 7)",86.59999372087212,12.635253814362656,0.12859201431274414,0.012271626852452755,False
1,1,0.99,12,"(2, 8)",86.59999372087212,12.635253814362656,-0.05523480474948883,0.010210971347987652,False
1,1,0.99,13,"(3, 4)",99.23524753523478,0.0,-0.1086905300617218,0.009679471142590046,True
1,1,0.99,14,"(3, 5)",81.15952717298968,18.075720362245093,-0.4832068085670471,0.006655815988779068,False
1,1,0.99,15,"(3, 6)",97.9077836888554,1.3274638463793735,0.03342776000499725,0.01115765143185854,False
1,1,0.99,16,"(3, 7)",81.15952717298968,18.075720362245093,0.4579659402370453,0.017058756202459335,False
1,1,0.99,17,"(3, 8)",81.15952717298968,18.075720362245093,0.27973681688308716,0.014273924753069878,False
1,1,0.99,18,"(4, 5)",99.23524753523478,0.0,0.713428258895874,0.022023851051926613,True
1,1,0.99,19,"(4, 6)",99.23524753523478,0.0,1.5559577941894531,0.05114452913403511,True
1,1,0.99,20,"(4, 7)",99.23524753523478,0.0,2.1260905265808105,0.09044919162988663,True
1,1,0.99,21,"(4, 8)",99.23524753523478,0.0,1.6211692094802856,0.05459088832139969,True
1,1,0.99,22,"(5, 6)",97.9077836888554,1.3274638463793735,1.3202615976333618,0.040405236184597015,False
