Episode,Rolling_Reward,Episode_Reward,Rolling_Delay
1,9892.671066123357,9892.671066123357,428.86938000703867
2,10394.785885229823,10896.90070433629,426.59270470292904
3,9483.151991777931,7659.884204874145,426.2489512113245
4,9308.206746396574,8783.371010252504,428.6271169619116
5,9508.112905111442,10307.73753997091,427.1832556707894
6,9508.933505449924,9513.036507142333,427.4235585112611
7,9296.118266615325,8019.22683360773,426.9005643025199
8,9195.552909425176,8491.595409094141,426.55169868295957
9,9144.73781239018,8738.217036110205,425.4438828411593
10,9047.258899899176,8169.948687480157,424.86685889642985
11,9204.774795936466,10779.933756309369,424.40252969696706
12,9268.906801636966,9974.358864342441,424.4128618222424
13,9237.026647276016,8854.464794944635,424.45664508268624
14,9270.905501643863,9711.330608425875,423.93917331634333
15,9288.121229982366,9529.1414267214,423.76907546190586
16,9199.401308899029,7868.6024926489345,423.97274113459497
17,9287.023661059215,10688.981295622181,424.2846851521779
18,9327.167914525806,10009.62022345788,424.8647559208475
19,9283.204483724896,8491.862729308523,425.30687827688547
20,9267.230569780524,8963.726204837478,424.6332512018765
21,9279.284629674792,9520.365827560141,423.84145706578585
22,9263.469442948508,8931.350521696533,423.9951396217142
23,9228.831888614583,8466.805693268212,424.42609130892583
24,9281.793320933963,10499.906264279707,424.4936676573919
25,9193.292573007411,7069.274622770194,424.64779021193465
26,9185.294917243962,8985.353523157746,425.2773635627099
27,9263.435611032286,11295.09364952869,425.29789320637025
28,9300.33150434508,10296.520623790497,425.0538189187806
29,9318.11889692074,9816.165889039226,424.7685890176312
30,9331.029440854296,9705.435214927424,425.366943454073
31,9376.772195391151,10749.054831496875,425.03083523394065
32,9407.460530071003,10358.798905146345,425.00149815737717
33,9407.126769951032,9396.446446111944,424.97071900086337
34,9425.433094856857,10029.541816749115,424.9246578539084
35,9468.769208137264,10942.19705967108,425.32222070523284
36,9484.101237640612,10020.722270257842,425.1422459978936
37,9451.62246004175,8282.386466482703,424.998157745458
38,9390.458896915035,7127.40706122656,425.1926509043251
39,9384.11607021255,9143.088655518142,425.03521961090377
40,9390.298139521157,9631.398842556875,425.0725501620203
41,9373.286649663285,9212.211471808421,425.0088654587401
42,9352.45337134894,10063.569571762424,425.286370213846
