episode,transitions,first_minibatch_ratio_max_abs_error,ratio_min,ratio_max,mean_masked_entropy
1,200,0.0,0.994067907333374,1.0079174041748047,3.0266387164592743
2,200,0.0,0.9956929683685303,1.0065944194793701,3.1650503873825073
3,200,0.0,0.9950173497200012,1.0060384273529053,2.800223857164383
4,200,0.0,0.9965614676475525,1.0042942762374878,2.6981016397476196
5,200,0.0,0.9981411099433899,1.0033299922943115,2.986544281244278
6,200,0.0,0.9976997375488281,1.0020666122436523,2.94241863489151
7,200,0.0,0.9978858232498169,1.001347541809082,2.56155326962471
8,200,0.0,0.9995008707046509,1.0004421472549438,2.727851986885071
9,200,0.0,0.998314380645752,1.0017976760864258,2.7222233414649963
10,200,0.0,0.9974141120910645,1.0023736953735352,2.5420499742031097
11,200,0.0,0.9979264736175537,1.0025098323822021,3.0309150516986847
12,200,0.0,0.998090922832489,1.001062273979187,2.959096133708954
13,200,0.0,0.9988291263580322,1.0007795095443726,2.9100747406482697
14,200,0.0,0.9979024529457092,1.002279281616211,2.9441689550876617
15,200,0.0,0.9981772899627686,1.0016741752624512,2.8931573629379272
16,200,0.0,0.9976550340652466,1.0030421018600464,2.560550570487976
17,200,0.0,0.9964702725410461,1.0046355724334717,3.1276197731494904
18,200,0.0,0.9977023601531982,1.0032975673675537,3.001080960035324
19,200,0.0,0.9984467029571533,1.0023423433303833,2.6916150748729706
20,200,0.0,0.9989607930183411,1.0015490055084229,2.7532486021518707
21,200,0.0,0.9985295534133911,1.002036213874817,2.8451761603355408
22,200,0.0,0.9985295534133911,1.0014183521270752,2.876618206501007
23,200,0.0,0.997828483581543,1.003096580505371,2.8214347660541534
24,200,0.0,0.9964379668235779,1.0039390325546265,3.1375696659088135
25,200,0.0,0.9981544613838196,1.002570629119873,2.390793651342392
26,200,0.0,0.9982948303222656,1.0018731355667114,2.8856456875801086
27,200,0.0,0.9974433779716492,1.0039048194885254,3.2347044348716736
28,200,0.0,0.9964483976364136,1.002709984779358,2.9153062999248505
29,200,0.0,0.998183012008667,1.0013014078140259,2.8274675011634827
30,200,0.0,0.9969317317008972,1.0037076473236084,2.938630610704422
31,200,0.0,0.9980331063270569,1.0018110275268555,3.075440376996994
32,200,0.0,0.9966341853141785,1.0030323266983032,3.102015793323517
33,200,0.0,0.9960336685180664,1.0044755935668945,2.862883538007736
34,200,0.0,0.9980480670928955,1.001723051071167,3.026548743247986
