policy,tasks,mean_reward,mean_latency,overall_rsr,highest_rsr,feasibility_rate,empty_safe_set_rate,conditional_rsr,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_78_frequency,pair_selection_hhi,pair_selection_entropy,unique_pair_count
legacy_pair_greedy,4000,40.72036733587066,3.3656279783534693,0.87475,0.527,0.95675,0.04325,0.9142931800365822,328,173,20.9215,0.04525,0.9055158750000001,0.2115364545675302,3
masked_pair_stochastic,4000,59.53453081177961,2.0415735194309423,0.95675,0.827,0.95675,0.04325,1.0,0,173,20.9215,0.078,0.043964874999999994,3.227589182677886,28
masked_pair_greedy,4000,49.1680914933234,2.9404994783159983,0.95675,0.827,0.95675,0.04325,1.0,0,173,20.9215,0.06475,0.69747475,0.7231990001274385,8
