state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,reference_action,alternative_action,initial_peak_queue_difference_seconds,peak_step,half_life_50_steps,half_life_25_steps,half_life_10_steps,right_censored
trial_000_ep1_task009,0,9,0.9,high,28,6,1,0.8399675529889183,3,7.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,2,1.7142857142857135,2,3.0,6.0,6.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,3,1.1110328188277485,3,4.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,4,0.8668506270040357,5,7.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,5,1.3333333333333321,2,7.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,7,2.8448899370592287,3,6.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,8,2.608175279528277,3,4.0,6.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,9,2.312885987715754,5,6.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,10,2.305654271124915,3,4.0,6.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,11,2.2272228985758975,3,4.0,6.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,12,2.004922384070312,3,6.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,13,2.554253267274632,3,4.0,6.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,14,2.3295464083306845,5,6.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,15,2.2517322588712716,3,4.0,6.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,16,2.1733008863222523,3,4.0,6.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,17,1.9510003718166669,3,6.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,18,1.7142857142857135,2,6.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,19,2.0150176013403183,3,4.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,20,3.0476190476190474,2,4.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,21,1.7142857142857153,3,5.0,6.0,6.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,22,1.2069962375186751,4,6.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,23,1.3333333333333321,2,6.0,6.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,24,2.037341321093164,4,6.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,25,1.6340652203879387,3,7.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,26,1.4117647058823533,3,7.0,7.0,7.0,False
trial_000_ep1_task009,0,9,0.9,high,28,6,27,1.333333333333334,3,7.0,7.0,7.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,4,1.197058823529412,3,4.0,5.0,5.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,5,1.1611111111111114,3,4.0,5.0,5.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,10,0.09705882352941053,3,6.0,6.0,6.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,11,0.6111111111111107,2,3.0,3.0,3.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,13,0.7857142857142865,2,3.0,5.0,5.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,15,0.09705882352941053,3,6.0,6.0,6.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,16,0.6111111111111107,2,3.0,3.0,3.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,19,0.8827731092436988,3,6.0,6.0,6.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,20,1.3968253968253972,2,5.0,6.0,6.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,21,0.7857142857142865,2,6.0,6.0,6.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,22,0.09705882352941053,3,6.0,6.0,6.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,23,0.6111111111111107,2,3.0,3.0,3.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,25,0.7081699346405212,3,6.0,6.0,6.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,26,0.6470588235294121,5,6.0,6.0,6.0,False
trial_000_ep1_task010,0,10,0.999,high,16,17,27,0.6111111111111116,5,6.0,6.0,6.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,0,0.24638976339163943,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,1,0.1839782757326196,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,2,1.038192123088244,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,4,0.8365114508193363,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,5,0.7842238691199901,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,6,0.40291342194752566,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,7,0.06927743123594432,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,8,0.7849364161196801,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,9,0.2532557069685639,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,10,0.5832557438507733,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,11,0.5309681621514262,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,12,0.14965771497896263,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,13,0.7225249284606603,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,14,0.31566719462758375,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,15,0.5208442561917526,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,16,0.46855667449240546,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,17,0.08724622731994192,1,2.0,2.0,2.0,False
