trial_id,policy,metric,old_value,rerun_value,absolute_diff,match
2,Safe Min-Latency,conditional_rsr,1.0,1.0,0.0,True
3,Safe Min-Latency,conditional_rsr,1.0,1.0,0.0,True
4,Safe Min-Latency,conditional_rsr,1.0,1.0,0.0,True
5,Safe Min-Latency,conditional_rsr,1.0,1.0,0.0,True
6,Safe Min-Latency,conditional_rsr,1.0,1.0,0.0,True
7,Safe Min-Latency,conditional_rsr,1.0,1.0,0.0,True
8,Safe Min-Latency,conditional_rsr,1.0,1.0,0.0,True
9,Safe Min-Latency,conditional_rsr,1.0,1.0,0.0,True
0,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
1,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
2,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
3,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
4,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
5,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
6,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
7,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
8,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
9,Safe Min-Latency,avoidable_violation_count,0.0,0.0,0.0,True
0,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
1,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
2,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
3,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
4,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
5,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
6,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
7,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
8,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
9,Safe Min-Latency,avoidable_violation_rate,0.0,0.0,0.0,True
0,Safe Min-Latency,unavoidable_violation_count,173.0,173.0,0.0,True
1,Safe Min-Latency,unavoidable_violation_count,103.0,103.0,0.0,True
2,Safe Min-Latency,unavoidable_violation_count,170.0,170.0,0.0,True
3,Safe Min-Latency,unavoidable_violation_count,138.0,138.0,0.0,True
4,Safe Min-Latency,unavoidable_violation_count,68.0,68.0,0.0,True
5,Safe Min-Latency,unavoidable_violation_count,114.0,114.0,0.0,True
6,Safe Min-Latency,unavoidable_violation_count,99.0,99.0,0.0,True
7,Safe Min-Latency,unavoidable_violation_count,50.0,50.0,0.0,True
8,Safe Min-Latency,unavoidable_violation_count,135.0,135.0,0.0,True
9,Safe Min-Latency,unavoidable_violation_count,41.0,41.0,0.0,True
0,Safe Min-Latency,unavoidable_violation_rate,0.04325,0.04325,0.0,True
1,Safe Min-Latency,unavoidable_violation_rate,0.02575,0.02575,0.0,True
2,Safe Min-Latency,unavoidable_violation_rate,0.0425,0.0425,0.0,True
3,Safe Min-Latency,unavoidable_violation_rate,0.0345,0.0345,0.0,True
4,Safe Min-Latency,unavoidable_violation_rate,0.017,0.017,0.0,True
5,Safe Min-Latency,unavoidable_violation_rate,0.0285,0.0285,0.0,True
6,Safe Min-Latency,unavoidable_violation_rate,0.02475,0.02475,0.0,True
7,Safe Min-Latency,unavoidable_violation_rate,0.0125,0.0125,0.0,True
8,Safe Min-Latency,unavoidable_violation_rate,0.03375,0.03375,0.0,True
9,Safe Min-Latency,unavoidable_violation_rate,0.01025,0.01025,0.0,True
0,Safe Min-Latency,mean_safe_set_size,20.9215,20.9215,0.0,True
1,Safe Min-Latency,mean_safe_set_size,21.58975,21.58975,0.0,True
2,Safe Min-Latency,mean_safe_set_size,20.92725,20.92725,0.0,True
3,Safe Min-Latency,mean_safe_set_size,21.56875,21.56875,0.0,True
4,Safe Min-Latency,mean_safe_set_size,22.13625,22.13625,0.0,True
5,Safe Min-Latency,mean_safe_set_size,21.52125,21.52125,0.0,True
6,Safe Min-Latency,mean_safe_set_size,21.96725,21.96725,0.0,True
7,Safe Min-Latency,mean_safe_set_size,22.172,22.172,0.0,True
8,Safe Min-Latency,mean_safe_set_size,21.60325,21.60325,0.0,True
9,Safe Min-Latency,mean_safe_set_size,22.111,22.111,0.0,True
0,Safe Min-Latency,pair_selection_hhi,0.081664875,0.081664875,0.0,True
1,Safe Min-Latency,pair_selection_hhi,0.079294375,0.079294375,0.0,True
2,Safe Min-Latency,pair_selection_hhi,0.081038625,0.081038625,0.0,True
3,Safe Min-Latency,pair_selection_hhi,0.079184375,0.079184375,0.0,True
4,Safe Min-Latency,pair_selection_hhi,0.077373625,0.077373625,0.0,True
5,Safe Min-Latency,pair_selection_hhi,0.0836555,0.0836555,0.0,True
6,Safe Min-Latency,pair_selection_hhi,0.080683375,0.080683375,0.0,True
7,Safe Min-Latency,pair_selection_hhi,0.0768985,0.0768985,0.0,True
8,Safe Min-Latency,pair_selection_hhi,0.080299,0.080299,0.0,True
9,Safe Min-Latency,pair_selection_hhi,0.078456875,0.078456875,0.0,True
