policy,tasks,mean_estimated_latency,mean_realized_latency,mean_realized_minus_estimated,p50_absolute_error,p90_absolute_error,p95_absolute_error,pearson_estimate_realized,spearman_estimate_realized
Safe Min-Latency,40000,1.7650518830965607,1.8451280232342502,0.08007614013768936,8.992806499463768e-15,0.062087830975387615,0.6563051294703555,0.9294332321817346,0.9595971450490686
Masked PPO stochastic,40000,1.9650710838044838,2.010706079515917,0.04563499571143284,8.43769498715119e-15,3.907985046680551e-14,0.1861431357970347,0.9656899594361988,0.9792310776788994
